reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40267a	0x41d580	string	0x402610	__stdcall
0x403493	0x41c1c0	string	0x402e40	R6008\r\n- not enough space for arguments\r\n
0x4034ce	0x41c1c0	string	0x402e40	R6008\r\n- not enough space for arguments\r\n
0x40429c	0x4077ab	string	0x404160	j\fh0
0x404520	0x404536	string	0x4044b0	9WDu
0x4047b5	0x4078c1	string	0x404750	j\fhP
0x404884	0x404904	string	0x404850	3ɋE\b blocks=Basic Latin,Latin Extended-B
0x404899	0x404904	string	0x404850	3ɋE\b blocks=Basic Latin,Latin Extended-B
0x4048a9	0x4078c1	string	0x404850	j\fhP
0x4048b3	0x404904	string	0x404850	3ɋE\b blocks=Basic Latin,Latin Extended-B
0x4048c8	0x404904	string	0x404850	3ɋE\b blocks=Basic Latin,Latin Extended-B
0x404954	0x404958	string	0x404930	VPRQ
0x40495c	0x4079d6	string	0x404930	j\fhp
0x404daa	0x404dae	string	0x404d80	3ɍS\b blocks=Basic Latin,Latin Extended-B
0x404f87	0x4077ab	string	0x404eb0	j\fh0
0x4057dd	0x41cdd4	string	0x4057c3	Too many open files in system
0x4060eb	0x409cfd	string	0x4060d6	j\fhP
0x406142	0x406199	string	0x4060f7	^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x406188	0x409e43	string	0x4060f7	j\fhp
0x406a47	0x40be63	string	0x406a0c	j\fhP
0x4079cc	0x4078c1	string	0x40799b	j\fhP
0x407be2	0x407bf5	string	0x407b7c	9}\bu
0x4081a3	0x4081b0	string	0x408142	jjjjj
0x408426	0x408433	string	0x4083fd	SSSSS
0x408461	0x40846a	string	0x40843e	<.u1
0x408465	0x40854c	string	0x40843e	_^[]
0x40848b	0x408495	string	0x40843e	SSSSS
0x40857a	0x4085bd	string	0x40855d	SSSSS
0x4088b0	0x4088bd	string	0x40872d	@PVW
0x408db9	0x408e0f	string	0x408c88	VVVVV
0x408edb	0x40be63	string	0x408ea4	j\fhP
0x40967f	0x40be63	string	0x409662	j\fhP
0x409a4f	0x40be63	string	0x409a32	j\fhP
0x409a75	0x40be63	string	0x409a58	j\fhP
0x409fa1	0x41d090	string	0x409f9f	`local static thread guard'
0x40a564	0x40a3af	string	0x40a52e	j\fhX
