reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4027c9	0x404384	string	0x4027a0	Goappbest
0x4027ce	0x40437c	string	0x4027a0	Civmin
0x4027d5	0x4040ac	import	0x4027a0	USER32.dll.CreateWindowExA
0x402857	0x4040d4	import	0x402800	USER32.dll.EndDialog
0x40289f	0x404058	import	0x402870	MSVCRT.dll.__set_app_type
0x4028bc	0x40405c	import	0x402870	MSVCRT.dll.__p__fmode
0x4028ca	0x404060	import	0x402870	MSVCRT.dll.__p__commode
0x4028f8	0x404068	import	0x402870	MSVCRT.dll.__setusermatherr
0x402938	0x404070	import	0x402870	MSVCRT.dll.__getmainargs
0x402953	0x404074	import	0x402870	MSVCRT.dll.__p__acmdln
0x402999	0x404028	import	0x402870	KERNEL32.dll.GetStartupInfoA
0x4029ba	0x404014	import	0x402870	KERNEL32.dll.GetModuleHandleA
0x4029ca	0x404078	import	0x402870	MSVCRT.dll.exit
0x4029ee	0x404080	import	0x402870	MSVCRT.dll._exit
0x402a20	0x404088	import	0x402a20	MSVCRT.dll.sym_imp_void __cdecl operator delete(void *)
0x402a50	0x404084	import	0x402a50	MSVCRT.dll.sym_imp_void * __cdecl operator new(unsigned int)
0x402a56	0x40407c	import	0x402a56	MSVCRT.dll._XcptFilter
0x402a5c	0x40406c	import	0x402a5c	MSVCRT.dll._initterm
0x402b40	0x404054	import	0x402b30	MSVCRT.dll._except_handler3
0x402b46	0x404050	import	0x402b46	MSVCRT.dll._controlfp
0x402bf6	0x404000	import	0x402bf0	COMCTL32.dll.InitCommonControls
0x402c02	0x4040a8	import	0x402bf0	USER32.dll.LoadAcceleratorsA
0x402c0b	0x404570	string	0x402bf0	RICHED32.DLL
0x402c10	0x404018	import	0x402bf0	KERNEL32.dll.LoadLibraryA
0x402c23	0x4040a4	import	0x402bf0	USER32.dll.LoadStringA
0x402c36	0x4040a4	import	0x402bf0	USER32.dll.LoadStringA
0x402c65	0x4040a0	import	0x402bf0	USER32.dll.LoadIconA
0x402c75	0x40409c	import	0x402bf0	USER32.dll.LoadCursorA
0x402c8c	0x40437c	string	0x402bf0	Civmin
0x402c99	0x4040a0	import	0x402bf0	USER32.dll.LoadIconA
0x402ca4	0x404014	import	0x402bf0	KERNEL32.dll.GetModuleHandleA
0x402cb1	0x404098	import	0x402bf0	USER32.dll.RegisterClassExA
0x402cd9	0x404090	import	0x402bf0	USER32.dll.GetMessageA
0x402cef	0x4040d8	import	0x402bf0	USER32.dll.TranslateAcceleratorA
0x402cfd	0x404094	import	0x402bf0	USER32.dll.TranslateMessage
0x402d07	0x4040dc	import	0x402bf0	USER32.dll.DispatchMessageA
0x402e00	0x4043b4	string	0x402d20	edit
0x402e07	0x4040ac	import	0x402d20	USER32.dll.CreateWindowExA
0x402e50	0x404580	string	0x402d20	Hokeuj
0x402e55	0x4043a0	string	0x402d20	button
0x402e5c	0x4040ac	import	0x402d20	USER32.dll.CreateWindowExA
0x402e8e	0x4043a8	string	0x402d20	richedit
0x402e95	0x4040ac	import	0x402d20	USER32.dll.CreateWindowExA
0x402ea0	0x40400c	import	0x402d20	KERNEL32.dll.GetLastError
0x402eb7	0x4040d0	import	0x402d20	USER32.dll.SetWindowTextA
0x402eca	0x4040cc	import	0x402d20	USER32.dll.SendMessageA
0x402ef3	0x4043b4	string	0x402d20	edit
0x402efa	0x4040ac	import	0x402d20	USER32.dll.CreateWindowExA
0x402f05	0x40400c	import	0x402d20	KERNEL32.dll.GetLastError
0x402f35	0x4043a0	string	0x402d20	button
0x402f3c	0x4040ac	import	0x402d20	USER32.dll.CreateWindowExA
0x402fa6	0x4040c8	import	0x402d20	USER32.dll.PostMessageA
0x402fbb	0x4040cc	import	0x402d20	USER32.dll.SendMessageA
0x403011	0x4040c4	import	0x402d20	USER32.dll.DestroyWindow
0x40306a	0x4040cc	import	0x402d20	USER32.dll.SendMessageA
0x4030bc	0x4040c0	import	0x402d20	USER32.dll.DialogBoxParamA
0x4030c8	0x4040c4	import	0x402d20	USER32.dll.DestroyWindow
0x4030e0	0x4040bc	import	0x402d20	USER32.dll.DefWindowProcA
0x4030f8	0x4040b8	import	0x402d20	USER32.dll.BeginPaint
0x403103	0x40458c	string	0x402d20	think probably it was quite an attractive
0x40310f	0x404010	import	0x402d20	KERNEL32.dll.lstrcpynA
0x40311d	0x4040b4	import	0x402d20	USER32.dll.EndPaint
0x403138	0x4040cc	import	0x402d20	USER32.dll.SendMessageA
0x403152	0x4040b0	import	0x402d20	USER32.dll.PostQuitMessage
0x40316a	0x4040bc	import	0x402d20	USER32.dll.DefWindowProcA
