reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401000	0x403058	import	0x401000	MSVCRT.dll._controlfp
0x401006	0x403050	import	0x401006	MSVCRT.dll.sym_imp_void * __cdecl operator new(unsigned int)
0x40107c	0x4030a8	import	0x401040	USER32.dll.PostQuitMessage
0x4010a4	0x403008	import	0x401040	KERNEL32.dll.GetSystemInfo
0x4010bc	0x403000	import	0x401040	KERNEL32.dll.GetCurrentDirectoryA
0x4010ca	0x403070	import	0x401040	USER32.dll.CreateWindowExA
0x4010e4	0x4035fc	string	0x401040	qfdkpsodkcee
0x4010e9	0x4035f4	string	0x401040	STATIC
0x401115	0x4035ec	string	0x401040	Sound:
0x40111a	0x4035f4	string	0x401040	STATIC
0x40114d	0x403244	string	0x401040	edit
0x40117a	0x40321c	string	0x401040	richedit
0x4011b5	0x403244	string	0x401040	edit
0x4011e6	0x403228	string	0x401040	button
0x4011fe	0x4030b0	import	0x401040	USER32.dll.SendMessageA
0x401223	0x4035e0	string	0x401040	Cancel
0x401228	0x403228	string	0x401040	button
0x401243	0x403078	import	0x401040	USER32.dll.GetWindowTextA
0x40124f	0x403074	import	0x401040	USER32.dll.SetFocus
0x401271	0x403068	import	0x401040	USER32.dll.BeginPaint
0x40127c	0x403060	import	0x401040	USER32.dll.GetClientRect
0x401287	0x403064	import	0x401040	USER32.dll.EndPaint
0x4012cc	0x4030ac	import	0x401040	USER32.dll.DefWindowProcA
0x4012df	0x40306c	import	0x401040	USER32.dll.DestroyWindow
0x40130a	0x4030b0	import	0x401040	USER32.dll.SendMessageA
0x40133c	0x4030ac	import	0x401040	USER32.dll.DefWindowProcA
0x401373	0x4030b0	import	0x401040	USER32.dll.SendMessageA
0x40138d	0x4030b0	import	0x401040	USER32.dll.SendMessageA
0x4021d8	0x403214	string	0x4021d0	ACClass
0x4021dd	0x403230	string	0x4021d0	BSWindow
0x4021e2	0x40307c	import	0x4021d0	USER32.dll.FindWindowA
0x4021ef	0x403080	import	0x4021d0	USER32.dll.IsIconic
0x4021fc	0x403084	import	0x4021d0	USER32.dll.ShowWindow
0x402203	0x403088	import	0x4021d0	USER32.dll.UpdateWindow
0x40220c	0x403074	import	0x4021d0	USER32.dll.SetFocus
0x402215	0x40308c	import	0x4021d0	USER32.dll.LoadStringA
0x40223c	0x40360c	string	0x4021d0	Riched32.dll
0x402241	0x403010	import	0x4021d0	KERNEL32.dll.LoadLibraryA
0x402261	0x403230	string	0x4021d0	BSWindow
0x402266	0x403214	string	0x4021d0	ACClass
0x402273	0x403070	import	0x4021d0	USER32.dll.CreateWindowExA
0x402285	0x403090	import	0x4021d0	USER32.dll.GetMessageA
0x40229b	0x403094	import	0x4021d0	USER32.dll.TranslateMessage
0x4022a2	0x403098	import	0x4021d0	USER32.dll.DispatchMessageA
0x4022da	0x40309c	import	0x4022d0	USER32.dll.LoadIconA
0x402315	0x4030a0	import	0x4022d0	USER32.dll.LoadCursorA
0x402332	0x403214	string	0x4022d0	ACClass
0x402342	0x4030a4	import	0x4022d0	USER32.dll.RegisterClassExA
0x40234e	0x403038	import	0x40234e	MSVCRT.dll._initterm
0x4023a6	0x403054	import	0x4023a6	MSVCRT.dll.sym_imp_void __cdecl operator delete(void *)
0x4023d9	0x403024	import	0x4023a6	MSVCRT.dll.__set_app_type
0x4023ee	0x403028	import	0x4023a6	MSVCRT.dll.__p__fmode
0x4023fc	0x40302c	import	0x4023a6	MSVCRT.dll.__p__commode
0x402428	0x403034	import	0x4023a6	MSVCRT.dll.__setusermatherr
0x402461	0x40303c	import	0x4023a6	MSVCRT.dll.__getmainargs
0x4024b0	0x40300c	import	0x4023a6	KERNEL32.dll.GetStartupInfoA
0x4024ba	0x4024cd	string	0x4023a6	j\nXPVSS
0x4024d4	0x403004	import	0x4023a6	KERNEL32.dll.GetModuleHandleA
0x4024e4	0x403044	import	0x4024e0	MSVCRT.dll.exit
0x40294e	0x402965	string	0x402900	_^[]
