reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401a48	0x412880	string	0x4019c7	;\rp@C
0x401a88	0x42e4f4	string	0x401a4f	%02x
0x401aba	0x412880	string	0x401a4f	;\rp@C
0x401ba8	0x412a1d	string	0x401b19	j\fh`
0x401bbd	0x412880	string	0x401b19	;\rp@C
0x401be7	0x401beb	string	0x401bd0	9U\br
0x4022bd	0x412880	string	0x4021e9	;\rp@C
0x4023c5	0x412a1d	string	0x4022c4	j\fh`
0x4023d3	0x412a1d	string	0x4022c4	j\fh`
0x4023e3	0x412880	string	0x4022c4	;\rp@C
0x40269f	0x4026b2	string	0x4023ea	h8sC
0x4026d7	0x4026ea	string	0x4023ea	hTsC
0x40270f	0x402722	string	0x4023ea	hpsC
0x402820	0x42a098	import	0x4023ea	KERNEL32.dll.CloseHandle
0x402849	0x412880	string	0x4023ea	;\rp@C
0x402b88	0x42e518	string	0x40296d	[DIR]
0x402b99	0x42e520	string	0x40296d	<DIR>
0x403028	0x42e540	string	0x402faa	\r\nVersion:
0x403043	0x42e54c	string	0x402faa	\r\nUserAgent:
0x40304e	0x42e55c	string	0x402faa	\r\nAuthType:
0x403079	0x42e810	string	0x402faa	INVALID
0x403080	0x42e56c	string	0x402faa	DIRECT
0x40309e	0x42e5a4	string	0x402faa	ANONYMITY
0x4030a5	0x42e57c	string	0x402faa	NEGOTIATE
0x4030ac	0x42e59c	string	0x402faa	DIGEST
0x4030b3	0x42e590	string	0x402faa	PASSPORT
0x4030ba	0x42e588	string	0x402faa	NTLM
0x4030c1	0x42e574	string	0x402faa	BASIC
0x4030eb	0x42e5b0	string	0x402faa	\r\nAddress:
0x403146	0x42a094	import	0x402faa	KERNEL32.dll.GetModuleFileNameA
0x40314c	0x42e5bc	string	0x402faa	\r\nPath:
0x4032fd	0x42a054	import	0x4032c9	KERNEL32.dll.GetLastError
0x403303	0x403364	string	0x4032c9	_^[]
0x40330f	0x42a0a0	import	0x4032c9	KERNEL32.dll.FreeLibrary
0x403337	0x42a008	import	0x4032c9	KERNEL32.dll.LoadLibraryA
0x4033a8	0x42a00c	import	0x40336b	KERNEL32.dll.GetProcAddress
0x4033e3	0x4033e8	string	0x40336b	j\n^3
0x403467	0x40347a	string	0x40336b	3\vM\vU
0x4035f2	0x403653	string	0x4035bf	_^[]
0x403b3e	0x403b4a	string	0x403ae0	;}\ftm
0x40428e	0x4042fe	string	0x4041c5	9]\ft
