reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001098	0x10034164	string	0x10001070	Control_RunDLL
0x100010bb	0x10034174	string	0x10001070	Control_RunDLL
0x10018fd7	0x10034258	string	0x10018fd0	bad array new length
0x1001931b	0x1003420c	string	0x100192f0	name
0x1001934c	0x10034214	string	0x100192f0	lname
0x100197e3	0x10034270	string	0x100197e0	string too long
0x10019a6d	0x1003422c	string	0x10019a50	Unknown exception
0x1001a72a	0x100342ac	string	0x1001a660	if(c_ret!=RET)
0x1001a77c	0x100342bc	string	0x1001a660	if(c!=INT3)
0x1001a7c1	0x100342c8	string	0x1001a660	catched %s\n
0x1001a7d4	0x100342d4	string	0x1001a660	catched\n
0x1001a8e5	0x10034004	import	0x1001a840	KERNEL32.dll.VirtualProtect
0x1001a90e	0x1003400c	import	0x1001a840	KERNEL32.dll.LoadLibraryA
0x1001a976	0x10034008	import	0x1001a840	KERNEL32.dll.GetProcAddress
0x1001a99a	0x10034008	import	0x1001a840	KERNEL32.dll.GetProcAddress
0x1001ac57	0x10034000	import	0x1001ab80	KERNEL32.dll.VirtualAlloc
0x1001ac7a	0x10034000	import	0x1001ab80	KERNEL32.dll.VirtualAlloc
0x1001b144	0x100342e0	string	0x1001b0b0	uncompress failed
0x1001b160	0x100342f4	string	0x1001b0b0	if (origSize != out_len)
0x1001b609	0x1003431c	string	0x1001b5f0	inBuffer::get_8: noenough
0x1001b795	0x10034350	string	0x1001b770	inBuffer unpack: buffer size to small
0x1001b8b1	0x1003e030	string	0x1001b850	1.2.11
0x1001bbff	0x1003e040	string	0x1001b9e0	incorrect header check
0x1001bc23	0x1003e058	string	0x1001b9e0	unknown compression method
0x1001bc81	0x1003e074	string	0x1001b9e0	invalid window size
0x1001bd68	0x1003e088	string	0x1001b9e0	unknown compression method
0x1001bd8e	0x1003e0a4	string	0x1001b9e0	unknown header flags set
0x1001c4b1	0x1003e0c0	string	0x1001b9e0	header crc mismatch
0x1001c77a	0x1003e0d4	string	0x1001b9e0	invalid block type
0x1001c828	0x1003e0e8	string	0x1001b9e0	invalid stored block lengths
0x1001c9df	0x1003e108	string	0x1001b9e0	too many length or distance symbols
0x1001cb36	0x1003e12c	string	0x1001b9e0	invalid code lengths set
0x1001ccac	0x1003e148	string	0x1001b9e0	invalid bit length repeat
0x1001ce4c	0x1003e164	string	0x1001b9e0	invalid bit length repeat
0x1001cec4	0x1003e180	string	0x1001b9e0	invalid code -- missing end-of-block
0x1001cf39	0x1003e1a8	string	0x1001b9e0	invalid literal/lengths set
0x1001cfa7	0x1003e1c4	string	0x1001b9e0	invalid distances set
0x1001d25c	0x1003e1dc	string	0x1001b9e0	invalid literal/length code
0x1001d4b9	0x1003e1f8	string	0x1001b9e0	invalid distance code
0x1001d5f1	0x1003e210	string	0x1001b9e0	invalid distance too far back
0x1001d855	0x1003e230	string	0x1001b9e0	incorrect data check
0x1001d8f2	0x1003e248	string	0x1001b9e0	incorrect length check
0x10020063	0x1003e2e0	string	0x10020060	1.2.11
0x10020a9c	0x1003e2e8	string	0x10020780	invalid distance too far back
0x10020d99	0x1003e308	string	0x10020780	invalid distance code
0x10020df5	0x1003e320	string	0x10020780	invalid literal/length code
0x10020ee1	0x10036db8	string	0x10020ed7	bad allocation
0x1002147b	0x1002148b	string	0x100213f0	+D$\f\eT$
0x10021481	0x1002148b	string	0x100213f0	+D$\f\eT$
0x10021522	0x1003401c	import	0x1002150b	KERNEL32.dll.GetSystemTimeAsFileTime
0x10021531	0x10034018	import	0x1002150b	KERNEL32.dll.GetCurrentThreadId
0x1002153a	0x10034014	import	0x1002150b	KERNEL32.dll.GetCurrentProcessId
0x10021547	0x10034010	import	0x1002150b	KERNEL32.dll.QueryPerformanceCounter
0x100215ad	0x10034020	import	0x100215a8	KERNEL32.dll.InitializeSListHead
0x100218cd	0x10034034	import	0x100218c1	KERNEL32.dll.IsProcessorFeaturePresent
0x10021999	0x10034024	import	0x100218c1	KERNEL32.dll.IsDebuggerPresent
0x100219b9	0x1003402c	import	0x100218c1	KERNEL32.dll.SetUnhandledExceptionFilter
0x100219c3	0x10034028	import	0x100218c1	KERNEL32.dll.UnhandledExceptionFilter
0x10021a9e	0x10034034	import	0x10021a88	KERNEL32.dll.IsProcessorFeaturePresent
0x10021bb9	0x10021c52	string	0x10021a88	_^[3
0x10021bd7	0x10021c52	string	0x10021a88	_^[3
0x10021bdf	0x10021c52	string	0x10021a88	_^[3
0x10021bf9	0x10021c52	string	0x10021a88	_^[3
0x10021c15	0x10021c52	string	0x10021a88	_^[3
0x10021c32	0x10021c52	string	0x10021a88	_^[3
0x10021c43	0x10021c52	string	0x10021a88	_^[3
0x10021c7c	0x1003402c	import	0x10021c77	KERNEL32.dll.SetUnhandledExceptionFilter
0x10021c85	0x10034028	import	0x10021c77	KERNEL32.dll.UnhandledExceptionFilter
0x10021c90	0x1003403c	import	0x10021c77	KERNEL32.dll.GetCurrentProcess
0x10021c97	0x10034040	import	0x10021c77	KERNEL32.dll.TerminateProcess
0x10021caa	0x10034034	import	0x10021c9f	KERNEL32.dll.IsProcessorFeaturePresent
0x10022412	0x10034044	import	0x100223b2	KERNEL32.dll.RaiseException
0x10022635	0x10034048	import	0x10022611	KERNEL32.dll.RtlUnwind
0x10022762	0x1002276f	string	0x10022701	jjjjj
0x10022aaa	0x10022b01	string	0x100227d4	j Y+
0x10022da6	0x1002365a	string	0x100227d4	^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x10023602	0x1002365a	string	0x100227d4	^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x10023902	0x10024c20	string	0x10023880	UVWS
0x10023a20	0x1003404c	import	0x10023a1a	KERNEL32.dll.InterlockedFlushSList
0x10023cab	0x10034050	import	0x10023c9d	KERNEL32.dll.GetLastError
0x10023d24	0x10034054	import	0x10023c9d	KERNEL32.dll.SetLastError
0x10023fbc	0x10024696	string	0x10023f54	j<h8
0x10023fc6	0x10023fcf	string	0x10023f54	_^[]
0x1002411a	0x10024122	string	0x10023fd4	3\t}ЉEԁ;csm blocks=Basic Latin,Cyrillic,Cyrillic Supplement
0x100243a3	0x10034058	import	0x1002437e	KERNEL32.dll.EncodePointer
0x10024593	0x100245bb	string	0x10024542	9q\fu
0x10024669	0x10036e04	string	0x1002465f	bad exception
0x10024c69	0x10024c75	string	0x10024c60	_^[]
0x10024c6f	0x10034048	import	0x10024c60	KERNEL32.dll.RtlUnwind
0x10024ce9	0x10034064	import	0x10024cd3	KERNEL32.dll.DeleteCriticalSection
0x10024d0c	0x10024d7d	string	0x10024d02	;}\fu
0x10024d36	0x10034080	import	0x10024d02	KERNEL32.dll.LoadLibraryExW
0x10024d42	0x10034050	import	0x10024d02	KERNEL32.dll.GetLastError
0x10024d52	0x10037850	string	0x10024d02	api-ms-
0x10024d69	0x10034080	import	0x10024d02	KERNEL32.dll.LoadLibraryExW
0x10024dcd	0x10034008	import	0x10024d9c	KERNEL32.dll.GetProcAddress
0x10024de9	0x10037868	string	0x10024de5	FlsAlloc
0x10024df3	0x10037868	string	0x10024de5	FlsAlloc
0x10024e24	0x1003787c	string	0x10024e20	FlsFree
0x10024e2e	0x1003787c	string	0x10024e20	FlsFree
0x10024e52	0x10034078	import	0x10024e20	KERNEL32.dll.TlsFree
0x10024e5f	0x1003788c	string	0x10024e5b	FlsGetValue
0x10024e69	0x1003788c	string	0x10024e5b	FlsGetValue
0x10024e8d	0x10034070	import	0x10024e5b	KERNEL32.dll.TlsGetValue
0x10024e9a	0x100378a0	string	0x10024e96	FlsSetValue
0x10024ea4	0x100378a0	string	0x10024e96	FlsSetValue
0x10024ecb	0x10034074	import	0x10024e96	KERNEL32.dll.TlsSetValue
0x10024ed8	0x100378b4	string	0x10024ed4	InitializeCriticalSectionEx
0x10024ee2	0x100378b4	string	0x10024ed4	InitializeCriticalSectionEx
0x10024f12	0x10034068	import	0x10024ed4	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x1002514c	0x10024fa3	string	0x100250db	j\bhx
0x10025183	0x1003403c	import	0x10025172	KERNEL32.dll.GetCurrentProcess
0x1002518a	0x10034040	import	0x10025172	KERNEL32.dll.TerminateProcess
0x1002519c	0x10034084	import	0x10025172	KERNEL32.dll.ExitProcess
0x100251a5	0x10034038	import	0x100251a3	KERNEL32.dll.GetModuleHandleW
0x10025236	0x100378d0	string	0x10025208	mscoree.dll
0x1002523d	0x10034088	import	0x10025208	KERNEL32.dll.GetModuleHandleExW
0x10025247	0x100378e8	string	0x10025208	CorExitProcess
0x1002524f	0x10034008	import	0x10025208	KERNEL32.dll.GetProcAddress
0x10025271	0x1003407c	import	0x10025208	KERNEL32.dll.FreeLibrary
0x1002536a	0x10034050	import	0x1002535f	KERNEL32.dll.GetLastError
0x10025379	0x10034054	import	0x1002535f	KERNEL32.dll.SetLastError
0x10025392	0x10034050	import	0x10025388	KERNEL32.dll.GetLastError
0x100253c2	0x10034054	import	0x10025388	KERNEL32.dll.SetLastError
0x100254e3	0x10034024	import	0x100253eb	KERNEL32.dll.IsDebuggerPresent
0x100254ed	0x1003402c	import	0x100253eb	KERNEL32.dll.SetUnhandledExceptionFilter
0x100254fa	0x10034028	import	0x100253eb	KERNEL32.dll.UnhandledExceptionFilter
0x10025616	0x10034034	import	0x10025614	KERNEL32.dll.IsProcessorFeaturePresent
0x10025639	0x1003403c	import	0x10025614	KERNEL32.dll.GetCurrentProcess
0x10025640	0x10034040	import	0x10025614	KERNEL32.dll.TerminateProcess
0x1002586c	0x10034064	import	0x10025833	KERNEL32.dll.DeleteCriticalSection
0x1002589b	0x1003405c	import	0x1002588f	KERNEL32.dll.EnterCriticalSection
0x100258af	0x10034060	import	0x100258a3	KERNEL32.dll.LeaveCriticalSection
0x10026941	0x10026977	string	0x1002691f	9Q(u
0x10026cab	0x10026cf5	string	0x10026a7d	8^8tb9^4~]
0x10026cb3	0x10026cf5	string	0x10026a7d	8^8tb9^4~]
0x10026cc1	0x10026cf5	string	0x10026a7d	8^8tb9^4~]
0x10026cdf	0x10026cf5	string	0x10026a7d	8^8tb9^4~]
0x10026cf0	0x10026cf5	string	0x10026a7d	8^8tb9^4~]
