reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401751	0x40802c	import	0x401730	USER32.dll.LoadCursorA
0x40175f	0x40801c	import	0x401730	KERNEL32.dll.GetCurrentThread
0x401775	0x40801c	import	0x401730	KERNEL32.dll.GetCurrentThread
0x4017e8	0x408010	import	0x4017c0	KERNEL32.dll.WriteFile
0x401891	0x409018	string	0x4017c0	piffile\shellex\propertysheethandlers
0x40189e	0x408000	import	0x4017c0	ADVAPI32.dll.RegOpenKeyExW
0x401914	0x409064	string	0x4017c0	klkljkl
0x401928	0x408014	import	0x4017c0	KERNEL32.dll.CreateFileA
0x401a42	0x40802c	import	0x4017c0	USER32.dll.LoadCursorA
0x401ae9	0x408028	import	0x401ab0	USER32.dll.GetSystemMetrics
0x401aff	0x408028	import	0x401ab0	USER32.dll.GetSystemMetrics
0x401c39	0x40802c	import	0x401c10	USER32.dll.LoadCursorA
0x401c7a	0x408020	import	0x401c70	KERNEL32.dll.LocalAlloc
0x401caf	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401cb9	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401cc3	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401ccd	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401cd7	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401ce1	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401ceb	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401cf5	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401cff	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d09	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d13	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d1d	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d27	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d31	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d3b	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d45	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d4f	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d59	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d63	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d6d	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d77	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d81	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d8b	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d95	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401d9f	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401da9	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401db3	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401dbd	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401dc7	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401dd1	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401ddb	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401de5	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401def	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401df9	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
0x401e03	0x408020	import	0x401ca0	KERNEL32.dll.LocalAlloc
