reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100010b5	0x1000b018	import	0x10001030	KERNEL32.dll.GetCommandLineW
0x100010bb	0x1000b010	import	0x10001030	KERNEL32.dll.GetCurrentThread
0x100011b7	0x1000b010	import	0x100010d0	KERNEL32.dll.GetCurrentThread
0x100012e8	0x1000b038	import	0x100012a0	KERNEL32.dll.GetACP
0x10001475	0x1000b040	import	0x10001420	KERNEL32.dll.GetVersionExA
0x1000147b	0x1000b028	import	0x10001420	KERNEL32.dll.GetOEMCP
0x1000148c	0x1000a3f0	string	0x10001420	H;\r)
0x1000150a	0x1000b050	import	0x100014a0	KERNEL32.dll.VirtualAlloc
0x10001875	0x1000b0d0	string	0x100014a0	kernel32
0x1000187c	0x1000b048	import	0x100014a0	KERNEL32.dll.GetModuleHandleA
0x10001e7b	0x1000b058	import	0x10001e30	KERNEL32.dll.GetCurrentProcessId
0x10001ee1	0x1000b010	import	0x10001e30	KERNEL32.dll.GetCurrentThread
0x10001f25	0x1000b038	import	0x10001ef0	KERNEL32.dll.GetACP
0x10001f92	0x1000b040	import	0x10001ef0	KERNEL32.dll.GetVersionExA
0x10001fa3	0x1000a3f0	string	0x10001ef0	H;\r)
0x10001fb8	0x1000b010	import	0x10001ef0	KERNEL32.dll.GetCurrentThread
0x1000221a	0x1000b060	import	0x10002090	KERNEL32.dll.GetTickCount
0x1000a423	0x1000b0c0	import	0x1000a3f0	KERNEL32.dll.RtlCaptureContext
0x1000a500	0x1000b0a8	import	0x1000a3f0	KERNEL32.dll.IsDebuggerPresent
0x1000a518	0x1000b0a0	import	0x1000a3f0	KERNEL32.dll.SetUnhandledExceptionFilter
0x1000a525	0x1000b098	import	0x1000a3f0	KERNEL32.dll.UnhandledExceptionFilter
0x1000a53e	0x1000b090	import	0x1000a3f0	KERNEL32.dll.GetCurrentProcess
0x1000a54c	0x1000b088	import	0x1000a3f0	KERNEL32.dll.TerminateProcess
0x1000a58a	0x1000b0b0	import	0x1000a58a	KERNEL32.dll.RtlVirtualUnwind
0x1000a590	0x1000b0b8	import	0x1000a590	KERNEL32.dll.RtlLookupFunctionEntry
