reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10003e1d	0x10003e10	string	0x10003e00	<}t)F<=t
0x10004065	0x10004058	string	0x10003fe0	<}tcG<=t
0x10005910	0x1000591a	string	0x10005720	hH*;
0x1000657b	0x10006594	string	0x100064a0	3ɉL$ blocks=Basic Latin,Latin Extended-B
0x10006582	0x10006594	string	0x100064a0	3ɉL$ blocks=Basic Latin,Latin Extended-B
0x10006cac	0x10006c90	string	0x10006c60	f92u
0x10007316	0x10007345	string	0x100072d0	hH*;
0x10007a81	0x10007400	string	0x10007a70	SVWj@h
0x10008d04	0x10008d10	string	0x10008c50	i\r|*;
0x10008dd1	0x10008d10	string	0x10008c50	i\r|*;
