reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x403593	0x40368f	string	0x40356f	j\Xf
0x4052bc	0x4052c6	string	0x40527f	hdHA
0x4056f2	0x4056fe	string	0x405653	h(JA
0x40573b	0x405768	string	0x405653	h<JA
0x4057a1	0x4056fe	string	0x405653	h(JA
0x405933	0x40594c	string	0x4057c4	hTJA
0x405b9c	0x405bc4	string	0x405b7d	9{\ft#j
0x405c98	0x405d86	string	0x405b7d	9CHt\j
0x405d0e	0x405d3d	string	0x405b7d	3\vȉL$ blocks=Basic Latin,Latin Extended-B
0x405d5a	0x405ce0	string	0x405b7d	Phh>A
0x405d89	0x405de7	string	0x405b7d	9CTt\
0x405dea	0x405e48	string	0x405b7d	9C$t
0x405e11	0x405e3c	string	0x405b7d	hhLA
0x405e19	0x405e2e	string	0x405b7d	hXLA
0x405e1e	0x405e27	string	0x405b7d	hHLA
0x405f82	0x405f9e	string	0x405b7d	3\tCl
0x40627c	0x40628d	string	0x4061c8	V3ɉ] blocks=Basic Latin,Latin Extended-B
0x4063b3	0x4063c0	string	0x4063a4	9^\ft\vh
0x4063d3	0x4063e0	string	0x4063a4	9^0t\vh
0x4063e3	0x4063f0	string	0x4063a4	9^<t\vh
0x4063f3	0x406400	string	0x4063a4	9^Ht\vh
0x406403	0x406410	string	0x4063a4	9^Tt\vh
0x406413	0x406420	string	0x4063a4	9^$t\vh
0x406423	0x406430	string	0x4063a4	9^`t\vh
0x4071dc	0x4071e0	string	0x407198	_]Ã= blocks=Basic Latin,Latin-1 Supplement
0x407491	0x4089ab	string	0x407308	;\rPjA
0x4078ca	0x4089ab	string	0x4076e8	;\rPjA
0x407b22	0x407b44	string	0x407b10	j\bh(PA
0x407c0a	0x410680	string	0x407c02	mscoree.dll
0x407c1b	0x410698	string	0x407c02	CorExitProcess
0x407c9b	0x407cad	string	0x407c7c	_^[]
0x408392	0x4089ab	string	0x408360	;\rPjA
0x4083a2	0x4089ab	string	0x408360	;\rPjA
0x4083ea	0x409c12	string	0x408360	UVWS
0x4084aa	0x4089ab	string	0x408360	;\rPjA
0x4084ba	0x4089ab	string	0x408360	;\rPjA
0x408806	0x4089ab	string	0x40860b	;\rPjA
0x408962	0x4089ab	string	0x408873	;\rPjA
0x408dd7	0x4089ab	string	0x408cbb	;\rPjA
0x4093ff	0x409450	string	0x408e50	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x409424	0x409450	string	0x408e50	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x40943f	0x409450	string	0x408e50	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x409673	0x40967c	string	0x409633	_^[]
0x4097b3	0x4097a6	string	0x40979e	;\fŠ/A blocks=Basic Latin,Latin Extended-A
0x40983d	0x409974	string	0x4097c2	SSSSS
0x409861	0x40987e	string	0x4097c2	hz\tB
0x409878	0x409974	string	0x4097c2	SSSSS
0x4098be	0x409974	string	0x4097c2	SSSSS
0x4098de	0x409974	string	0x4097c2	SSSSS
0x4098f5	0x409974	string	0x4097c2	SSSSS
0x40996b	0x4089ab	string	0x4097c2	;\rPjA
0x4099b2	0x4099be	string	0x409980	_^[]
0x409bcb	0x4089ab	string	0x409b20	;\rPjA
0x409c4b	0x409c56	string	0x409c42	_^[]
0x40a12b	0x4089ab	string	0x409f4e	;\rPjA
0x40a415	0x40a474	string	0x40a3d8	F녋]\b blocks=Basic Latin,Hangul Syllables
0x40a41b	0x40a474	string	0x40a3d8	F녋]\b blocks=Basic Latin,Hangul Syllables
0x40a4cb	0x40a4d8	string	0x40a4c0	]_^[
0x40a4fb	0x4089ab	string	0x40a4c0	;\rPjA
0x40a65f	0x40a6a8	string	0x40a600	+D$\b\eT$\f
0x40a7c1	0x40b47e	string	0x40a762	j\bh0QA
0x40a8b8	0x40b47e	string	0x40a84b	j\bh0QA
0x40b196	0x4089ab	string	0x40a93a	;\rPjA
0x40b23a	0x4089ab	string	0x40b19f	;\rPjA
0x40b2c8	0x4089ab	string	0x40b243	;\rPjA
0x40b8cb	0x40b8d1	string	0x40b7f0	u\nB;
0x40ba98	0x40ba9e	string	0x40b7f0	u\aB;
0x40bd59	0x4089ab	string	0x40b7f0	;\rPjA
0x40be3d	0x40be43	string	0x40bd62	u\nB;
0x40c00a	0x40c010	string	0x40bd62	u\aB;
0x40c2cb	0x4089ab	string	0x40bd62	;\rPjA
0x40c5b6	0x40c5da	string	0x40c2d4	j\nXJ
0x40ca43	0x4089ab	string	0x40c2d4	;\rPjA
0x40cdfd	0x40ce03	string	0x40cb23	PRSQ
0x40ce07	0x40e450	string	0x40cb23	WVU3
0x40ce18	0x40ce25	string	0x40cb23	PjdSQ
0x40ce1e	0x40ce25	string	0x40cb23	PjdSQ
0x40ce2a	0x40e450	string	0x40cb23	WVU3
0x40ce3b	0x40ce48	string	0x40cb23	Pj\nSQ
0x40ce41	0x40ce48	string	0x40cb23	Pj\nSQ
0x40ce4d	0x40e450	string	0x40cb23	WVU3
0x40cf6b	0x40cfe3	string	0x40ce9d	WWWWW
0x40cf94	0x40cf9e	string	0x40ce9d	j\n[;
0x40d0b3	0x4089ab	string	0x40cfee	;\rPjA
0x40d260	0x4089ab	string	0x40d1a8	;\rPjA
0x40d35f	0x4089ab	string	0x40d269	;\rPjA
0x40d532	0x40d536	string	0x40d51a	VVVVV
0x40d5aa	0x40b47e	string	0x40d541	j\bh0QA
0x40d73d	0x40d87f	string	0x40d71c	9S\bu.
0x40e06f	0x40e0c0	string	0x40dac0	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x40e094	0x40e0c0	string	0x40dac0	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x40e0af	0x40e0c0	string	0x40dac0	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x40e281	0x40e285	string	0x40e247	@9E\fw\t
0x40e437	0x4089ab	string	0x40e3bf	;\rPjA
0x40ef31	0x4089ab	string	0x40e5ac	;\rPjA
0x40f1ea	0x40f216	string	0x40f029	j@%@
0x40f1fe	0x40f216	string	0x40f029	j@%@
0x40f206	0x40f216	string	0x40f029	j@%@
0x40f20e	0x40f216	string	0x40f029	j@%@
0x40f260	0x40f3c2	string	0x40f029	j\bhpQA
