reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000342f	0x1000344d	string	0x100033b0	WUQP
0x10003a92	0x1002e48c	string	0x10003a20	bad locale name
0x10003c75	0x100196d7	string	0x10003c40	j\fhh
0x100040f2	0x1002e50c	string	0x100040b0	ios_base::badbit set
0x1000412c	0x1002e4f4	string	0x100040b0	ios_base::failbit set
0x1000415a	0x1002e4dc	string	0x100040b0	ios_base::eofbit set
0x10004464	0x1002e5fc	string	0x100043d0	bad cast
0x10004897	0x1002e62c	string	0x10004830	false
0x100048b4	0x1002e634	string	0x10004830	true
0x10005714	0x1002e5fc	string	0x10005680	bad cast
0x10005804	0x1002e5fc	string	0x10005770	bad cast
0x10005d8a	0x10005dc3	string	0x10005b30	9l$P
0x10005d92	0x10005dc3	string	0x10005b30	9l$P
0x10005da2	0x10005dc3	string	0x10005b30	9l$P
0x10006b16	0x10004200	string	0x10006aa0	SV3ۋ blocks=Basic Latin,Arabic
0x1000746d	0x1003c800	import	0x10007420	CRYPT32.dll.CryptUnprotectData
0x1000747b	0x1002e004	import	0x10007420	KERNEL32.dll.GetLastError
0x10007554	0x1002e000	import	0x10007420	KERNEL32.dll.LocalFree
0x10007fb2	0x1002e020	import	0x10007f90	KERNEL32.dll.WaitForSingleObject
0x10007fdd	0x1002e004	import	0x10007f90	KERNEL32.dll.GetLastError
0x10008219	0x1002e004	import	0x100081b0	KERNEL32.dll.GetLastError
0x1000868b	0x1002e024	import	0x10008550	KERNEL32.dll.CreateFileW
0x100086bc	0x1002e004	import	0x10008550	KERNEL32.dll.GetLastError
0x10008892	0x1002e028	import	0x10008790	KERNEL32.dll.WriteFile
0x100088ae	0x1002e004	import	0x10008790	KERNEL32.dll.GetLastError
0x10008c63	0x1002e030	import	0x10008b80	KERNEL32.dll.GetFileSize
0x10008c72	0x1002e004	import	0x10008b80	KERNEL32.dll.GetLastError
0x10008e13	0x1002e034	import	0x10008d20	KERNEL32.dll.SetFilePointer
0x10008e22	0x1002e004	import	0x10008d20	KERNEL32.dll.GetLastError
0x10008ef4	0x1002e038	import	0x10008ef0	KERNEL32.dll.CloseHandle
