reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001951	0x10026444	import	0x10001925	ADVAPI32.dll.RegOpenKeyExW
0x1000199b	0x10026440	import	0x10001925	ADVAPI32.dll.RegSetValueExW
0x100019aa	0x1002644c	import	0x10001925	ADVAPI32.dll.RegCloseKey
0x10001a4b	0x10001a4f	string	0x10001a3a	9D$\fr5
0x10002009	0x1000e024	import	0x10001fb5	KERNEL32.dll.ExpandEnvironmentStringsW
0x10002075	0x1000207a	string	0x1000204a	SVWPh
0x1000208d	0x1000e004	import	0x1000204a	KERNEL32.dll.CreateFileW
0x1000209b	0x1000e018	import	0x1000204a	KERNEL32.dll.GetLastError
0x100025a1	0x100025a5	string	0x10002593	9T$\br
0x100026b7	0x10026444	import	0x10002689	ADVAPI32.dll.RegOpenKeyExW
0x10002779	0x10026444	import	0x1000274c	ADVAPI32.dll.RegOpenKeyExW
0x10002a3a	0x10002bde	string	0x10002a01	9}\brD
0x1000308e	0x10003097	string	0x10002e67	3ɋFl3҃ blocks=Basic Latin,Latin Extended-B,Cyrillic
0x100030ca	0x1000307d	string	0x10002e67	_^[Ë\$ blocks=Basic Latin,Latin-1 Supplement
0x100030cf	0x1000307d	string	0x10002e67	_^[Ë\$ blocks=Basic Latin,Latin-1 Supplement
0x100030dd	0x1000307d	string	0x10002e67	_^[Ë\$ blocks=Basic Latin,Latin-1 Supplement
0x10003334	0x1000333d	string	0x10002e67	3ɋFlQ+ blocks=Basic Latin,Latin Extended-B
0x10003373	0x1000337c	string	0x10002e67	3ɋFl3҃|$ blocks=Basic Latin,Latin Extended-B,Cyrillic
0x100033b7	0x10003369	string	0x10002e67	_^][Ë~\ blocks=Basic Latin,Latin-1 Supplement
0x100033c7	0x10003369	string	0x10002e67	_^][Ë~\ blocks=Basic Latin,Latin-1 Supplement
0x100033fa	0x100036e2	string	0x10002e67	9Vht9
0x1000368f	0x10003698	string	0x10002e67	3ɋFlQ+ blocks=Basic Latin,Latin Extended-B
0x100039bb	0x100039b4	string	0x10003892	IOOf
0x10003a8b	0x10003ab3	string	0x10003a4f	G;}\b~
0x10003d03	0x10003d34	string	0x10003ca5	3ۅɉE blocks=Basic Latin,Arabic,Latin Extended-B
0x10003d1d	0x10003d34	string	0x10003ca5	3ۅɉE blocks=Basic Latin,Arabic,Latin Extended-B
0x10003d2b	0x10003d34	string	0x10003ca5	3ۅɉE blocks=Basic Latin,Arabic,Latin Extended-B
0x10003d48	0x10003d4f	string	0x10003ca5	j\aZj
0x100041dc	0x100041e3	string	0x10003d61	j\a_j
0x10004c8d	0x1000e03c	import	0x10004c14	KERNEL32.dll.RaiseException
0x10004d0a	0x1000e038	import	0x10004c14	KERNEL32.dll.LoadLibraryA
0x10004d16	0x1000e018	import	0x10004c14	KERNEL32.dll.GetLastError
0x10004d49	0x1000e03c	import	0x10004c14	KERNEL32.dll.RaiseException
0x10004d5b	0x1000e034	import	0x10004c14	KERNEL32.dll.InterlockedExchange
0x10004d6f	0x1000e02c	import	0x10004c14	KERNEL32.dll.LocalAlloc
0x10004d8c	0x1000e030	import	0x10004c14	KERNEL32.dll.FreeLibrary
0x10004de1	0x1000e020	import	0x10004c14	KERNEL32.dll.GetProcAddress
0x10004ded	0x1000e018	import	0x10004c14	KERNEL32.dll.GetLastError
0x10004e1f	0x1000e03c	import	0x10004c14	KERNEL32.dll.RaiseException
0x10004e51	0x10005995	string	0x10004e51	j\fh D
0x100050e8	0x10005995	string	0x100050d9	j\fh D
0x100050f6	0x1000e1dc	string	0x100050d9	Unknown exception
0x1000524a	0x1000524e	string	0x1000519b	_^][Y
0x1000529b	0x1000519b	string	0x10005283	QSUVW
0x10005425	0x1000e04c	import	0x1000537b	KERNEL32.dll.IsDebuggerPresent
0x1000542f	0x1000e048	import	0x1000537b	KERNEL32.dll.SetUnhandledExceptionFilter
0x10005439	0x1000e044	import	0x1000537b	KERNEL32.dll.UnhandledExceptionFilter
0x10005454	0x1000e028	import	0x1000537b	KERNEL32.dll.GetCurrentProcess
0x1000545b	0x1000e040	import	0x1000537b	KERNEL32.dll.TerminateProcess
0x100054d2	0x10007e8c	string	0x1000549b	j\fh\bF
0x1000556c	0x1000e218	string	0x10005527	ADVAPI32.DLL
0x10005571	0x1000e038	import	0x10005527	KERNEL32.dll.LoadLibraryA
0x10005596	0x10005626	string	0x10005527	[_^]
0x1000559b	0x1000e204	string	0x10005527	SystemFunction036
0x100055a1	0x1000e020	import	0x10005527	KERNEL32.dll.GetProcAddress
0x100055b2	0x1000e018	import	0x10005527	KERNEL32.dll.GetLastError
0x100055da	0x10005626	string	0x10005527	[_^]
0x100055f4	0x1000e034	import	0x10005527	KERNEL32.dll.InterlockedExchange
0x10005601	0x1000e030	import	0x10005527	KERNEL32.dll.FreeLibrary
0x10005622	0x10005626	string	0x10005527	[_^]
0x100059fd	0x1000e050	import	0x100059eb	KERNEL32.dll.HeapFree
0x10005a0e	0x1000e018	import	0x100059eb	KERNEL32.dll.GetLastError
0x10005a81	0x1000e054	import	0x10005a72	KERNEL32.dll.HeapAlloc
0x10005acb	0x10005a23	string	0x10005a72	j\fh@D
0x10005d42	0x10005d55	string	0x10005cdc	9}\bu
0x10005e9e	0x10005995	string	0x10005e3e	j\fh D
0x10005f3f	0x1000e064	import	0x10005f2c	KERNEL32.dll.GetProcessHeap
0x10005f50	0x1000e054	import	0x10005f2c	KERNEL32.dll.HeapAlloc
0x10005f66	0x1000e060	import	0x10005f2c	KERNEL32.dll.GetVersionExA
