reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100014e9	0x100014f0	string	0x10001494	9t$\ftr
0x100015d5	0x10022030	import	0x100015ac	KERNEL32.dll.SetEvent
0x10001806	0x1000180d	string	0x10001743	;~\br
0x10001909	0x10001910	string	0x10001743	;_\br
0x10001c7d	0x1002d684	import	0x10001c40	ADVAPI32.dll.RegOpenKeyW
0x10002240	0x10002247	string	0x1000222b	9u\fuC
0x100026fb	0x10002709	string	0x100026f8	;t$\bu
0x10002a18	0x1002805c	string	0x100029ff	invalid map/set<T> iterator
0x10002f5f	0x10028078	string	0x10002f41	map/set<T> too long
0x100035ec	0x100035f0	string	0x100035de	9T$\br
0x10003719	0x1000371d	string	0x1000370b	9T$\br
0x100038b2	0x1002805c	string	0x10003899	invalid map/set<T> iterator
0x10003d85	0x1002d678	import	0x10003d73	ADVAPI32.dll.RegCloseKey
0x100041a9	0x1002d678	import	0x1000419c	ADVAPI32.dll.RegCloseKey
0x100043f5	0x10022010	import	0x100043ad	KERNEL32.dll.SetErrorMode
0x10004491	0x10022030	import	0x1000444e	KERNEL32.dll.SetEvent
0x100044ba	0x1002200c	import	0x1000444e	KERNEL32.dll.WaitForSingleObject
0x100044cc	0x10022000	import	0x1000444e	KERNEL32.dll.TerminateThread
0x1000450c	0x10022008	import	0x1000444e	KERNEL32.dll.CreateThread
0x1000456b	0x10022004	import	0x1000444e	KERNEL32.dll.CloseHandle
0x100045c6	0x10022010	import	0x100045ba	KERNEL32.dll.SetErrorMode
0x10004651	0x1002201c	import	0x100045f3	KERNEL32.dll.GetLastError
0x100046f1	0x1002201c	import	0x100045f3	KERNEL32.dll.GetLastError
0x100047ec	0x100047f6	string	0x10004782	;EԉE blocks=Basic Latin,Cyrillic Supplement
0x100048df	0x10004918	string	0x1000484d	;_\br
0x10004dd8	0x10022004	import	0x10004dca	KERNEL32.dll.CloseHandle
0x1000517b	0x10005164	string	0x10005145	;}\ft
0x100051c6	0x10022024	import	0x100051b0	KERNEL32.dll.CreateEventW
0x100051d3	0x1002201c	import	0x100051b0	KERNEL32.dll.GetLastError
0x10005215	0x10022004	import	0x1000520c	KERNEL32.dll.CloseHandle
0x1000523b	0x1002200c	import	0x1000521c	KERNEL32.dll.WaitForSingleObject
0x1000524c	0x1002201c	import	0x1000521c	KERNEL32.dll.GetLastError
0x10005288	0x1002201c	import	0x10005284	KERNEL32.dll.GetLastError
0x100052d2	0x10022034	import	0x100052a0	KERNEL32.dll.GetVersionExW
0x100052dc	0x1002201c	import	0x100052a0	KERNEL32.dll.GetLastError
0x10005599	0x10022038	import	0x1000555f	KERNEL32.dll.GetLogicalDriveStringsW
0x10005739	0x10028078	string	0x1000571f	map/set<T> too long
0x10005b40	0x1002203c	import	0x10005b15	KERNEL32.dll.GetSystemTime
0x10006219	0x1002215c	import	0x10006186	KERNEL32.dll.SetFilePointer
0x10006224	0x1002201c	import	0x10006186	KERNEL32.dll.GetLastError
0x100062c2	0x100062cc	string	0x10006186	;Ëw\b blocks=Basic Latin,Latin-1 Supplement
0x10006522	0x100280bc	string	0x100064f6	list<T> too long
0x100065d6	0x100065dd	string	0x100065be	;E\bs0
0x1000695c	0x1002808c	string	0x1000694f	vector<T> too long
0x10007019	0x1000702c	string	0x10007015	Ë\b;q\fs\b blocks=Latin-1 Supplement,Basic Latin
0x10007022	0x1000702c	string	0x10007015	Ë\b;q\fs\b blocks=Latin-1 Supplement,Basic Latin
0x1000727c	0x1000ef64	string	0x10007258	j\fh
0x10007411	0x10007418	string	0x100073ff	;u\ft\eW
0x100074ac	0x100074b3	string	0x10007498	;u\ft
0x100075a1	0x100280f0	string	0x10007558	ios_base::badbit set
0x100075d1	0x10028108	string	0x10007558	ios_base::failbit set
0x100075fd	0x10028120	string	0x10007558	ios_base::eofbit set
0x1000771c	0x1002202c	import	0x100076fb	KERNEL32.dll.GetCurrentProcess
0x10007743	0x10022028	import	0x100076fb	KERNEL32.dll.DuplicateHandle
0x1000774d	0x1002201c	import	0x100076fb	KERNEL32.dll.GetLastError
0x100078ca	0x10022040	import	0x1000789a	KERNEL32.dll.GetDriveTypeW
0x10007952	0x10022048	import	0x1000789a	KERNEL32.dll.CreateFileW
0x10007974	0x1002201c	import	0x1000789a	KERNEL32.dll.GetLastError
0x100079ae	0x10022044	import	0x1000789a	KERNEL32.dll.DeviceIoControl
0x100079b8	0x1002201c	import	0x1000789a	KERNEL32.dll.GetLastError
0x100084a0	0x100084a7	string	0x1000824b	9q<s
0x10009016	0x1000902f	string	0x10008fd6	3\tF$
0x100090c2	0x100090db	string	0x10009093	3\tF8
0x10009e01	0x10028154	string	0x10009dac	bad cast
0x10009ea4	0x10028154	string	0x10009e4f	bad cast
0x10009f47	0x10028154	string	0x10009ef2	bad cast
0x1000a17c	0x100280dc	string	0x1000a103	false
0x1000a198	0x100280e4	string	0x1000a103	true
0x1000a448	0x1000a482	string	0x1000a42d	9w\fvx
0x1000a4ac	0x1000a4b3	string	0x1000a42d	;w\bt
0x1000a561	0x1002204c	import	0x1000a559	KERNEL32.dll.FindClose
0x1000a5bb	0x10022054	import	0x1000a58a	KERNEL32.dll.FindNextFileW
0x1000a5ca	0x1002201c	import	0x1000a58a	KERNEL32.dll.GetLastError
0x1000a643	0x1002701c	string	0x1000a616	\*.*
0x1000a6a4	0x10022050	import	0x1000a616	KERNEL32.dll.FindFirstFileW
0x1000a85b	0x100280bc	string	0x1000a82f	list<T> too long
