reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40274b	0x409b65	string	0x4026e0	UVW3
0x40275a	0x4010d0	import	0x4026e0	KERNEL32.dll.lstrlenW
0x402789	0x401104	import	0x4026e0	SHLWAPI.dll.StrStrA
0x4027b2	0x4010e8	import	0x4026e0	KERNEL32.dll.HeapCreate
0x4027bf	0x4010e0	import	0x4026e0	KERNEL32.dll.HeapAlloc
0x4027d4	0x401118	import	0x4026e0	USER32.dll.wsprintfA
0x4027e1	0x4019e4	string	0x4026e0	taskkill /F /T /PID
0x4027e7	0x4010d8	import	0x4026e0	KERNEL32.dll.lstrcpyA
0x4027f3	0x4010d4	import	0x4026e0	KERNEL32.dll.lstrcatA
0x402816	0x4010cc	import	0x4026e0	KERNEL32.dll.CreateProcessA
0x402833	0x4010dc	import	0x4026e0	KERNEL32.dll.CloseHandle
0x4029a5	0x401030	import	0x402999	KERNEL32.dll.GetProcessHeap
0x4029ac	0x4010e0	import	0x402999	KERNEL32.dll.HeapAlloc
0x4029b9	0x401030	import	0x4029b3	KERNEL32.dll.GetProcessHeap
0x4029c0	0x40102c	import	0x4029b3	KERNEL32.dll.HeapFree
0x4029cd	0x401030	import	0x4029c7	KERNEL32.dll.GetProcessHeap
0x4029d4	0x4010e0	import	0x4029c7	KERNEL32.dll.HeapAlloc
0x4029ec	0x401030	import	0x4029db	KERNEL32.dll.GetProcessHeap
0x4029f3	0x401028	import	0x4029db	KERNEL32.dll.HeapReAlloc
0x4029fc	0x401030	import	0x4029db	KERNEL32.dll.GetProcessHeap
0x402a03	0x4010e0	import	0x4029db	KERNEL32.dll.HeapAlloc
0x403c28	0x403ccc	string	0x403bfa	+:;>\e
0x403c70	0x403ccc	string	0x403bfa	+:;>\e
0x403c95	0x403ccc	string	0x403bfa	+:;>\e
0x403cb5	0x403ccc	string	0x403bfa	+:;>\e
0x403e91	0x403ec8	string	0x403d52	][_^Y
0x403f58	0x403fa8	string	0x403f09	][_^Y
0x403f77	0x403fa8	string	0x403f09	][_^Y
0x403f91	0x403fa8	string	0x403f09	][_^Y
0x40410c	0x404142	string	0x4040d9	^][_
0x404487	0x4044bb	string	0x404446	^_][Y
0x404571	0x401034	import	0x40454c	KERNEL32.dll.lstrlenA
0x404709	0x404846	string	0x4046c2	X_][
0x40488e	0x4048cf	string	0x404850	_^][
0x40489d	0x4048cf	string	0x404850	_^][
0x4048a1	0x4048cf	string	0x404850	_^][
0x40497a	0x4049f3	string	0x404931	_^][Y
0x404a98	0x404aa1	string	0x4049fb	_^[Y
0x404cf1	0x404d06	string	0x404cc5	;]\ft
0x40505b	0x405071	string	0x404ff6	9|$\t
0x40508d	0x405427	string	0x404ff6	^[_]
0x40642a	0x406441	string	0x4063f1	^]_[
0x406dee	0x406df8	string	0x406dda	UVWh
0x406ee7	0x406eb1	string	0x406dda	3ҍL$ blocks=Basic Latin,Cyrillic
