reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000127f	0x1000131f	string	0x1000122b	j\bX_[^
0x100012b4	0x1000c278	string	0x1000122b	Sep 21 2021
0x10001479	0x1000d104	import	0x1000137b	SHLWAPI.dll.StrStrIW
0x1000156a	0x100015ce	string	0x1000155a	j\bX_^]
0x10002aec	0x10004506	string	0x100029ed	IVWx
0x10002da1	0x10002ef5	string	0x10002d6e	j\b^_
0x10002fa4	0x1000d160	import	0x10002f70	ole32.dll.CoInitializeEx
0x100030c1	0x1000d11c	import	0x10002f70	USER32.dll.wsprintfA
0x1000313a	0x1000d15c	import	0x10002f70	ole32.dll.CoUninitialize
0x100032c5	0x100032fa	string	0x100032b5	_^[]
0x100032ee	0x100032fa	string	0x100032b5	_^[]
0x10004702	0x10004835	string	0x100046b2	j\b[_^
0x10004714	0x1000d0f0	import	0x100046b2	SHLWAPI.dll.StrCmpNIW
0x10004873	0x100048c0	string	0x10004841	j\b^_
0x10004a32	0x1000d0ec	import	0x10004a2a	SHLWAPI.dll.StrChrA
0x10004a4a	0x10004a41	string	0x10004a2a	Gj @P
0x10004a64	0x1000d100	import	0x10004a2a	SHLWAPI.dll.StrTrimA
0x10004ab9	0x1000d0dc	import	0x10004ab9	ADVAPI32.dll.ConvertStringSecurityDescriptorToSecurityDescriptorA
0x10004b5d	0x1000d0ec	import	0x10004b2a	SHLWAPI.dll.StrChrA
0x10005203	0x1000d0bc	import	0x100051b1	ADVAPI32.dll.RegOpenKeyExW
0x1000521f	0x1000d0c4	import	0x100051b1	ADVAPI32.dll.RegQueryValueExW
0x10005230	0x1000d0cc	import	0x100051b1	ADVAPI32.dll.RegCloseKey
0x10005368	0x1000d108	import	0x10005319	SHLWAPI.dll.StrToIntExW
0x10005487	0x1000d11c	import	0x10005450	USER32.dll.wsprintfA
0x100055e8	0x1000d100	import	0x10005450	SHLWAPI.dll.StrTrimA
0x100057e7	0x1000d13c	import	0x100057dd	WININET.dll.HttpQueryInfoA
0x100058f6	0x1000d130	import	0x100058db	WININET.dll.InternetCloseHandle
0x100058fd	0x1000d12c	import	0x100058db	WININET.dll.InternetSetStatusCallback
0x10005a78	0x1000d158	import	0x10005a4e	ole32.dll.CoCreateInstance
0x10005acd	0x1000d154	import	0x10005a4e	ole32.dll.CoSetProxyBlanket
0x10005b1a	0x10005b73	string	0x10005b05	j\b[_^
0x10005be6	0x1000d0a8	import	0x10005bc0	ADVAPI32.dll.RegOpenKeyExA
0x10005c2d	0x1000d0d8	import	0x10005bc0	ADVAPI32.dll.RegEnumKeyExA
0x10005cc2	0x1000d0cc	import	0x10005bc0	ADVAPI32.dll.RegCloseKey
0x100061c4	0x1000d10c	import	0x10006150	SHLWAPI.dll.StrChrW
0x100063ae	0x1000d110	import	0x1000636d	SHLWAPI.dll.StrStrA
0x10007a65	0x1000d0b4	import	0x10007a2e	ADVAPI32.dll.GetUserNameW
0x10007a89	0x1000d0b4	import	0x10007a2e	ADVAPI32.dll.GetUserNameW
0x10007bff	0x1000d100	import	0x10007b8d	SHLWAPI.dll.StrTrimA
