reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180001023	0x1800290b0	import	0x180001000	KERNEL32.dll.lstrlenA
0x18000102e	0x1800290b0	import	0x180001000	KERNEL32.dll.lstrlenA
0x180001049	0x1800290c8	import	0x180001000	KERNEL32.dll.HeapAlloc
0x180001061	0x1800290a8	import	0x180001000	KERNEL32.dll.lstrcpyA
0x180001079	0x1800290b8	import	0x180001000	KERNEL32.dll.lstrcatA
0x180001089	0x1800290b8	import	0x180001000	KERNEL32.dll.lstrcatA
0x18000109f	0x1800290c8	import	0x180001000	KERNEL32.dll.HeapAlloc
0x1800010d8	0x18002f2c0	import	0x180001000	CRYPT32.dll.CertOpenSystemStoreW
0x1800010f1	0x18002f2a8	import	0x180001000	CRYPT32.dll.CertEnumCertificatesInStore
0x180001109	0x18002f2a8	import	0x180001000	CRYPT32.dll.CertEnumCertificatesInStore
0x180001140	0x18002f2b0	import	0x180001000	CRYPT32.dll.PFXExportCertStoreEx
0x18000115c	0x1800290c8	import	0x180001000	KERNEL32.dll.HeapAlloc
0x180001186	0x18002f2b0	import	0x180001000	CRYPT32.dll.PFXExportCertStoreEx
0x1800011af	0x180029098	import	0x180001000	KERNEL32.dll.CreateFileA
0x1800011d8	0x1800290c0	import	0x180001000	KERNEL32.dll.WriteFile
0x1800011e3	0x180029088	import	0x180001000	KERNEL32.dll.CloseHandle
0x1800011f7	0x180029078	import	0x180001000	KERNEL32.dll.HeapFree
0x180001202	0x18002f2b8	import	0x180001000	CRYPT32.dll.CertCloseStore
0x180001214	0x180029078	import	0x180001000	KERNEL32.dll.HeapFree
0x180001226	0x180029078	import	0x180001000	KERNEL32.dll.HeapFree
0x180001271	0x1800290a0	import	0x180001000	KERNEL32.dll.DeleteFileA
0x18000127c	0x180029068	import	0x180001000	KERNEL32.dll.CreateDirectoryA
0x180001286	0x180029070	import	0x180001000	KERNEL32.dll.GetLastError
0x180001330	0x180029080	import	0x180001000	KERNEL32.dll.RemoveDirectoryA
0x180001342	0x180029078	import	0x180001000	KERNEL32.dll.HeapFree
0x1800013c8	0x1800290c8	import	0x1800013bc	KERNEL32.dll.HeapAlloc
0x1800013dc	0x180029078	import	0x1800013d0	KERNEL32.dll.HeapFree
0x18000140c	0x1800290d8	import	0x1800013e4	KERNEL32.dll.HeapCreate
0x180001426	0x1800290f0	import	0x1800013e4	KERNEL32.dll.GetTickCount
0x180001441	0x180029198	import	0x1800013e4	KERNEL32.dll.CreateEventA
0x180001453	0x180029390	import	0x1800013e4	KERNEL32.dll.GetVersion
0x18000145f	0x180029388	import	0x1800013e4	KERNEL32.dll.GetCurrentProcessId
0x18000147c	0x180029110	import	0x1800013e4	KERNEL32.dll.OpenProcess
0x180001498	0x180029070	import	0x1800013e4	KERNEL32.dll.GetLastError
0x1800014ae	0x18002a25c	string	0x1800013e4	.bss
0x1800014cd	0x1800292c8	import	0x1800013e4	KERNEL32.dll.lstrcpynA
0x1800014db	0x18001adbc	string	0x1800013e4	LcA<L
0x1800014f6	0x18002a250	string	0x1800013e4	Nov 24 2016
0x1800015f0	0x1800290e0	import	0x1800015e0	KERNEL32.dll.SetEvent
0x180001607	0x180029088	import	0x1800015e0	KERNEL32.dll.CloseHandle
0x180001619	0x1800290d0	import	0x1800015e0	KERNEL32.dll.HeapDestroy
0x1800016a4	0x1800290b0	import	0x180001674	KERNEL32.dll.lstrlenA
0x1800016b0	0x1800290b0	import	0x180001674	KERNEL32.dll.lstrlenA
0x1800016c7	0x1800290c8	import	0x180001674	KERNEL32.dll.HeapAlloc
0x1800016f9	0x18002f4b0	import	0x180001674	USER32.dll.wsprintfA
0x180001732	0x180029078	import	0x180001674	KERNEL32.dll.HeapFree
0x1800017ad	0x1800294b0	import	0x180001798	ntdll.dll.RtlAdjustPrivilege
0x1800017bc	0x18002f4d0	import	0x180001798	USER32.dll.ExitWindowsEx
0x1800017c6	0x180029070	import	0x180001798	KERNEL32.dll.GetLastError
0x180001805	0x1800290c8	import	0x1800017e0	KERNEL32.dll.HeapAlloc
0x18000181c	0x1800291a0	import	0x1800017e0	KERNEL32.dll.GetWindowsDirectoryA
0x180001831	0x18002f390	import	0x1800017e0	SHLWAPI.dll.StrChrA
0x18000184c	0x18002f4b0	import	0x1800017e0	USER32.dll.wsprintfA
0x180001874	0x180029098	import	0x1800017e0	KERNEL32.dll.CreateFileA
0x180001885	0x180029130	import	0x1800017e0	KERNEL32.dll.GetModuleHandleA
0x1800018a2	0x1800290c0	import	0x1800017e0	KERNEL32.dll.WriteFile
0x1800018b0	0x180029070	import	0x1800017e0	KERNEL32.dll.GetLastError
0x1800018bb	0x180029088	import	0x1800017e0	KERNEL32.dll.CloseHandle
0x1800018cc	0x180029070	import	0x1800017e0	KERNEL32.dll.GetLastError
0x1800018e0	0x180029078	import	0x1800017e0	KERNEL32.dll.HeapFree
0x18000191e	0x180029460	import	0x1800018f8	ntdll.dll.RtlImageNtHeader
0x180001931	0x1800290f8	import	0x1800018f8	KERNEL32.dll.GetTempPathA
0x180001947	0x1800290c8	import	0x1800018f8	KERNEL32.dll.HeapAlloc
0x180001961	0x1800290f8	import	0x1800018f8	KERNEL32.dll.GetTempPathA
0x180001969	0x1800290f0	import	0x1800018f8	KERNEL32.dll.GetTickCount
0x18000197d	0x18002f4b0	import	0x1800018f8	USER32.dll.wsprintfA
0x1800019b9	0x18002f1f8	import	0x1800018f8	ADVAPI32.dll.RegCreateKeyA
0x1800019d2	0x18002f3b0	import	0x1800018f8	SHLWAPI.dll.StrRChrA
0x1800019de	0x1800290b0	import	0x1800018f8	KERNEL32.dll.lstrlenA
0x180001a02	0x18002f1f0	import	0x1800018f8	ADVAPI32.dll.RegSetValueExA
0x180001a0f	0x18002f200	import	0x1800018f8	ADVAPI32.dll.RegCloseKey
0x180001a21	0x180029078	import	0x1800018f8	KERNEL32.dll.HeapFree
0x180001c3c	0x18002f1e8	import	0x180001c1c	ADVAPI32.dll.RegOpenKeyA
0x180001c50	0x18002f1e0	import	0x180001c1c	ADVAPI32.dll.RegDeleteValueA
0x180001c68	0x18002f1e0	import	0x180001c1c	ADVAPI32.dll.RegDeleteValueA
0x180001c73	0x18002f200	import	0x180001c1c	ADVAPI32.dll.RegCloseKey
0x180001d29	0x1800290b0	import	0x180001c88	KERNEL32.dll.lstrlenA
0x180001d5d	0x180029078	import	0x180001c88	KERNEL32.dll.HeapFree
0x180001dcf	0x180029460	import	0x180001d84	ntdll.dll.RtlImageNtHeader
0x180001de8	0x180029168	import	0x180001d84	KERNEL32.dll.GetCurrentThreadId
0x180001dfe	0x180029180	import	0x180001d84	KERNEL32.dll.GetCurrentThread
0x180001e90	0x180029078	import	0x180001d84	KERNEL32.dll.HeapFree
0x180001ea2	0x180029078	import	0x180001d84	KERNEL32.dll.HeapFree
0x180001f06	0x1800290c8	import	0x180001d84	KERNEL32.dll.HeapAlloc
0x180001f1c	0x18002f4b0	import	0x180001d84	USER32.dll.wsprintfA
0x180001f25	0x1800290b0	import	0x180001d84	KERNEL32.dll.lstrlenA
0x180001f4a	0x180029078	import	0x180001d84	KERNEL32.dll.HeapFree
0x180001f9b	0x1800290b0	import	0x180001f68	KERNEL32.dll.lstrlenA
0x180002002	0x1800290c8	import	0x180001f68	KERNEL32.dll.HeapAlloc
0x18000201e	0x1800294b8	import	0x180001f68	ntdll.dll.mbstowcs
0x18000202e	0x180029140	import	0x180001f68	KERNEL32.dll.lstrcatW
0x180002065	0x180029078	import	0x180001f68	KERNEL32.dll.HeapFree
0x18000207a	0x1800290c8	import	0x180001f68	KERNEL32.dll.HeapAlloc
0x180002099	0x18002f348	import	0x180001f68	SHELL32.dll.SHGetFolderPathW
0x1800020ad	0x180029140	import	0x180001f68	KERNEL32.dll.lstrcatW
0x1800020e4	0x180029078	import	0x180001f68	KERNEL32.dll.HeapFree
0x180002110	0x1800291b0	import	0x180001f68	KERNEL32.dll.CreateDirectoryW
0x180002175	0x180029188	import	0x180001f68	KERNEL32.dll.lstrlenW
0x18000218a	0x180029188	import	0x180001f68	KERNEL32.dll.lstrlenW
0x180002195	0x180029188	import	0x180001f68	KERNEL32.dll.lstrlenW
0x1800021b3	0x1800290c8	import	0x180001f68	KERNEL32.dll.HeapAlloc
0x1800021cb	0x180029128	import	0x180001f68	KERNEL32.dll.lstrcpyW
0x1800021dc	0x180029140	import	0x180001f68	KERNEL32.dll.lstrcatW
0x1800021e7	0x1800291b0	import	0x180001f68	KERNEL32.dll.CreateDirectoryW
0x1800021f7	0x180029140	import	0x180001f68	KERNEL32.dll.lstrcatW
0x180002202	0x180029140	import	0x180001f68	KERNEL32.dll.lstrcatW
0x18000220d	0x1800291b0	import	0x180001f68	KERNEL32.dll.CreateDirectoryW
0x18000221d	0x180029140	import	0x180001f68	KERNEL32.dll.lstrcatW
0x180002233	0x18002f3a8	import	0x180001f68	SHLWAPI.dll.StrChrW
0x180002247	0x180029140	import	0x180001f68	KERNEL32.dll.lstrcatW
0x180002258	0x180029160	import	0x180001f68	KERNEL32.dll.CopyFileW
0x18000226a	0x180029078	import	0x180001f68	KERNEL32.dll.HeapFree
0x180002275	0x1800291a8	import	0x180001f68	KERNEL32.dll.DeleteFileW
0x180002287	0x180029078	import	0x180001f68	KERNEL32.dll.HeapFree
0x1800022ac	0x180029078	import	0x180001f68	KERNEL32.dll.HeapFree
0x180002319	0x1800290c8	import	0x180002300	KERNEL32.dll.HeapAlloc
0x180002338	0x18002f330	import	0x180002300	SHELL32.dll.SHGetFolderPathA
0x180002365	0x18002f330	import	0x180002300	SHELL32.dll.SHGetFolderPathA
0x180002398	0x180029078	import	0x180002300	KERNEL32.dll.HeapFree
0x1800023eb	0x1800290c8	import	0x1800023b4	KERNEL32.dll.HeapAlloc
0x180002417	0x1800290a8	import	0x1800023b4	KERNEL32.dll.lstrcpyA
0x18000245c	0x180029078	import	0x1800023b4	KERNEL32.dll.HeapFree
0x1800024a1	0x1800290a0	import	0x1800023b4	KERNEL32.dll.DeleteFileA
0x1800024b5	0x180029078	import	0x1800023b4	KERNEL32.dll.HeapFree
0x180002690	0x18002f390	import	0x180002650	SHLWAPI.dll.StrChrA
0x1800026af	0x18002f368	import	0x180002650	SHLWAPI.dll.StrTrimA
0x1800026c1	0x18002f390	import	0x180002650	SHLWAPI.dll.StrChrA
0x1800026e0	0x18002f368	import	0x180002650	SHLWAPI.dll.StrTrimA
0x18000272f	0x18000273f	string	0x180002650	3\vL$D3
0x180002734	0x1800290b0	import	0x180002650	KERNEL32.dll.lstrlenA
0x18000275d	0x1800290c8	import	0x180002650	KERNEL32.dll.HeapAlloc
0x18000277b	0x1800290a8	import	0x180002650	KERNEL32.dll.lstrcpyA
0x180002784	0x1800290b0	import	0x180002650	KERNEL32.dll.lstrlenA
0x180002806	0x180029148	import	0x180002650	KERNEL32.dll.SwitchToThread
0x180002838	0x180029078	import	0x180002650	KERNEL32.dll.HeapFree
0x18000285b	0x180029078	import	0x180002650	KERNEL32.dll.HeapFree
0x180002872	0x180029078	import	0x180002650	KERNEL32.dll.HeapFree
0x180002b85	0x1800290b0	import	0x180002b58	KERNEL32.dll.lstrlenA
0x180002b9e	0x1800290c8	import	0x180002b58	KERNEL32.dll.HeapAlloc
0x180002bbe	0x1800290a8	import	0x180002b58	KERNEL32.dll.lstrcpyA
0x180002be5	0x180029138	import	0x180002b58	KERNEL32.dll.CreateThread
0x180002bf3	0x180029088	import	0x180002b58	KERNEL32.dll.CloseHandle
0x180002bfb	0x180029070	import	0x180002b58	KERNEL32.dll.GetLastError
0x180002c0f	0x180029078	import	0x180002b58	KERNEL32.dll.HeapFree
0x180002c5c	0x1800290b0	import	0x180002c38	KERNEL32.dll.lstrlenA
0x180002c74	0x1800290c8	import	0x180002c38	KERNEL32.dll.HeapAlloc
0x180002cce	0x180029078	import	0x180002c38	KERNEL32.dll.HeapFree
0x180002d62	0x180029190	import	0x180002d30	KERNEL32.dll.GetSystemTimeAsFileTime
0x180002d8c	0x1800290b0	import	0x180002d30	KERNEL32.dll.lstrlenA
0x180002dab	0x1800290c8	import	0x180002d30	KERNEL32.dll.HeapAlloc
0x180002dc8	0x1800290a8	import	0x180002d30	KERNEL32.dll.lstrcpyA
0x180002de3	0x1800291b0	import	0x180002d30	KERNEL32.dll.CreateDirectoryW
0x180002ded	0x180029070	import	0x180002d30	KERNEL32.dll.GetLastError
0x180002dff	0x180029078	import	0x180002d30	KERNEL32.dll.HeapFree
0x180002e47	0x180029078	import	0x180002d30	KERNEL32.dll.HeapFree
0x180002e9b	0x18002f390	import	0x180002e80	SHLWAPI.dll.StrChrA
0x180002ebf	0x18002f3b0	import	0x180002e80	SHLWAPI.dll.StrRChrA
