reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001290	0x1000b020	import	0x10001238	ADVAPI32.dll.RegCreateKeyW
0x100012a8	0x1000b01c	import	0x10001238	ADVAPI32.dll.RegSetValueExW
0x100012b3	0x1000b010	import	0x10001238	ADVAPI32.dll.RegCloseKey
0x100012e9	0x1000b040	import	0x100012e5	KERNEL32.dll.Sleep
0x10001333	0x1000b09c	import	0x100012f5	KERNEL32.dll.TlsGetValue
0x1000135c	0x1000b05c	import	0x100012f5	KERNEL32.dll.TlsSetValue
0x10001383	0x1000b09c	import	0x100012f5	KERNEL32.dll.TlsGetValue
0x100013ca	0x1000b05c	import	0x100012f5	KERNEL32.dll.TlsSetValue
0x1000144e	0x1000b1f4	import	0x100013ed	ntdll.dll.RtlImageNtHeader
0x10001476	0x1000b03c	import	0x100013ed	KERNEL32.dll.VirtualAlloc
0x1000149a	0x100014b3	string	0x100013ed	j\v_h
0x100014be	0x1000b078	import	0x100013ed	KERNEL32.dll.VirtualFree
0x10001512	0x1000b0bc	import	0x100014de	KERNEL32.dll.QueryPerformanceFrequency
0x1000151c	0x1000b0c0	import	0x100014de	KERNEL32.dll.QueryPerformanceCounter
0x1000157e	0x1000b204	import	0x1000157e	ntdll.dll.RtlUnwind
0x100015d6	0x1000b004	import	0x1000157e	ADVAPI32.dll.RegEnumKeyExW
0x10001644	0x1000b048	import	0x1000157e	KERNEL32.dll.WaitForSingleObject
0x1000164f	0x100015bb	string	0x1000157e	VVVV
0x10001675	0x1000b010	import	0x1000157e	ADVAPI32.dll.RegCloseKey
0x10001697	0x1000b04c	import	0x1000157e	KERNEL32.dll.HeapCreate
0x10001775	0x10001783	string	0x100016d0	9X\t\b
0x10001778	0x1000b098	import	0x100016d0	KERNEL32.dll.CloseHandle
0x10002a88	0x1000b054	import	0x10002a49	KERNEL32.dll.lstrlenA
0x10002a95	0x1000b120	import	0x10002a49	SHLWAPI.dll.StrStrA
0x10002b22	0x1000b1f0	import	0x10002a49	ntdll.dll.mbstowcs
0x10002c04	0x1000b194	import	0x10002c04	ntdll.dll.sprintf
0x10002c2b	0x1000b174	import	0x10002c23	WINHTTP.dll.WinHttpQueryDataAvailable
0x10002c5d	0x1000b21c	import	0x10002c23	ole32.dll.CreateStreamOnHGlobal
0x10002c95	0x1000b160	import	0x10002c23	WINHTTP.dll.WinHttpReadData
0x10002cba	0x1000b090	import	0x10002c23	KERNEL32.dll.GetLastError
0x10002cc5	0x1000b040	import	0x10002c23	KERNEL32.dll.Sleep
0x10002ce0	0x1000b090	import	0x10002c23	KERNEL32.dll.GetLastError
0x10002d1f	0x1000b090	import	0x10002c23	KERNEL32.dll.GetLastError
0x10002d3e	0x1000b08c	import	0x10002d3d	KERNEL32.dll.EnterCriticalSection
0x10002d48	0x1000b0b4	import	0x10002d3d	KERNEL32.dll.InterlockedIncrement
0x10002d4f	0x1000b088	import	0x10002d3d	KERNEL32.dll.LeaveCriticalSection
0x10002d76	0x1000b040	import	0x10002d56	KERNEL32.dll.Sleep
0x10002dc1	0x1000b050	import	0x10002d9d	KERNEL32.dll.CreateWaitableTimerA
0x10002e0a	0x1000b068	import	0x10002d9d	KERNEL32.dll.WaitForMultipleObjects
0x10002ea4	0x1000b098	import	0x10002d9d	KERNEL32.dll.CloseHandle
0x10002eac	0x1000b090	import	0x10002d9d	KERNEL32.dll.GetLastError
0x10002ebf	0x1000b090	import	0x10002d9d	KERNEL32.dll.GetLastError
0x10002ed2	0x1000b1a0	import	0x10002ed2	ntdll.dll.strcpy
0x10002f2e	0x10002f4d	string	0x10002ed2	9M\fu
0x10002f3c	0x10002f4d	string	0x10002ed2	9M\fu
0x100030c6	0x1000b080	import	0x1000306c	KERNEL32.dll.CreateMutexW
0x100030ce	0x1000b090	import	0x1000306c	KERNEL32.dll.GetLastError
0x100030e3	0x1000b098	import	0x1000306c	KERNEL32.dll.CloseHandle
0x100030fe	0x10003123	string	0x1000306c	j\b^S
0x10003127	0x1000b098	import	0x1000306c	KERNEL32.dll.CloseHandle
0x10003159	0x1000b06c	import	0x10003135	KERNEL32.dll.lstrlenW
0x1000317c	0x1000b138	import	0x10003135	SHLWAPI.dll.PathCombineW
0x100031fa	0x1000b0ec	import	0x100031ee	KERNEL32.dll.HeapAlloc
0x1000325d	0x10003286	string	0x1000321c	j\v[_^
0x1000326a	0x10003286	string	0x1000321c	j\v[_^
0x100032ba	0x1000b008	import	0x10003292	ADVAPI32.dll.GetUserNameW
0x100032fc	0x1000b0c4	import	0x10003292	KERNEL32.dll.GetComputerNameW
0x1000337b	0x1000b1d0	import	0x10003369	ntdll.dll.NtOpenProcessToken
0x10003387	0x1000b1c4	import	0x10003369	ntdll.dll.NtQueryInformationToken
0x100033e5	0x1000b1d4	import	0x10003369	ntdll.dll.NtClose
0x100033ed	0x1000b1e4	import	0x10003369	ntdll.dll.RtlNtStatusToDosError
0x100033f8	0x1000b1b4	import	0x100033f8	ntdll.dll.memmove
0x10003419	0x1000d0de	string	0x100033f8	\f?b\b.gq
0x10003423	0x1000b064	import	0x100033f8	KERNEL32.dll.GetModuleHandleA
0x1000342a	0x1000b038	import	0x100033f8	KERNEL32.dll.GetProcAddress
