reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x7148103c	0x71483098	import	0x7148102f	KERNEL32.dll.GetSystemTimeAsFileTime
0x7148109c	0x71483094	import	0x7148102f	KERNEL32.dll.CreateFileMappingW
0x714810ab	0x7148300c	import	0x7148102f	KERNEL32.dll.GetLastError
0x714810c7	0x7148309c	import	0x7148102f	KERNEL32.dll.MapViewOfFile
0x714810e8	0x71483044	import	0x7148102f	KERNEL32.dll.CloseHandle
0x714810f0	0x7148300c	import	0x7148102f	KERNEL32.dll.GetLastError
0x7148111d	0x7148304c	import	0x71481101	KERNEL32.dll.GetCurrentThread
0x71481128	0x71483020	import	0x71481101	KERNEL32.dll.SetThreadAffinityMask
0x71481130	0x71483048	import	0x71481101	KERNEL32.dll.SetThreadPriority
0x71481170	0x71483030	import	0x71481101	KERNEL32.dll.WaitForSingleObject
0x71481188	0x71483054	import	0x71481179	KERNEL32.dll.VirtualProtect
0x7148122d	0x7148300c	import	0x71481179	KERNEL32.dll.GetLastError
0x714812e9	0x7148302c	import	0x714812dc	KERNEL32.dll.SleepEx
0x714812f3	0x7148307c	import	0x714812dc	KERNEL32.dll.CreateThread
0x71481308	0x71483078	import	0x714812dc	KERNEL32.dll.QueueUserAPC
0x71481313	0x7148300c	import	0x714812dc	KERNEL32.dll.GetLastError
0x7148131d	0x71483080	import	0x714812dc	KERNEL32.dll.TerminateThread
0x71481324	0x71483044	import	0x714812dc	KERNEL32.dll.CloseHandle
0x7148132d	0x7148305c	import	0x714812dc	KERNEL32.dll.SetLastError
0x714813ae	0x71481403	string	0x7148135a	j\vXP
0x714813b6	0x71483028	import	0x7148135a	KERNEL32.dll.lstrlenW
0x71481407	0x71483024	import	0x7148135a	KERNEL32.dll.ExitThread
0x7148140e	0x714830ac	import	0x7148140e	ntdll.dll.memcpy
0x71481561	0x71483058	import	0x71481538	KERNEL32.dll.GetModuleFileNameW
0x7148159f	0x7148300c	import	0x71481538	KERNEL32.dll.GetLastError
0x714815ba	0x714830b4	import	0x714815ba	ntdll.dll.RtlUnwind
0x714815f5	0x71482108	string	0x714815ee	h\!Hqd
0x7148165d	0x71483010	import	0x7148163f	KERNEL32.dll.GetSystemTime
0x71481663	0x71483018	import	0x7148163f	KERNEL32.dll.SwitchToThread
0x71481684	0x71483014	import	0x7148163f	KERNEL32.dll.Sleep
0x714816b0	0x71483064	import	0x7148163f	KERNEL32.dll.GetLongPathNameW
0x714816ff	0x7148300c	import	0x7148163f	KERNEL32.dll.GetLastError
0x7148170f	0x71483030	import	0x7148163f	KERNEL32.dll.WaitForSingleObject
0x71481721	0x71483050	import	0x7148163f	KERNEL32.dll.GetExitCodeThread
0x71481728	0x71483044	import	0x7148163f	KERNEL32.dll.CloseHandle
0x7148177d	0x71483088	import	0x71481745	KERNEL32.dll.LoadLibraryA
0x714817ef	0x71483084	import	0x71481745	KERNEL32.dll.GetProcAddress
0x7148185f	0x71483074	import	0x71481850	KERNEL32.dll.CreateEventA
0x7148186e	0x7148306c	import	0x71481850	KERNEL32.dll.GetVersion
0x7148187e	0x714818b8	string	0x71481850	j2X^
0x71481885	0x71483070	import	0x71481850	KERNEL32.dll.GetCurrentProcessId
0x7148189e	0x71483068	import	0x71481850	KERNEL32.dll.OpenProcess
0x7148194a	0x71483090	import	0x714818f4	KERNEL32.dll.VirtualAlloc
0x7148197c	0x714830c0	string	0x714818f4	Mar 9 2021
0x714819f7	0x7148308c	import	0x714818f4	KERNEL32.dll.VirtualFree
0x71481a33	0x71483060	import	0x71481a0f	KERNEL32.dll.GetModuleHandleA
0x71481a39	0x71483084	import	0x71481a0f	KERNEL32.dll.GetProcAddress
0x71481af4	0x714830a8	import	0x71481af4	ntdll.dll.memset
0x71481b1c	0x71483040	import	0x71481af4	KERNEL32.dll.InterlockedIncrement
0x71481b31	0x71483034	import	0x71481af4	KERNEL32.dll.HeapCreate
0x71481b84	0x71483038	import	0x71481af4	KERNEL32.dll.InterlockedDecrement
0x71481b9e	0x7148302c	import	0x71481af4	KERNEL32.dll.SleepEx
0x71481bba	0x71483044	import	0x71481af4	KERNEL32.dll.CloseHandle
0x71481bc6	0x7148303c	import	0x71481af4	KERNEL32.dll.HeapDestroy
0x71481bd6	0x71483000	import	0x71481bd6	ADVAPI32.dll.ConvertStringSecurityDescriptorToSecurityDescriptorA
0x71481ded	0x71483008	import	0x71481de1	KERNEL32.dll.HeapAlloc
0x71481df6	0x714830b8	import	0x71481df6	ntdll.dll.NtQueryVirtualMemory
0x71481e08	0x7148301c	import	0x71481dfc	KERNEL32.dll.HeapFree
0x71481e4f	0x71481eab	string	0x71481e11	j\b[_^
0x71481e8f	0x7148300c	import	0x71481e11	KERNEL32.dll.GetLastError
0x714820fa	0x714830a4	import	0x714820fa	ntdll.dll._snwprintf
0x71482100	0x714830b0	import	0x71482100	ntdll.dll._aulldiv
0x71482215	0x7148223a	string	0x7148215c	]_^[
0x71482223	0x7148223a	string	0x7148215c	]_^[
0x7148226b	0x71482278	string	0x71482260	]_^[
0x714823b4	0x714823be	string	0x71482375	3҉U\b blocks=Basic Latin,Cyrillic
