reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40100c	0x404044	import	0x401000	KERNEL32.dll.HeapFree
0x4010b6	0x4028c6	string	0x401092	j,hHA@
0x4010e3	0x40409c	import	0x401092	KERNEL32.dll.CreateFileA
0x4010f5	0x4040a4	import	0x401092	KERNEL32.dll.SetFilePointer
0x40110d	0x404074	import	0x401092	KERNEL32.dll.ReadFile
0x401128	0x404080	import	0x401092	KERNEL32.dll.CloseHandle
0x4013b5	0x4040d4	import	0x40113f	ntdll.dll.NtUnmapViewOfSection
0x4013bc	0x4040e0	import	0x40113f	ntdll.dll.RtlNtStatusToDosError
0x4013cb	0x404080	import	0x40113f	KERNEL32.dll.CloseHandle
0x4016cc	0x40401c	import	0x4016c0	KERNEL32.dll.HeapAlloc
0x40170b	0x40200d	string	0x4016d5	j0hXA@
0x401728	0x40200d	string	0x4016d5	j0hXA@
0x401745	0x40200d	string	0x4016d5	j0hXA@
0x40178c	0x404058	import	0x401774	KERNEL32.dll.InitializeCriticalSection
0x401792	0x404054	import	0x401774	KERNEL32.dll.TlsAlloc
0x4017a7	0x40400c	import	0x401774	KERNEL32.dll.AddVectoredExceptionHandler
0x4017be	0x404014	import	0x401774	KERNEL32.dll.GetLastError
0x40180a	0x4040e0	import	0x4017da	ntdll.dll.RtlNtStatusToDosError
0x401811	0x404090	import	0x4017da	KERNEL32.dll.SetLastError
0x40184d	0x404068	import	0x40181d	KERNEL32.dll.EnterCriticalSection
0x40187f	0x404060	import	0x40181d	KERNEL32.dll.VirtualProtect
0x40189e	0x404014	import	0x40181d	KERNEL32.dll.GetLastError
0x4018a9	0x404048	import	0x40181d	KERNEL32.dll.LeaveCriticalSection
0x4018d2	0x4040dc	import	0x4018d2	ntdll.dll.memcpy
0x4019f6	0x4040e8	import	0x4019f6	ntdll.dll.NtQueryVirtualMemory
0x401a06	0x404004	import	0x4019f6	KERNEL32.dll.HeapCreate
0x401a16	0x404008	import	0x4019f6	KERNEL32.dll.GetModuleHandleA
0x401a21	0x404024	import	0x4019f6	KERNEL32.dll.GetCommandLineW
0x401a34	0x404000	import	0x4019f6	KERNEL32.dll.HeapDestroy
0x401a3b	0x404040	import	0x4019f6	KERNEL32.dll.ExitProcess
0x401aa6	0x404068	import	0x401a8d	KERNEL32.dll.EnterCriticalSection
0x401af1	0x404060	import	0x401a8d	KERNEL32.dll.VirtualProtect
0x401afb	0x404014	import	0x401a8d	KERNEL32.dll.GetLastError
0x401b56	0x404048	import	0x401a8d	KERNEL32.dll.LeaveCriticalSection
0x401bc1	0x4040cc	import	0x401b66	ntdll.dll.NtCreateSection
0x401c02	0x4040e0	import	0x401b66	ntdll.dll.RtlNtStatusToDosError
0x401c16	0x4040c8	import	0x401b66	ntdll.dll.ZwClose
0x401f47	0x404018	import	0x401e62	KERNEL32.dll.GetCurrentProcessId
0x401f58	0x4040c0	import	0x401e62	USER32.dll.wsprintfW
0x401f6c	0x404034	import	0x401e62	KERNEL32.dll.lstrlenW
0x401f7d	0x404028	import	0x401e62	KERNEL32.dll.CreateFileMappingW
0x401f8d	0x404030	import	0x401e62	KERNEL32.dll.MapViewOfFile
0x401fa0	0x404020	import	0x401e62	KERNEL32.dll.lstrcpyW
0x401fa7	0x404038	import	0x401e62	KERNEL32.dll.UnmapViewOfFile
0x401fc7	0x40403c	import	0x401e62	KERNEL32.dll.GetCurrentThreadId
0x401fda	0x40402c	import	0x401e62	KERNEL32.dll.GetCurrentThread
0x402000	0x404014	import	0x401e62	KERNEL32.dll.GetLastError
0x402014	0x4031f0	string	0x40200d	hD2@
0x402049	0x4040a0	import	0x40200d	KERNEL32.dll.VirtualAlloc
0x402095	0x4028c6	string	0x40200d	j,hHA@
0x4020d2	0x404098	import	0x40200d	KERNEL32.dll.VirtualFree
0x402102	0x404008	import	0x4020e5	KERNEL32.dll.GetModuleHandleA
0x402113	0x40407c	import	0x4020e5	KERNEL32.dll.GetProcAddress
0x40216f	0x404050	import	0x4020e5	KERNEL32.dll.TlsSetValue
0x402191	0x404064	import	0x4020e5	KERNEL32.dll.TlsGetValue
0x4021aa	0x404050	import	0x4020e5	KERNEL32.dll.TlsSetValue
0x4021ef	0x404008	import	0x4021bc	KERNEL32.dll.GetModuleHandleA
0x40228a	0x4040a0	import	0x402265	KERNEL32.dll.VirtualAlloc
0x4022d4	0x404098	import	0x402265	KERNEL32.dll.VirtualFree
0x402303	0x404094	import	0x402265	KERNEL32.dll.lstrcmpiA
0x402320	0x4040b4	import	0x402265	SHLWAPI.dll.StrChrA
0x402384	0x404098	import	0x402265	KERNEL32.dll.VirtualFree
0x4023a7	0x404088	import	0x402398	KERNEL32.dll.CreateEventA
0x4023b6	0x404084	import	0x402398	KERNEL32.dll.GetVersion
0x4023c6	0x402400	string	0x402398	j2X^
0x4023cd	0x404018	import	0x402398	KERNEL32.dll.GetCurrentProcessId
0x4023e6	0x404078	import	0x402398	KERNEL32.dll.OpenProcess
0x40265f	0x4040e0	import	0x402627	ntdll.dll.RtlNtStatusToDosError
0x402666	0x404090	import	0x402627	KERNEL32.dll.SetLastError
0x40270f	0x402728	string	0x4026e4	JuӋE\b blocks=Basic Latin,Cyrillic
0x40276c	0x4040e0	import	0x402754	ntdll.dll.RtlNtStatusToDosError
0x4027da	0x404014	import	0x402775	KERNEL32.dll.GetLastError
0x4028b8	0x404014	import	0x402775	KERNEL32.dll.GetLastError
0x4028cd	0x4031f0	string	0x4028c6	hD2@
0x402994	0x4040ac	import	0x4028c6	KERNEL32.dll.lstrcmpA
0x40299f	0x4040a8	import	0x4028c6	KERNEL32.dll.lstrlenA
0x402a3b	0x40408c	import	0x402a18	KERNEL32.dll.GetLongPathNameW
0x402aa9	0x404070	import	0x402a83	KERNEL32.dll.GetModuleFileNameW
0x402ab1	0x40406c	import	0x402a83	KERNEL32.dll.GetModuleFileNameA
0x402aef	0x404014	import	0x402a83	KERNEL32.dll.GetLastError
0x402b0d	0x404008	import	0x402b0a	KERNEL32.dll.GetModuleHandleA
0x402b24	0x402b72	string	0x402b0a	j~]_^
0x402b4d	0x4028c6	string	0x402b0a	j,hHA@
0x402b95	0x40200d	string	0x402b7c	j0hXA@
0x402bb0	0x40200d	string	0x402b7c	j0hXA@
0x402bcb	0x40200d	string	0x402b7c	j0hXA@
0x402be6	0x40200d	string	0x402b7c	j0hXA@
0x402c1d	0x401774	string	0x402bfd	VWj(
0x402c2e	0x4040f8	string	0x402bfd	Jan 9 2019
0x402c57	0x4061cc	string	0x402bfd	,i"]
0x402c6c	0x4040d8	import	0x402c6c	ntdll.dll.memset
0x402d64	0x4040e0	import	0x402c72	ntdll.dll.RtlNtStatusToDosError
0x402d8b	0x404014	import	0x402c72	KERNEL32.dll.GetLastError
0x402dc8	0x4040d0	import	0x402d9b	ntdll.dll.NtMapViewOfSection
0x402dcf	0x4040e0	import	0x402d9b	ntdll.dll.RtlNtStatusToDosError
0x402dfc	0x40407c	import	0x402dda	KERNEL32.dll.GetProcAddress
0x402e3d	0x404010	import	0x402e2e	KERNEL32.dll.RemoveVectoredExceptionHandler
0x402e4b	0x40404c	import	0x402e2e	KERNEL32.dll.TlsFree
0x402e58	0x40405c	import	0x402e2e	KERNEL32.dll.DeleteCriticalSection
0x402e85	0x404060	import	0x402e2e	KERNEL32.dll.VirtualProtect
0x402ec0	0x40407c	import	0x402ea2	KERNEL32.dll.GetProcAddress
0x403046	0x4040b8	import	0x402ea2	SHLWAPI.dll.StrRChrA
0x4030be	0x4040e4	import	0x4030be	ntdll.dll.RtlUnwind
0x4032fd	0x403322	string	0x403244	]_^[
0x40330b	0x403322	string	0x403244	]_^[
0x403353	0x403360	string	0x403348	]_^[
0x40349c	0x4034a6	string	0x40345d	3҉U\b blocks=Basic Latin,Cyrillic
0x403637	0x40362d	string	0x40345d	90t\bJ
