reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x701000	0x7030b8	import	0x701000	ntdll.dll.NtQueryVirtualMemory
0x7010b6	0x703090	import	0x701060	KERNEL32.dll.VirtualAlloc
0x7010e9	0x7030c0	string	0x701060	Jul 5 2021
0x701197	0x70308c	import	0x701060	KERNEL32.dll.VirtualFree
0x7011d8	0x703058	import	0x7011af	KERNEL32.dll.GetModuleFileNameW
0x701216	0x70300c	import	0x7011af	KERNEL32.dll.GetLastError
0x7013ea	0x703098	import	0x7013dd	KERNEL32.dll.GetSystemTimeAsFileTime
0x70144a	0x703094	import	0x7013dd	KERNEL32.dll.CreateFileMappingW
0x701459	0x70300c	import	0x7013dd	KERNEL32.dll.GetLastError
0x701475	0x70309c	import	0x7013dd	KERNEL32.dll.MapViewOfFile
0x701496	0x703044	import	0x7013dd	KERNEL32.dll.CloseHandle
0x70149e	0x70300c	import	0x7013dd	KERNEL32.dll.GetLastError
0x701686	0x7030a8	import	0x701686	ntdll.dll.memset
0x7016b0	0x703060	import	0x701686	KERNEL32.dll.GetModuleHandleA
0x7016b6	0x703084	import	0x701686	KERNEL32.dll.GetProcAddress
0x7017c4	0x701819	string	0x701770	j\vXP
0x7017cc	0x703028	import	0x701770	KERNEL32.dll.lstrlenW
0x70181d	0x703024	import	0x701770	KERNEL32.dll.ExitThread
0x701846	0x703040	import	0x701824	KERNEL32.dll.InterlockedIncrement
0x70185b	0x703034	import	0x701824	KERNEL32.dll.HeapCreate
0x7018ae	0x703038	import	0x701824	KERNEL32.dll.InterlockedDecrement
0x7018c8	0x70302c	import	0x701824	KERNEL32.dll.SleepEx
0x7018e4	0x703044	import	0x701824	KERNEL32.dll.CloseHandle
0x7018f0	0x70303c	import	0x701824	KERNEL32.dll.HeapDestroy
0x70190f	0x703074	import	0x701900	KERNEL32.dll.CreateEventA
0x70191e	0x70306c	import	0x701900	KERNEL32.dll.GetVersion
0x70192e	0x701968	string	0x701900	j2X^
0x701935	0x703070	import	0x701900	KERNEL32.dll.GetCurrentProcessId
0x70194e	0x703068	import	0x701900	KERNEL32.dll.OpenProcess
0x70196e	0x70300c	import	0x701900	KERNEL32.dll.GetLastError
0x701980	0x703030	import	0x701900	KERNEL32.dll.WaitForSingleObject
0x701a10	0x701a6c	string	0x7019d2	j\b[_^
0x701a50	0x70300c	import	0x7019d2	KERNEL32.dll.GetLastError
0x701a7d	0x702118	string	0x701a76	hl!p
0x701ac8	0x7030ac	import	0x701ac8	ntdll.dll.memcpy
0x701ace	0x7030b4	import	0x701ace	ntdll.dll.RtlUnwind
0x701ad7	0x70304c	import	0x701ace	KERNEL32.dll.GetCurrentThread
0x701ae2	0x703020	import	0x701ace	KERNEL32.dll.SetThreadAffinityMask
0x701aea	0x703048	import	0x701ace	KERNEL32.dll.SetThreadPriority
0x701c7a	0x703088	import	0x701c42	KERNEL32.dll.LoadLibraryA
0x701cec	0x703084	import	0x701c42	KERNEL32.dll.GetProcAddress
0x701d9c	0x703000	import	0x701d9c	ADVAPI32.dll.ConvertStringSecurityDescriptorToSecurityDescriptorA
0x701dc0	0x703010	import	0x701da2	KERNEL32.dll.GetSystemTime
0x701dc6	0x703018	import	0x701da2	KERNEL32.dll.SwitchToThread
0x701de7	0x703014	import	0x701da2	KERNEL32.dll.Sleep
0x701e13	0x703064	import	0x701da2	KERNEL32.dll.GetLongPathNameW
0x701e62	0x70300c	import	0x701da2	KERNEL32.dll.GetLastError
0x701e72	0x703030	import	0x701da2	KERNEL32.dll.WaitForSingleObject
0x701e84	0x703050	import	0x701da2	KERNEL32.dll.GetExitCodeThread
0x701e8b	0x703044	import	0x701da2	KERNEL32.dll.CloseHandle
0x701eb5	0x70302c	import	0x701ea8	KERNEL32.dll.SleepEx
0x701ebf	0x70307c	import	0x701ea8	KERNEL32.dll.CreateThread
0x701ed4	0x703078	import	0x701ea8	KERNEL32.dll.QueueUserAPC
0x701edf	0x70300c	import	0x701ea8	KERNEL32.dll.GetLastError
0x701ee9	0x703080	import	0x701ea8	KERNEL32.dll.TerminateThread
0x701ef0	0x703044	import	0x701ea8	KERNEL32.dll.CloseHandle
0x701ef9	0x70305c	import	0x701ea8	KERNEL32.dll.SetLastError
0x701f15	0x703054	import	0x701f06	KERNEL32.dll.VirtualProtect
0x701fba	0x70300c	import	0x701f06	KERNEL32.dll.GetLastError
0x701ff4	0x703008	import	0x701fe8	KERNEL32.dll.HeapAlloc
0x702009	0x70301c	import	0x701ffd	KERNEL32.dll.HeapFree
0x70210a	0x7030a4	import	0x70210a	ntdll.dll._snwprintf
0x702110	0x7030b0	import	0x702110	ntdll.dll._aulldiv
0x702225	0x70224a	string	0x70216c	]_^[
0x702233	0x70224a	string	0x70216c	]_^[
0x70227b	0x702288	string	0x702270	]_^[
0x7023c4	0x7023ce	string	0x702385	3҉U\b blocks=Basic Latin,Cyrillic
0x70255f	0x702555	string	0x702385	90t\bJ
