reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401e05	0x40306c	import	0x401dfc	kernel32.dll.GetModuleHandleA
0x401e0b		string	0x401dfc	FUuoA
0x401e14	0x403064	import	0x401dfc	kernel32.dll.GetCurrentProcess
0x401e2b	0x403000	import	0x401dfc	kernel32.dll.TlsAlloc
0x401e39	0x43e0c1	string	0x401dfc	srC%y8TX
0x401e42	0x43e096	string	0x401dfc	FUuoA
0x401e48		string	0x401dfc	FUuoA
0x401e4e	0x403000	import	0x401dfc	kernel32.dll.TlsAlloc
0x401e54		string	0x401dfc	FUuoA
0x401e64	0x4030c8	import	0x401dfc	kernel32.dll.LoadLibraryA
0x401e6a		string	0x401dfc	FUuoA
0x401e82	0x4030c4	import	0x401dfc	kernel32.dll.SetStdHandle
0x401e88		string	0x401dfc	FUuoA
0x401e93	0x43e096	string	0x401dfc	FUuoA
0x401e9b		string	0x401dfc	srC%y8TX
0x401eb4	0x403050	import	0x401dfc	kernel32.dll.WriteConsoleW
0x401ec6		string	0x401dfc	FUuoA
0x401ee1	0x43e096	string	0x401dfc	FUuoA
0x401ef7	0x43e096	string	0x401dfc	FUuoA
0x401f06	0x403048	import	0x401dfc	kernel32.dll.GetTickCount
0x401f17	0x43e096	string	0x401dfc	FUuoA
0x401f27	0x403028	import	0x401dfc	kernel32.dll.GetStdHandle
0x401f57	0x4030d0	import	0x401dfc	kernel32.dll.WriteConsoleA
0x401f71	0x43e0c1	string	0x401dfc	srC%y8TX
0x401f7c	0x403048	import	0x401dfc	kernel32.dll.GetTickCount
0x401f85		string	0x401dfc	FUuoA
0x401f8d	0x43e096	string	0x401dfc	FUuoA
0x401fa1	0x403000	import	0x401dfc	kernel32.dll.TlsAlloc
0x401faf	0x403114	import	0x401dfc	kernel32.dll.SetHandleCount
0x401fc0		string	0x401dfc	FUuoA
0x401fd3	0x40300c	import	0x401dfc	kernel32.dll.VirtualProtectEx
0x402005	0x4030c4	import	0x401dfc	kernel32.dll.SetStdHandle
0x402024	0x43e0c1	string	0x401dfc	srC%y8TX
0x402032	0x43e0c1	string	0x401dfc	srC%y8TX
0x40204f	0x43e0c1	string	0x401dfc	srC%y8TX
0x402070	0x403050	import	0x401dfc	kernel32.dll.WriteConsoleW
0x402076		string	0x401dfc	FUuoA
0x40207c		string	0x401dfc	srC%y8TX
0x402087	0x43e096	string	0x401dfc	FUuoA
0x402129	0x4030f8	import	0x4020f2	kernel32.dll.GetSystemTimeAsFileTime
0x402135	0x403068	import	0x4020f2	kernel32.dll.GetCurrentProcessId
0x40213d	0x403088	import	0x4020f2	kernel32.dll.GetCurrentThreadId
0x402145	0x403048	import	0x4020f2	kernel32.dll.GetTickCount
0x402151	0x403038	import	0x4020f2	kernel32.dll.QueryPerformanceCounter
0x4021d3	0x40305c	import	0x40219f	kernel32.dll.CreateFileA
