reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401232	0x404090	import	0x401232	KERNEL32.dll.VerLanguageNameA
0x401238	0x4040f4	import	0x401238	ntdll.dll.memcpy
0x4012ad	0x402fae	string	0x401289	j,h`A@
0x4012da	0x404098	import	0x401289	KERNEL32.dll.CreateFileA
0x4012ec	0x40408c	import	0x401289	KERNEL32.dll.SetFilePointer
0x401304	0x404048	import	0x401289	KERNEL32.dll.ReadFile
0x40131f	0x4040a4	import	0x401289	KERNEL32.dll.CloseHandle
0x401336	0x4040f8	import	0x401336	ntdll.dll.RtlUnwind
0x401362	0x40404c	import	0x40133c	KERNEL32.dll.GetModuleFileNameW
0x40136a	0x404078	import	0x40133c	KERNEL32.dll.GetModuleFileNameA
0x4013a8	0x404018	import	0x40133c	KERNEL32.dll.GetLastError
0x4014c9	0x4040e0	import	0x4013c3	ntdll.dll.RtlNtStatusToDosError
0x4014f0	0x404018	import	0x4013c3	KERNEL32.dll.GetLastError
0x401502	0x4040f0	import	0x401502	ntdll.dll.memset
0x401512	0x40400c	import	0x401502	KERNEL32.dll.HeapCreate
0x401522	0x40402c	import	0x401502	KERNEL32.dll.GetModuleHandleA
0x40152d	0x404004	import	0x401502	KERNEL32.dll.GetCommandLineW
0x401540	0x404008	import	0x401502	KERNEL32.dll.HeapDestroy
0x401547	0x404000	import	0x401502	KERNEL32.dll.ExitProcess
0x401566	0x404068	import	0x40154e	KERNEL32.dll.InitializeCriticalSection
0x40156c	0x404064	import	0x40154e	KERNEL32.dll.TlsAlloc
0x401581	0x404010	import	0x40154e	KERNEL32.dll.AddVectoredExceptionHandler
0x401598	0x404018	import	0x40154e	KERNEL32.dll.GetLastError
0x4015c9	0x404080	import	0x4015b4	KERNEL32.dll.GetLocaleInfoA
0x4015d3	0x404044	import	0x4015b4	KERNEL32.dll.GetSystemDefaultUILanguage
0x401629	0x4040e0	import	0x4015f1	ntdll.dll.RtlNtStatusToDosError
0x401630	0x4040b4	import	0x4015f1	KERNEL32.dll.SetLastError
0x401672	0x404110	string	0x401641	Mar 14 2019
0x40169b	0x4061cc	string	0x401641	,i"]
0x401742	0x402321	string	0x40170c	j0hpA@
0x40175f	0x402321	string	0x40170c	j0hpA@
0x40177c	0x402321	string	0x40170c	j0hpA@
0x4017db	0x404054	import	0x4017ab	KERNEL32.dll.EnterCriticalSection
0x40180d	0x404070	import	0x4017ab	KERNEL32.dll.VirtualProtect
0x40182c	0x404018	import	0x4017ab	KERNEL32.dll.GetLastError
0x401837	0x404058	import	0x4017ab	KERNEL32.dll.LeaveCriticalSection
0x40187d	0x4040a0	import	0x40185f	KERNEL32.dll.GetProcAddress
0x401a03	0x4040c4	import	0x40185f	SHLWAPI.dll.StrRChrA
0x401a91	0x404084	import	0x401a7b	KERNEL32.dll.IsWow64Process
0x401b95	0x40401c	import	0x401aa3	KERNEL32.dll.GetCurrentProcessId
0x401ba6	0x4040d4	import	0x401aa3	USER32.dll.wsprintfW
0x401bba	0x404038	import	0x401aa3	KERNEL32.dll.lstrlenW
