reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1d1018	0x1da0a0	import	0x1d1000	KERNEL32.dll.InitializeCriticalSection
0x1d101e	0x1da088	import	0x1d1000	KERNEL32.dll.TlsAlloc
0x1d1033	0x1da08c	import	0x1d1000	KERNEL32.dll.AddVectoredExceptionHandler
0x1d104a	0x1da03c	import	0x1d1000	KERNEL32.dll.GetLastError
0x1d109c	0x1da05c	import	0x1d1066	KERNEL32.dll.lstrlenA
0x1d10c0	0x1da058	import	0x1d1066	KERNEL32.dll.lstrcpyA
0x1d10c8	0x1da0c0	import	0x1d1066	KERNEL32.dll.lstrcatA
0x1d2327	0x1da040	import	0x1d231f	KERNEL32.dll.CreateEventA
0x1d2336	0x1da0b8	import	0x1d231f	KERNEL32.dll.GetVersion
0x1d234d	0x1da04c	import	0x1d231f	KERNEL32.dll.GetCurrentProcessId
0x1d236a	0x1da0b4	import	0x1d231f	KERNEL32.dll.OpenProcess
0x1d2389	0x1da03c	import	0x1d231f	KERNEL32.dll.GetLastError
0x1d2394	0x1da05c	import	0x1d2392	KERNEL32.dll.lstrlenA
0x1d23bd	0x1da058	import	0x1d2392	KERNEL32.dll.lstrcpyA
0x1d23c8	0x1da0c0	import	0x1d2392	KERNEL32.dll.lstrcatA
0x1d23d7	0x1da0b0	import	0x1d23d6	KERNEL32.dll.ExpandEnvironmentStringsW
0x1d248f	0x1da080	import	0x1d2419	KERNEL32.dll.TlsSetValue
0x1d24b1	0x1da090	import	0x1d2419	KERNEL32.dll.TlsGetValue
0x1d24ca	0x1da080	import	0x1d2419	KERNEL32.dll.TlsSetValue
0x1d24f6	0x1da0ec	import	0x1d24dc	OLEAUT32.dll.SysReAllocString
0x1d252d	0x1da0f8	import	0x1d24dc	OLEAUT32.dll.SysStringLen
0x1d2558	0x1da00c	import	0x1d2540	KERNEL32.dll.HeapAlloc
0x1d25f9	0x1da00c	import	0x1d25e2	KERNEL32.dll.HeapAlloc
0x1d267b	0x1da0d0	import	0x1d25e2	KERNEL32.dll.CreateFileA
0x1d268f	0x1da0d8	import	0x1d25e2	KERNEL32.dll.GetFileTime
0x1d26a6	0x1da044	import	0x1d25e2	KERNEL32.dll.CloseHandle
0x1d26b2	0x1db0d8	import	0x1d25e2	SHLWAPI.dll.StrRChrA
0x1d26ec	0x1da0c0	import	0x1d25e2	KERNEL32.dll.lstrcatA
0x1d26f2	0x1da0dc	import	0x1d25e2	KERNEL32.dll.FindFirstFileA
0x1d270f	0x1da0bc	import	0x1d25e2	KERNEL32.dll.CompareFileTime
0x1d2722	0x1da0e0	import	0x1d25e2	KERNEL32.dll.FindClose
0x1d2734	0x1da0d4	import	0x1d25e2	KERNEL32.dll.FindNextFileA
0x1d27a2	0x1db0e4	import	0x1d25e2	SHLWAPI.dll.StrChrA
0x1d27f0	0x1da0d4	import	0x1d25e2	KERNEL32.dll.FindNextFileA
0x1d2819	0x1da0bc	import	0x1d25e2	KERNEL32.dll.CompareFileTime
0x1d2860	0x1da018	import	0x1d25e2	KERNEL32.dll.HeapFree
0x1d2870	0x1da018	import	0x1d25e2	KERNEL32.dll.HeapFree
0x1d28aa	0x1db108	import	0x1d2880	ole32.dll.CoCreateInstance
0x1d2932	0x1db0dc	import	0x1d2880	SHLWAPI.dll.IUnknown_QueryService
0x1d2967	0x1db0dc	import	0x1d2880	SHLWAPI.dll.IUnknown_QueryService
0x1d2a0d	0x1da0ec	import	0x1d29c5	OLEAUT32.dll.SysReAllocString
0x1d2a31	0x1da0f8	import	0x1d29c5	OLEAUT32.dll.SysStringLen
0x1d2adc	0x1da068	import	0x1d29c5	KERNEL32.dll.lstrcmpW
0x1d2bfd	0x1d2c54	string	0x1d2be6	j\b[_^
0x1d2c1c	0x1da064	import	0x1d2be6	KERNEL32.dll.GetSystemTimeAsFileTime
0x1d2c4c	0x1da018	import	0x1d2be6	KERNEL32.dll.HeapFree
0x1d2e7d	0x1da05c	import	0x1d2e14	KERNEL32.dll.lstrlenA
0x1d2ed9	0x1da05c	import	0x1d2ec2	KERNEL32.dll.lstrlenA
0x1d2f31	0x1da0a4	import	0x1d2f18	KERNEL32.dll.EnterCriticalSection
0x1d2f7c	0x1da09c	import	0x1d2f18	KERNEL32.dll.VirtualProtect
0x1d2f86	0x1da03c	import	0x1d2f18	KERNEL32.dll.GetLastError
0x1d2fe1	0x1da094	import	0x1d2f18	KERNEL32.dll.LeaveCriticalSection
0x1d2ffa	0x1da05c	import	0x1d2ff1	KERNEL32.dll.lstrlenA
0x1d3064	0x1da030	import	0x1d3043	KERNEL32.dll.lstrlenW
0x1d3070	0x1da05c	import	0x1d3043	KERNEL32.dll.lstrlenA
0x1d3097	0x1db0fc	import	0x1d3043	USER32.dll.wsprintfW
0x1d3102	0x1db0c4	import	0x1d30bb	SHELL32.dll.ShellExecuteExW
0x1d310c	0x1da03c	import	0x1d30bb	KERNEL32.dll.GetLastError
0x1d31ba	0x1da05c	import	0x1d31b1	KERNEL32.dll.lstrlenA
0x1d324c	0x1da0ec	import	0x1d31fc	OLEAUT32.dll.SysReAllocString
0x1d32d9	0x1da0f8	import	0x1d31fc	OLEAUT32.dll.SysStringLen
0x1d32e2	0x1d32ed	string	0x1d31fc	9]\bt\t
0x1d32e7	0x1da0f8	import	0x1d31fc	OLEAUT32.dll.SysStringLen
