reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000100c	0x10015030	import	0x10001000	KERNEL32.dll.lstrlenA
0x10001020	0x10015048	import	0x10001000	KERNEL32.dll.HeapAlloc
0x10001046	0x10015050	import	0x10001000	KERNEL32.dll.lstrcpyA
0x10001055	0x1001502c	import	0x10001000	KERNEL32.dll.lstrcatA
0x100010ae	0x10017a94	import	0x10001000	CRYPT32.dll.CertOpenSystemStoreW
0x100010bf	0x10017a98	import	0x10001000	CRYPT32.dll.CertEnumCertificatesInStore
0x100010f2	0x10017a9c	import	0x10001000	CRYPT32.dll.PFXExportCertStoreEx
0x10001115	0x10015048	import	0x10001000	KERNEL32.dll.HeapAlloc
0x10001145	0x10015028	import	0x10001000	KERNEL32.dll.CreateFileA
0x1000115e	0x10015034	import	0x10001000	KERNEL32.dll.WriteFile
0x10001168	0x10015038	import	0x10001000	KERNEL32.dll.CloseHandle
0x10001178	0x10015058	import	0x10001000	KERNEL32.dll.HeapFree
0x10001182	0x10017aa0	import	0x10001000	CRYPT32.dll.CertCloseStore
0x10001193	0x10015058	import	0x10001000	KERNEL32.dll.HeapFree
0x100011a3	0x10015058	import	0x10001000	KERNEL32.dll.HeapFree
0x100011d6	0x1001504c	import	0x100011b3	KERNEL32.dll.DeleteFileA
0x100011df	0x1001503c	import	0x100011b3	KERNEL32.dll.CreateDirectoryA
0x100011e9	0x10015040	import	0x100011b3	KERNEL32.dll.GetLastError
0x10001250	0x10005167	string	0x100011b3	SUVWh
0x10001262	0x10015044	import	0x100011b3	KERNEL32.dll.RemoveDirectoryA
0x10001271	0x10015058	import	0x100011b3	KERNEL32.dll.HeapFree
0x100012a3	0x10017a64	import	0x100011b3	ADVAPI32.dll.CryptGetUserKey
0x100012fa	0x10015048	import	0x100012ee	KERNEL32.dll.HeapAlloc
0x1000130f	0x10015058	import	0x10001303	KERNEL32.dll.HeapFree
0x10001321	0x1001505c	import	0x10001318	KERNEL32.dll.HeapCreate
0x1000137e	0x10015060	import	0x10001374	KERNEL32.dll.SetEvent
0x10001398	0x10015074	import	0x10001374	KERNEL32.dll.HeapDestroy
0x100013b6	0x1001506c	import	0x10001374	KERNEL32.dll.InterlockedIncrement
0x100013da	0x10015070	import	0x10001374	KERNEL32.dll.InterlockedDecrement
0x100013fd	0x1001506c	import	0x10001374	KERNEL32.dll.InterlockedIncrement
0x10001409	0x10015070	import	0x10001374	KERNEL32.dll.InterlockedDecrement
0x1000144d	0x10015030	import	0x10001438	KERNEL32.dll.lstrlenA
0x1000146f	0x10015048	import	0x10001438	KERNEL32.dll.HeapAlloc
0x1000148e	0x10017b3c	import	0x10001438	USER32.dll.wsprintfA
0x100014a8	0x10015058	import	0x10001438	KERNEL32.dll.HeapFree
0x100014cf	0x10015218	import	0x100014c1	ntdll.dll.RtlAdjustPrivilege
0x100014dc	0x10017b28	import	0x100014c1	USER32.dll.ExitWindowsEx
0x100014e6	0x10015040	import	0x100014c1	KERNEL32.dll.GetLastError
0x10001511	0x10015048	import	0x100014fa	KERNEL32.dll.HeapAlloc
0x10001523	0x100150b0	import	0x100014fa	KERNEL32.dll.GetWindowsDirectoryA
0x10001530	0x10017b08	import	0x100014fa	SHLWAPI.dll.StrChrA
0x10001544	0x10017b3c	import	0x100014fa	USER32.dll.wsprintfA
0x1000155a	0x10015028	import	0x100014fa	KERNEL32.dll.CreateFileA
0x10001573	0x10015094	import	0x100014fa	KERNEL32.dll.GetModuleHandleA
0x1000157b	0x10015034	import	0x100014fa	KERNEL32.dll.WriteFile
0x10001589	0x10015040	import	0x100014fa	KERNEL32.dll.GetLastError
0x10001592	0x10015038	import	0x100014fa	KERNEL32.dll.CloseHandle
0x100015a3	0x10015040	import	0x100014fa	KERNEL32.dll.GetLastError
0x100015b3	0x10015058	import	0x100014fa	KERNEL32.dll.HeapFree
0x100015c8	0x100150c0	import	0x100015c1	KERNEL32.dll.GetTempPathA
0x100015e8	0x10015048	import	0x100015c1	KERNEL32.dll.HeapAlloc
0x100015ff	0x10015068	import	0x100015c1	KERNEL32.dll.GetTickCount
0x1000160f	0x10017b3c	import	0x100015c1	USER32.dll.wsprintfA
0x10001645	0x10017a88	import	0x100015c1	ADVAPI32.dll.RegCreateKeyA
0x1000165d	0x10017b18	import	0x100015c1	SHLWAPI.dll.StrRChrA
0x10001667	0x10015030	import	0x100015c1	KERNEL32.dll.lstrlenA
0x10001677	0x10017a84	import	0x100015c1	ADVAPI32.dll.RegSetValueExA
0x10001683	0x10017a80	import	0x100015c1	ADVAPI32.dll.RegCloseKey
0x10001691	0x10015058	import	0x100015c1	KERNEL32.dll.HeapFree
0x100016c8	0x10015048	import	0x100016a1	KERNEL32.dll.HeapAlloc
0x100016e9	0x10017a60	import	0x100016a1	ADVAPI32.dll.RegOpenKeyA
0x1000171a	0x10017a7c	import	0x100016a1	ADVAPI32.dll.RegEnumValueA
0x10001738	0x10017b04	import	0x100016a1	SHLWAPI.dll.StrStrIA
0x10001759	0x10017a80	import	0x100016a1	ADVAPI32.dll.RegCloseKey
0x10001768	0x10015058	import	0x100016a1	KERNEL32.dll.HeapFree
0x1000177e	0x1000d3d8	string	0x100016a1	QQUVW
0x100017aa	0x100150c4	import	0x100016a1	KERNEL32.dll.SuspendThread
0x100017bf	0x1001509c	import	0x100016a1	KERNEL32.dll.CreateEventA
0x100017cc	0x10015060	import	0x100016a1	KERNEL32.dll.SetEvent
0x100017d3	0x10015038	import	0x100016a1	KERNEL32.dll.CloseHandle
0x100017de	0x1001508c	import	0x100016a1	KERNEL32.dll.Sleep
0x100017eb	0x10017af4	import	0x100016a1	SHLWAPI.dll.SHDeleteKeyA
0x100017fe	0x100150c8	import	0x100016a1	KERNEL32.dll.ResumeThread
0x1000181c	0x10001896	string	0x1000180b	jW_h
0x1000182e	0x10001896	string	0x1000180b	jW_h
0x10001846	0x100150a4	import	0x1000180b	KERNEL32.dll.GetCurrentThreadId
0x1000184f	0x100150bc	import	0x1000180b	KERNEL32.dll.GetCurrentProcess
0x10001858	0x100150a8	import	0x1000180b	KERNEL32.dll.GetCurrentThread
0x10001882	0x10015098	import	0x1000180b	KERNEL32.dll.GetProcAddress
0x100018a5	0x10015048	import	0x1000180b	KERNEL32.dll.HeapAlloc
0x100018ae	0x1001530c	string	0x1000180b	DLL load status: %u
0x100018b4	0x10017b3c	import	0x1000180b	USER32.dll.wsprintfA
0x100018bf	0x10015030	import	0x1000180b	KERNEL32.dll.lstrlenA
0x100018d9	0x10015058	import	0x1000180b	KERNEL32.dll.HeapFree
0x100018fa	0x10015030	import	0x100018e8	KERNEL32.dll.lstrlenA
0x10001900	0x10015048	import	0x100018e8	KERNEL32.dll.HeapAlloc
0x1000191e	0x10001a38	string	0x100018e8	_^][YY
0x1000192d	0x10015234	import	0x100018e8	ntdll.dll.mbstowcs
0x1000194a	0x10015058	import	0x100018e8	KERNEL32.dll.HeapFree
0x1000195e	0x10015080	import	0x100018e8	KERNEL32.dll.lstrlenW
0x100019a5	0x10015078	import	0x100018e8	KERNEL32.dll.lstrcpyW
0x100019ab	0x1001507c	import	0x100018e8	KERNEL32.dll.CreateDirectoryW
0x100019bb	0x100150a0	import	0x100018e8	KERNEL32.dll.lstrcatW
0x100019e2	0x1001507c	import	0x100018e8	KERNEL32.dll.CreateDirectoryW
0x100019fb	0x10017b0c	import	0x100018e8	SHLWAPI.dll.StrChrW
0x10001a11	0x10015090	import	0x100018e8	KERNEL32.dll.CopyFileW
0x10001a1f	0x10015058	import	0x100018e8	KERNEL32.dll.HeapFree
0x10001a32	0x10015058	import	0x100018e8	KERNEL32.dll.HeapFree
0x10001a60	0x10015030	import	0x10001a41	KERNEL32.dll.lstrlenA
