reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180001023	0x1800270a0	import	0x180001000	KERNEL32.dll.lstrlenA
0x18000102e	0x1800270a0	import	0x180001000	KERNEL32.dll.lstrlenA
0x180001049	0x1800270b0	import	0x180001000	KERNEL32.dll.HeapAlloc
0x180001061	0x180027090	import	0x180001000	KERNEL32.dll.lstrcpyA
0x180001079	0x180027098	import	0x180001000	KERNEL32.dll.lstrcatA
0x180001089	0x180027098	import	0x180001000	KERNEL32.dll.lstrcatA
0x18000109f	0x1800270b0	import	0x180001000	KERNEL32.dll.HeapAlloc
0x1800010d8	0x18002d258	import	0x180001000	CRYPT32.dll.CertOpenSystemStoreW
0x1800010f1	0x18002d268	import	0x180001000	CRYPT32.dll.CertEnumCertificatesInStore
0x180001109	0x18002d268	import	0x180001000	CRYPT32.dll.CertEnumCertificatesInStore
0x180001143	0x18002d248	import	0x180001000	CRYPT32.dll.PFXExportCertStoreEx
0x18000115f	0x1800270b0	import	0x180001000	KERNEL32.dll.HeapAlloc
0x180001189	0x18002d248	import	0x180001000	CRYPT32.dll.PFXExportCertStoreEx
0x1800011b2	0x180027088	import	0x180001000	KERNEL32.dll.CreateFileA
0x1800011db	0x1800270a8	import	0x180001000	KERNEL32.dll.WriteFile
0x1800011e6	0x180027070	import	0x180001000	KERNEL32.dll.CloseHandle
0x1800011fa	0x180027060	import	0x180001000	KERNEL32.dll.HeapFree
0x180001205	0x18002d250	import	0x180001000	CRYPT32.dll.CertCloseStore
0x180001217	0x180027060	import	0x180001000	KERNEL32.dll.HeapFree
0x180001229	0x180027060	import	0x180001000	KERNEL32.dll.HeapFree
0x1800013cc	0x1800270b0	import	0x1800013c0	KERNEL32.dll.HeapAlloc
0x1800013e0	0x180027060	import	0x1800013d4	KERNEL32.dll.HeapFree
0x180001414	0x1800270c0	import	0x1800013e8	KERNEL32.dll.HeapCreate
0x18000142e	0x1800270d8	import	0x1800013e8	KERNEL32.dll.GetTickCount
0x180001449	0x180027118	import	0x1800013e8	KERNEL32.dll.CreateEventA
0x18000145b	0x180027360	import	0x1800013e8	KERNEL32.dll.GetVersion
0x180001467	0x180027278	import	0x1800013e8	KERNEL32.dll.GetCurrentProcessId
0x180001484	0x180027168	import	0x1800013e8	KERNEL32.dll.OpenProcess
0x1800014a0	0x180027058	import	0x1800013e8	KERNEL32.dll.GetLastError
0x1800014b4	0x180027774	string	0x1800013e8	.bss
0x1800014d8	0x180027290	import	0x1800013e8	KERNEL32.dll.lstrcpynA
0x1800014e6	0x180018248	string	0x1800013e8	LcA<L
0x18000150b	0x180027768	string	0x1800013e8	Apr 18 2016
0x180001540	0x1800270b0	import	0x1800013e8	KERNEL32.dll.HeapAlloc
0x1800015c2	0x180027060	import	0x1800013e8	KERNEL32.dll.HeapFree
0x180001654	0x1800270c8	import	0x180001644	KERNEL32.dll.SetEvent
0x18000166b	0x180027070	import	0x180001644	KERNEL32.dll.CloseHandle
0x18000167d	0x1800270b8	import	0x180001644	KERNEL32.dll.HeapDestroy
0x180001708	0x1800270a0	import	0x1800016d8	KERNEL32.dll.lstrlenA
0x180001714	0x1800270a0	import	0x1800016d8	KERNEL32.dll.lstrlenA
0x18000172b	0x1800270b0	import	0x1800016d8	KERNEL32.dll.HeapAlloc
0x18000175d	0x18002d418	import	0x1800016d8	USER32.dll.wsprintfA
0x180001796	0x180027060	import	0x1800016d8	KERNEL32.dll.HeapFree
0x180001811	0x180027498	import	0x1800017fc	ntdll.dll.RtlAdjustPrivilege
0x180001820	0x18002d420	import	0x1800017fc	USER32.dll.ExitWindowsEx
0x18000182a	0x180027058	import	0x1800017fc	KERNEL32.dll.GetLastError
0x180001869	0x1800270b0	import	0x180001844	KERNEL32.dll.HeapAlloc
0x180001880	0x180027128	import	0x180001844	KERNEL32.dll.GetWindowsDirectoryA
0x180001895	0x18002d2f8	import	0x180001844	SHLWAPI.dll.StrChrA
0x1800018b0	0x18002d418	import	0x180001844	USER32.dll.wsprintfA
0x1800018d8	0x180027088	import	0x180001844	KERNEL32.dll.CreateFileA
0x1800018e9	0x180027150	import	0x180001844	KERNEL32.dll.GetModuleHandleA
0x180001906	0x1800270a8	import	0x180001844	KERNEL32.dll.WriteFile
0x180001914	0x180027058	import	0x180001844	KERNEL32.dll.GetLastError
0x18000191f	0x180027070	import	0x180001844	KERNEL32.dll.CloseHandle
0x180001930	0x180027058	import	0x180001844	KERNEL32.dll.GetLastError
0x180001944	0x180027060	import	0x180001844	KERNEL32.dll.HeapFree
0x180001982	0x180027488	import	0x18000195c	ntdll.dll.RtlImageNtHeader
0x180001995	0x180027120	import	0x18000195c	KERNEL32.dll.GetTempPathA
0x1800019ab	0x1800270b0	import	0x18000195c	KERNEL32.dll.HeapAlloc
0x1800019c5	0x180027120	import	0x18000195c	KERNEL32.dll.GetTempPathA
0x1800019cd	0x1800270d8	import	0x18000195c	KERNEL32.dll.GetTickCount
0x1800019e1	0x18002d418	import	0x18000195c	USER32.dll.wsprintfA
0x180001a1d	0x18002d210	import	0x18000195c	ADVAPI32.dll.RegCreateKeyA
0x180001a36	0x18002d2e8	import	0x18000195c	SHLWAPI.dll.StrRChrA
0x180001a42	0x1800270a0	import	0x18000195c	KERNEL32.dll.lstrlenA
0x180001a66	0x18002d1a8	import	0x18000195c	ADVAPI32.dll.RegSetValueExA
0x180001a73	0x18002d218	import	0x18000195c	ADVAPI32.dll.RegCloseKey
0x180001a85	0x180027060	import	0x18000195c	KERNEL32.dll.HeapFree
0x180001aee	0x18002d200	import	0x180001ab0	ADVAPI32.dll.RegOpenKeyA
0x180001b42	0x18002d220	import	0x180001ab0	ADVAPI32.dll.RegEnumValueW
0x180001b6a	0x18002d308	import	0x180001ab0	SHLWAPI.dll.StrStrIW
0x180001b8b	0x18002d218	import	0x180001ab0	ADVAPI32.dll.RegCloseKey
0x180001ba1	0x180027060	import	0x180001ab0	KERNEL32.dll.HeapFree
0x180001be5	0x1800270b0	import	0x180001bc4	KERNEL32.dll.HeapAlloc
0x180001c23	0x18002d200	import	0x180001bc4	ADVAPI32.dll.RegOpenKeyA
0x180001c41	0x18002d238	import	0x180001bc4	ADVAPI32.dll.RegOpenKeyW
0x180001c55	0x18002d230	import	0x180001bc4	ADVAPI32.dll.RegDeleteValueW
0x180001c60	0x18002d218	import	0x180001bc4	ADVAPI32.dll.RegCloseKey
0x180001c6b	0x18002d218	import	0x180001bc4	ADVAPI32.dll.RegCloseKey
0x180001c7f	0x180027060	import	0x180001bc4	KERNEL32.dll.HeapFree
0x180001dc4	0x18002d200	import	0x180001da4	ADVAPI32.dll.RegOpenKeyA
