reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x437dc0	0x40108f	import	0x437da6	kernel32.dll.SleepEx
0x437e43	0x401193	import	0x437da6	kernel32.dll.LocalAlloc
0x437e5c	0x401137	import	0x437da6	kernel32.dll.FindResourceW
0x437e78	0x401157	import	0x437da6	kernel32.dll.CreateFileW
0x437e87	0x401183	import	0x437da6	kernel32.dll.InterlockedExchange
0x437ea9	0x401307	import	0x437da6	user32.dll.UnregisterClassA
0x437ef6	0x401147	import	0x437da6	kernel32.dll._lwrite
0x437f2c	0x40115f	import	0x437da6	kernel32.dll.LoadLibraryW
0x437f42	0x401093	import	0x437da6	kernel32.dll.LoadLibraryA
0x437f6a	0x401007	import	0x437da6	advapi32.dll.RegCloseKey
0x437fba	0x43a132	string	0x437da6	jQj0j;
0x437fcc	0x4011b7	import	0x437da6	kernel32.dll._lread
0x437ff0	0x4012f3	import	0x437da6	user32.dll.CharUpperA
0x43800d	0x43acfa	string	0x437da6	hgxC
0x438063	0x4012fb	import	0x437da6	user32.dll.MessageBoxW
0x43808d	0x40108f	import	0x437da6	kernel32.dll.SleepEx
0x43809f	0x4010e3	import	0x437da6	kernel32.dll.VirtualProtectEx
0x4380cd	0x438014	string	0x437da6	j"j`j\f
0x4380de	0x40108f	import	0x437da6	kernel32.dll.SleepEx
0x438127	0x40108f	import	0x437da6	kernel32.dll.SleepEx
0x43813a	0x40118b	import	0x437da6	kernel32.dll.TlsFree
0x438150	0x40108f	import	0x437da6	kernel32.dll.SleepEx
0x438169	0x4011ff	import	0x437da6	kernel32.dll.GetModuleFileNameA
0x438183	0x43922b	string	0x437da6	jtjljnjQj{j\
0x4381d0	0x40132f	import	0x437da6	user32.dll.RegisterWindowMessageW
0x438238	0x401307	import	0x437da6	user32.dll.UnregisterClassA
0x438264		string	0x437da6	{GfE
0x43826f	0x437b0f	string	0x437da6	{GfE
0x43829e		string	0x437da6	{GfE
0x4382cc	0x437b0f	string	0x437da6	{GfE
0x4382dd	0x437b0f	string	0x437da6	{GfE
0x438323		string	0x437da6	{GfE
0x43832b	0x40132f	import	0x437da6	user32.dll.RegisterWindowMessageW
0x438331		string	0x437da6	{GfE
0x43836d	0x437b0f	string	0x437da6	{GfE
0x43839a	0x437b0f	string	0x437da6	{GfE
0x4383a0	0x437b0f	string	0x437da6	{GfE
0x4383c9	0x4012f3	import	0x437da6	user32.dll.CharUpperA
0x4383f9	0x40107b	import	0x437da6	kernel32.dll.GetCurrentThread
0x43855d	0x4010df	import	0x438556	kernel32.dll.GetCurrentProcessId
0x438586	0x401147	import	0x438556	kernel32.dll._lwrite
