reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40365e	0x403967	string	0x403640	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x403e00	0x403970	string	0x403e00	USVW
0x403e5b	0x403ff9	string	0x403e40	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x404912	0x4b01c4	string	0x4048f0	.\crypto\cryptlib.c
0x404972	0x4b01c4	string	0x4048f0	.\crypto\cryptlib.c
0x40498f	0x4b01c4	string	0x4048f0	.\crypto\cryptlib.c
0x4049ac	0x4b01c4	string	0x4048f0	.\crypto\cryptlib.c
0x4049d8	0x4b01c4	string	0x4049c0	.\crypto\cryptlib.c
0x404a1c	0x4b01c4	string	0x4049c0	.\crypto\cryptlib.c
0x404a62	0x4af36c	import	0x404a40	KERNEL32.dll.GetCurrentThreadId
0x404be8	0x4af224	import	0x404bc0	KERNEL32.dll.GetModuleHandleA
0x404bf2	0x4b0208	string	0x404bc0	_OPENSSL_isservice
0x404bf8	0x4af284	import	0x404bc0	KERNEL32.dll.GetProcAddress
0x404c1c	0x4af3c4	import	0x404bc0	USER32.dll.GetDesktopWindow
0x404c22	0x4af3f4	import	0x404bc0	USER32.dll.GetProcessWindowStation
0x404c3d	0x4af3f0	import	0x404bc0	USER32.dll.GetUserObjectInformationW
0x404c4b	0x4af248	import	0x404bc0	KERNEL32.dll.GetLastError
0x404c80	0x4af3f0	import	0x404bc0	USER32.dll.GetUserObjectInformationW
0x404c98	0x4b01f0	string	0x404bc0	Service-0x
0x404d1a	0x4af360	import	0x404d00	KERNEL32.dll.GetStdHandle
0x404d25	0x4af364	import	0x404d00	KERNEL32.dll.GetFileType
0x404d8f	0x4af368	import	0x404d00	KERNEL32.dll.GetVersion
0x404da6	0x4b022c	string	0x404d00	OPENSSL
0x404dad	0x4af098	import	0x404d00	ADVAPI32.dll.RegisterEventSourceA
0x404dd1	0x4af004	import	0x404d00	ADVAPI32.dll.ReportEventA
0x404dd8	0x4af094	import	0x404d00	ADVAPI32.dll.DeregisterEventSource
0x404df6	0x4b021c	string	0x404d00	OpenSSL: FATAL
0x404e02	0x4af3f8	import	0x404d00	USER32.dll.MessageBoxA
0x404e2f	0x4b0234	string	0x404e20	%s(%d): OpenSSL internal error, assertion failed: %s\n
0x404e3b	0x4996e8	string	0x404e20	j,hX^M
0x404e90	0x4b026c	string	0x404e50	pointer != NULL
0x404e9a	0x4b01c4	string	0x404e50	.\crypto\cryptlib.c
0x405011	0x405020	string	0x404fd0	VWSU
0x405039	0x40504b	string	0x404fd0	_^[]áX blocks=Basic Latin,Latin-1 Supplement
0x4050b4	0x4b027c	string	0x405090	.\crypto\mem_dbg.c
0x4050f2	0x4b027c	string	0x405090	.\crypto\mem_dbg.c
0x4051fd	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x405250	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x405263	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x405276	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x4052a9	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x4052bc	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x4052e4	0x406580	string	0x4051e0	VWjwh
0x405340	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x405377	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x40538d	0x4b027c	string	0x4051e0	.\crypto\mem_dbg.c
0x4053d0	0x4b027c	string	0x4053b0	.\crypto\mem_dbg.c
0x405422	0x4b027c	string	0x4053b0	.\crypto\mem_dbg.c
0x405435	0x4b027c	string	0x4053b0	.\crypto\mem_dbg.c
0x405448	0x4b027c	string	0x4053b0	.\crypto\mem_dbg.c
