reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401178	0x40117f	string	0x401161	9Q\fu
0x4011cb	0x4011c1	string	0x4011ab	;E\bt\v
0x4013f9	0x4013fd	string	0x4013de	9^\fu
0x40142b	0x40142f	string	0x4013de	_^[]
0x401474	0x5193e8	import	0x40146a	KERNEL32.dll.LocalAlloc
0x401493	0x5193e4	import	0x401487	KERNEL32.dll.LocalFree
0x4014ab	0x5193d8	import	0x40149d	KERNEL32.dll.EnterCriticalSection
0x4014bf	0x5193dc	import	0x40149d	KERNEL32.dll.TlsGetValue
0x4014d5	0x5193e0	import	0x40149d	KERNEL32.dll.LeaveCriticalSection
0x4014dd	0x4014e8	string	0x40149d	_^[]
0x4014e0	0x5193e0	import	0x40149d	KERNEL32.dll.LeaveCriticalSection
0x40165b	0x5193d8	import	0x401648	KERNEL32.dll.EnterCriticalSection
0x401672	0x401736	string	0x401648	;~\f|
0x401694	0x401736	string	0x401648	;~\f|
0x4016b1	0x5193c4	import	0x401648	KERNEL32.dll.GlobalAlloc
0x4016ba	0x5193c8	import	0x401648	KERNEL32.dll.GlobalHandle
0x4016c4	0x5193cc	import	0x401648	KERNEL32.dll.GlobalUnlock
0x4016dd	0x5193d0	import	0x401648	KERNEL32.dll.GlobalReAlloc
0x4016ef	0x5193c8	import	0x401648	KERNEL32.dll.GlobalHandle
0x4016f6	0x5193d4	import	0x401648	KERNEL32.dll.GlobalLock
0x4016ff	0x5193e0	import	0x401648	KERNEL32.dll.LeaveCriticalSection
0x40170b	0x5193d4	import	0x401648	KERNEL32.dll.GlobalLock
0x401753	0x5193e0	import	0x401648	KERNEL32.dll.LeaveCriticalSection
0x40177f	0x5193bc	import	0x401760	KERNEL32.dll.TlsAlloc
0x401795	0x5193c0	import	0x401760	KERNEL32.dll.InitializeCriticalSection
0x4017b1	0x5193d8	import	0x40179f	KERNEL32.dll.EnterCriticalSection
0x4017e9	0x4017c8	string	0x40179f	;~\b}
0x4017fa	0x5193e0	import	0x40179f	KERNEL32.dll.LeaveCriticalSection
0x40181f	0x5193d8	import	0x401807	KERNEL32.dll.EnterCriticalSection
0x40183d	0x5193dc	import	0x401807	KERNEL32.dll.TlsGetValue
0x401871	0x5193e8	import	0x401807	KERNEL32.dll.LocalAlloc
0x4018a6	0x40185e	string	0x401807	9^\fu[j
0x4018af	0x5193e0	import	0x401807	KERNEL32.dll.LeaveCriticalSection
0x4018d0	0x5193b4	import	0x401807	KERNEL32.dll.LocalReAlloc
0x4018dd	0x5193e0	import	0x401807	KERNEL32.dll.LeaveCriticalSection
0x40190d	0x5193b8	import	0x401807	KERNEL32.dll.TlsSetValue
0x40192e	0x5193e0	import	0x401807	KERNEL32.dll.LeaveCriticalSection
0x4019fe	0x5193c0	import	0x4019e6	KERNEL32.dll.InitializeCriticalSection
0x401a2d	0x5193d8	import	0x401a0a	KERNEL32.dll.EnterCriticalSection
0x401a56	0x5193c0	import	0x401a0a	KERNEL32.dll.InitializeCriticalSection
0x401a63	0x5193e0	import	0x401a0a	KERNEL32.dll.LeaveCriticalSection
0x401a97	0x5193e0	import	0x401a7c	KERNEL32.dll.LeaveCriticalSection
0x401aab	0x5193a4	import	0x401aa1	KERNEL32.dll.DeactivateActCtx
0x401ac0	0x519394	import	0x401ab7	KERNEL32.dll.InterlockedDecrement
