reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401c80	0x418324	import	0x401c80	kernel32.dll.CloseHandle
0x401c88	0x418320	import	0x401c88	kernel32.dll.InitializeCriticalSection
0x401c90	0x41831c	import	0x401c90	kernel32.dll.EnterCriticalSection
0x401c98	0x418318	import	0x401c98	kernel32.dll.LeaveCriticalSection
0x401ca0	0x418314	import	0x401ca0	kernel32.dll.DeleteCriticalSection
0x401ca8	0x418310	import	0x401ca8	kernel32.dll.GetStdHandle
0x401cb0	0x41830c	import	0x401cb0	kernel32.dll.RaiseException
0x401cb8	0x418308	import	0x401cb0	kernel32.dll.RtlUnwind
0x401cc0	0x418304	import	0x401cc0	kernel32.dll.UnhandledExceptionFilter
0x401cc8	0x418300	import	0x401cc8	kernel32.dll.WriteFile
0x401cd0	0x418278	import	0x401cd0	user32.dll.CharNextW
0x401cd8	0x4182fc	import	0x401cd8	kernel32.dll.CompareStringW
0x401ce0	0x4182fc	import	0x401ce0	kernel32.dll.CompareStringW
0x401ce8	0x4182f8	import	0x401ce8	kernel32.dll.ExitProcess
0x401cf0	0x418274	import	0x401cf0	user32.dll.MessageBoxA
0x401cf8	0x4182f4	import	0x401cf8	kernel32.dll.FindClose
0x401d00	0x4182f0	import	0x401d00	kernel32.dll.FindFirstFileW
0x401d08	0x4182ec	import	0x401d08	kernel32.dll.FreeLibrary
0x401d10	0x4182e8	import	0x401d08	kernel32.dll.GetCommandLineW
0x401d18	0x4182e4	import	0x401d18	kernel32.dll.GetLastError
0x401d20	0x4182e0	import	0x401d20	kernel32.dll.GetLocaleInfoW
0x401d28	0x4182dc	import	0x401d28	kernel32.dll.GetUserDefaultUILanguage
0x401d30	0x4182d8	import	0x401d30	kernel32.dll.GetModuleFileNameW
0x401d38	0x4182d4	import	0x401d38	kernel32.dll.GetModuleHandleW
0x401d40	0x4182d0	import	0x401d40	kernel32.dll.GetProcAddress
0x401d48	0x4182cc	import	0x401d48	kernel32.dll.GetStartupInfoA
0x401d50	0x4182c8	import	0x401d50	kernel32.dll.GetSystemDefaultUILanguage
0x401d58	0x4182c4	import	0x401d58	kernel32.dll.IsValidLocale
0x401d60	0x4182c0	import	0x401d60	kernel32.dll.LoadLibraryExW
0x401d68	0x418270	import	0x401d68	user32.dll.LoadStringW
0x401d70	0x4182bc	import	0x401d70	kernel32.dll.lstrcpynW
0x401d78	0x4182b8	import	0x401d78	kernel32.dll.lstrlenW
0x401d80	0x4182b4	import	0x401d80	kernel32.dll.MultiByteToWideChar
0x401d88	0x418268	import	0x401d88	advapi32.dll.RegCloseKey
0x401d90	0x418264	import	0x401d90	advapi32.dll.RegOpenKeyExW
0x401d98	0x418260	import	0x401d98	advapi32.dll.RegQueryValueExW
0x401da0	0x4182b0	import	0x401da0	kernel32.dll.WideCharToMultiByte
0x401da8	0x4182ac	import	0x401da8	kernel32.dll.VirtualQuery
0x401db0	0x418258	import	0x401db0	oleaut32.dll.SysAllocStringLen
0x401db8	0x418254	import	0x401db8	oleaut32.dll.SysReAllocStringLen
0x401dc0	0x418250	import	0x401dc0	oleaut32.dll.SysFreeString
0x401dc8	0x4182a8	import	0x401dc8	kernel32.dll.GetCurrentThreadId
0x401dd0	0x4182a4	import	0x401dd0	kernel32.dll.GetVersion
0x401dd8	0x4182a0	import	0x401dd8	kernel32.dll.GetSystemInfo
0x401e0c	0x41829c	import	0x401e0c	kernel32.dll.VirtualAlloc
0x401e14	0x418298	import	0x401e14	kernel32.dll.VirtualFree
0x401e1c	0x418294	import	0x401e1c	kernel32.dll.Sleep
0x402221	0x402270	string	0x402204	3#<:A
0x402283	0x4022c2	string	0x40227c	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x4022a7	0x4022c2	string	0x40227c	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x402a88	0x402328	string	0x40289c	SVWU
0x402b01	0x402b27	string	0x40289c	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x402c3f	0x402c57	string	0x40289c	]_^[ËG blocks=Basic Latin,Latin-1 Supplement
0x402d73	0x402d46	string	0x40289c	]_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x402dc8	0x402ddc	string	0x40289c	[Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
0x403057	0x403060	string	0x402fe8	[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x4030d5	0x4030dd	string	0x403064	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x4030d9	0x4030dd	string	0x403064	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x403a03	0x403928	string	0x4039b8	SVWU
0x403cb5	0x403cc3	string	0x403ca4	=$3A
0x403d98	0x403dea	string	0x403d50	ÐSVW blocks=Latin-1 Supplement,Basic Latin
0x40435f	0x40437e	string	0x40432c	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x4044e4	0x4044f9	string	0x4044b8	^[Ã, blocks=Basic Latin,Latin-1 Supplement
0x40452b	0x404536	string	0x4044b8	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x404711	0x404688	string	0x404688	SVW1
0x40479f	0x4047da	string	0x40476c	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x40480d	0x404812	string	0x404808	1ҍL$ blocks=Basic Latin,Cyrillic
0x40488d	0x4048a8	string	0x404860	_^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
0x4049ed	0x4049ff	string	0x4049e4	ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
0x404c12	0x404c1e	string	0x404c10	ZTUWVSPR
0x404eb1	0x404f06	string	0x404ea4	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x404ef0	0x404f06	string	0x404ea4	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x404f1a	0x404f72	string	0x404f0c	_^[Y]
0x404f5c	0x404f72	string	0x404f0c	_^[Y]
0x404fdd	0x404e5c	string	0x404f78	P1ҍE blocks=Basic Latin,Cyrillic
0x40502f	0x405280	string	0x404f78	SVWU
0x40507a	0x40508f	string	0x405040	^[Y]
0x4050c9	0x4050de	string	0x405094	^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
0x405163	0x412784	string	0x405160	Runtime error at 00000000
0x405222	0x412784	string	0x4051f0	Runtime error at 00000000
0x40525c	0x41277c	string	0x4051f0	Error
0x405261	0x412784	string	0x4051f0	Runtime error at 00000000
0x405391	0x405280	string	0x40538c	SVWU
0x405539	0x405591	string	0x405518	_^[YY]
0x405563	0x40562c	string	0x405518	SVWU
0x405588	0x405591	string	0x405518	_^[YY]
0x4055f4	0x4055fb	string	0x4055dc	@@@Y)
0x4057c4	0x405ac8	string	0x405760	SVWQ
0x4057eb	0x405ac8	string	0x405760	SVWQ
0x40595d	0x4059d1	string	0x4058d8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x4059ae	0x4059d1	string	0x4058d8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x4059b2	0x4059d1	string	0x4058d8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x4059b9	0x4059d1	string	0x4058d8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x4059c0	0x4059d1	string	0x4058d8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x4059c6	0x4059d1	string	0x4058d8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x405a54	0x405abf	string	0x405a2c	YZ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x405a59	0x405abf	string	0x405a2c	YZ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x405a5d	0x405abf	string	0x405a2c	YZ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x405a61	0x405abf	string	0x405a2c	YZ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x405f01	0x405f08	string	0x405e84	X_^[
0x405f61	0x405f82	string	0x405f44	9\bu\f
0x406117	0x40612c	string	0x406064	_^[Y]
0x40618c	0x4061a7	string	0x406178	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x4062eb	0x40639e	string	0x406294	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4062f7	0x40639e	string	0x406294	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406308	0x40639e	string	0x406294	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406314	0x40639e	string	0x406294	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406325	0x40639e	string	0x406294	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x40632e	0x40639e	string	0x406294	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
