reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401c68	0x4172e4	import	0x401c68	kernel32.dll.CloseHandle
0x401c70	0x4172e0	import	0x401c70	kernel32.dll.InitializeCriticalSection
0x401c78	0x4172dc	import	0x401c78	kernel32.dll.EnterCriticalSection
0x401c80	0x4172d8	import	0x401c80	kernel32.dll.LeaveCriticalSection
0x401c88	0x4172d4	import	0x401c88	kernel32.dll.DeleteCriticalSection
0x401c90	0x4172d0	import	0x401c90	kernel32.dll.GetStdHandle
0x401c98	0x4172cc	import	0x401c98	kernel32.dll.RaiseException
0x401ca0	0x4172c8	import	0x401c98	kernel32.dll.RtlUnwind
0x401ca8	0x4172c4	import	0x401ca8	kernel32.dll.UnhandledExceptionFilter
0x401cb0	0x4172c0	import	0x401cb0	kernel32.dll.WriteFile
0x401cb8	0x417238	import	0x401cb8	user32.dll.CharNextW
0x401cc0	0x4172bc	import	0x401cc0	kernel32.dll.CompareStringW
0x401cc8	0x4172bc	import	0x401cc8	kernel32.dll.CompareStringW
0x401cd0	0x4172b8	import	0x401cd0	kernel32.dll.ExitProcess
0x401cd8	0x417234	import	0x401cd8	user32.dll.MessageBoxA
0x401ce0	0x4172b4	import	0x401ce0	kernel32.dll.FindClose
0x401ce8	0x4172b0	import	0x401ce8	kernel32.dll.FindFirstFileW
0x401cf0	0x4172ac	import	0x401cf0	kernel32.dll.FreeLibrary
0x401cf8	0x4172a8	import	0x401cf0	kernel32.dll.GetCommandLineW
0x401d00	0x4172a4	import	0x401d00	kernel32.dll.GetLastError
0x401d08	0x4172a0	import	0x401d08	kernel32.dll.GetLocaleInfoW
0x401d10	0x41729c	import	0x401d10	kernel32.dll.GetUserDefaultUILanguage
0x401d18	0x417298	import	0x401d18	kernel32.dll.GetModuleFileNameW
0x401d20	0x417294	import	0x401d20	kernel32.dll.GetModuleHandleW
0x401d28	0x417290	import	0x401d28	kernel32.dll.GetProcAddress
0x401d30	0x41728c	import	0x401d30	kernel32.dll.GetStartupInfoA
0x401d38	0x417288	import	0x401d38	kernel32.dll.GetSystemDefaultUILanguage
0x401d40	0x417284	import	0x401d40	kernel32.dll.IsValidLocale
0x401d48	0x417280	import	0x401d48	kernel32.dll.LoadLibraryExW
0x401d50	0x417230	import	0x401d50	user32.dll.LoadStringW
0x401d58	0x41727c	import	0x401d58	kernel32.dll.lstrcpynW
0x401d60	0x417278	import	0x401d60	kernel32.dll.lstrlenW
0x401d68	0x417274	import	0x401d68	kernel32.dll.MultiByteToWideChar
0x401d70	0x417228	import	0x401d70	advapi32.dll.RegCloseKey
0x401d78	0x417224	import	0x401d78	advapi32.dll.RegOpenKeyExW
0x401d80	0x417220	import	0x401d80	advapi32.dll.RegQueryValueExW
0x401d88	0x417270	import	0x401d88	kernel32.dll.WideCharToMultiByte
0x401d90	0x41726c	import	0x401d90	kernel32.dll.VirtualQuery
0x401d98	0x417218	import	0x401d98	oleaut32.dll.SysAllocStringLen
0x401da0	0x417214	import	0x401da0	oleaut32.dll.SysReAllocStringLen
0x401da8	0x417210	import	0x401da8	oleaut32.dll.SysFreeString
0x401db0	0x417268	import	0x401db0	kernel32.dll.GetCurrentThreadId
0x401db8	0x417264	import	0x401db8	kernel32.dll.GetVersion
0x401dc0	0x417260	import	0x401dc0	kernel32.dll.GetSystemInfo
0x401df4	0x41725c	import	0x401df4	kernel32.dll.VirtualAlloc
0x401dfc	0x417258	import	0x401dfc	kernel32.dll.VirtualFree
0x401e04	0x417254	import	0x401e04	kernel32.dll.Sleep
0x402209	0x402258	string	0x4021ec	3#<*A
0x40226b	0x4022aa	string	0x402264	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x40228f	0x4022aa	string	0x402264	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x402a70	0x402310	string	0x402884	SVWU
0x402ae9	0x402b0f	string	0x402884	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x402c27	0x402c3f	string	0x402884	]_^[ËG blocks=Basic Latin,Latin-1 Supplement
0x402d5b	0x402d2e	string	0x402884	]_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x402db0	0x402dc4	string	0x402884	[Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
0x40303f	0x403048	string	0x402fd0	[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x4030bd	0x4030c5	string	0x40304c	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x4030c1	0x4030c5	string	0x40304c	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x4039eb	0x403910	string	0x4039a0	SVWU
0x403c9d	0x403cab	string	0x403c8c	=$#A
0x403d80	0x403dd2	string	0x403d38	ÐSVW blocks=Latin-1 Supplement,Basic Latin
0x404347	0x404366	string	0x404314	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x4044cc	0x4044e1	string	0x4044a0	^[Ã, blocks=Basic Latin,Latin-1 Supplement
0x404513	0x40451e	string	0x4044a0	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x4046f9	0x404670	string	0x404670	SVW1
0x404787	0x4047c2	string	0x404754	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x4047f5	0x4047fa	string	0x4047f0	1ҍL$ blocks=Basic Latin,Cyrillic
0x404875	0x404890	string	0x404848	_^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
0x4049d5	0x4049e7	string	0x4049cc	ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
0x404bfa	0x404c06	string	0x404bf8	ZTUWVSPR
0x404e81	0x404ed6	string	0x404e74	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x404ec0	0x404ed6	string	0x404e74	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x404eea	0x404f42	string	0x404edc	_^[Y]
0x404f2c	0x404f42	string	0x404edc	_^[Y]
0x404fad	0x404e2c	string	0x404f48	P1ҍE blocks=Basic Latin,Cyrillic
0x404fff	0x405250	string	0x404f48	SVWU
0x40504a	0x40505f	string	0x405010	^[Y]
0x405099	0x4050ae	string	0x405064	^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
0x405133	0x411784	string	0x405130	Runtime error at 00000000
0x4051f2	0x411784	string	0x4051c0	Runtime error at 00000000
0x40522c	0x41177c	string	0x4051c0	Error
0x405231	0x411784	string	0x4051c0	Runtime error at 00000000
0x405361	0x405250	string	0x40535c	SVWU
0x405509	0x405561	string	0x4054e8	_^[YY]
0x405533	0x4055fc	string	0x4054e8	SVWU
0x405558	0x405561	string	0x4054e8	_^[YY]
0x4055c4	0x4055cb	string	0x4055ac	@@@Y)
0x40578c	0x405864	string	0x405728	SVWQ
0x4057b3	0x405864	string	0x405728	SVWQ
0x405c89	0x405c90	string	0x405c0c	X_^[
0x405ce9	0x405d0a	string	0x405ccc	9\bu\f
0x405e9f	0x405eb4	string	0x405dec	_^[Y]
0x405f14	0x405f2f	string	0x405f00	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x406073	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x40607f	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406090	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x40609c	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4060ad	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4060b6	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4060c5	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4060e3	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4060f9	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406108	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406119	0x406126	string	0x40601c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406244	0x406150	string	0x406150	SVWU
0x40627e	0x40628a	string	0x406150	]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
0x4062f1	0x40639d	string	0x406290	]_^[
0x406308	0x40639d	string	0x406290	]_^[
0x40631f	0x40639d	string	0x406290	]_^[
0x406333	0x40639d	string	0x406290	]_^[
0x406356	0x40639d	string	0x406290	]_^[
0x40635e	0x406150	string	0x406290	SVWU
0x406373	0x40639d	string	0x406290	]_^[
0x406387	0x40639d	string	0x406290	]_^[
0x406746	0x4067b0	string	0x406664	qps-plocm,ar
0x40677c	0x4067e0	string	0x406664	zh-SG,zh-Hans,zh
0x4068f8	0x406948	string	0x406664	GetThreadPreferredUILanguages
0x4068fd	0x406968	string	0x406664	kernel32.dll
0x406912	0x406984	string	0x406664	SetThreadPreferredUILanguages
0x406917	0x406968	string	0x406664	kernel32.dll
0x40692c	0x4069a4	string	0x406664	GetThreadUILanguage
0x406931	0x406968	string	0x406664	kernel32.dll
0x406ebe	0x406ee0	string	0x406e94	hTKA
0x406f00	0x406f51	string	0x406e94	hTKA
0x406f14	0x406f51	string	0x406e94	hTKA
0x406f27	0x406f51	string	0x406e94	hTKA
0x406f8b	0x406fa0	string	0x406e94	^[Y]
0x406ff4	0x4071a8	string	0x406fdc	kernel32.dll
0x407007	0x4071c4	string	0x406fdc	GetLongPathNameW
0x407250	0x4073cc	string	0x4071d8	Software\CodeGear\Locales
0x40726e	0x4073cc	string	0x4071d8	Software\CodeGear\Locales
0x40728c	0x407400	string	0x4071d8	Software\Borland\Locales
0x4072aa	0x407434	string	0x4071d8	Software\Borland\Delphi\Locales
0x40784f	0x407866	string	0x407840	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x40785e	0x407866	string	0x407840	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x4078bb	0x4078ea	string	0x40788c	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x4078c1	0x4078ea	string	0x40788c	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x4078e2	0x4078ea	string	0x40788c	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x407908	0x407943	string	0x4078f0	_^[YY]Ë\v blocks=Basic Latin,Latin-1 Supplement
0x407984	0x4079c7	string	0x40795c	Y]Ë\v blocks=Basic Latin,Latin-1 Supplement
0x407a20	0x407a96	string	0x407a10	_^[]
0x407a24	0x407a7d	string	0x407a10	jjjj
0x407a3f	0x407a96	string	0x407a10	_^[]
0x407a43	0x407a96	string	0x407a10	_^[]
0x407a4a	0x407a96	string	0x407a10	_^[]
0x407a7b	0x407a96	string	0x407a10	_^[]
0x407ab0	0x407b1a	string	0x407aa0	_^[]
0x407acf	0x407b1a	string	0x407aa0	_^[]
0x407ad3	0x407b1a	string	0x407aa0	_^[]
0x407adb	0x407b1a	string	0x407aa0	_^[]
0x407b03	0x407b1a	string	0x407aa0	_^[]
0x407b96	0x407bab	string	0x407b24	^[Y]
0x407c28	0x407c3d	string	0x407bb0	_^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
0x407cc4	0x417250	import	0x407c58	kernel32.dll.GetACP
0x407d1c	0x41724c	import	0x407d1c	kernel32.dll.LocalAlloc
0x407d24	0x417248	import	0x407d24	kernel32.dll.LocalFree
0x407d2c	0x417244	import	0x407d2c	kernel32.dll.LoadLibraryA
0x407d34	0x417240	import	0x407d34	kernel32.dll.lstrcmpiA
0x4080a5	0x4080a9	string	0x408067	_^[]
0x408177	0x4069b8	string	0x408140	hTKA
0x4081c4	0x4172f8	import	0x4081c4	kernel32.dll.TlsAlloc
0x4081cc	0x4172f4	import	0x4081cc	kernel32.dll.TlsFree
0x4081d4	0x4172f0	import	0x4081d4	kernel32.dll.TlsGetValue
0x4081dc	0x4172ec	import	0x4081dc	kernel32.dll.TlsSetValue
0x408356	0x404f48	string	0x408304	QSVW
0x408364	0x417374	import	0x408364	kernel32.dll.CreateEventW
0x40836c	0x417370	import	0x40836c	kernel32.dll.EnumCalendarInfoW
0x40837c	0x417368	import	0x40837c	kernel32.dll.InterlockedCompareExchange
0x40839c	0x417364	import	0x40839c	kernel32.dll.InterlockedExchange
0x4083a4	0x417360	import	0x4083a4	kernel32.dll.GetCPInfo
0x4083ac	0x41735c	import	0x4083ac	kernel32.dll.GetDiskFreeSpaceW
0x408450	0x417344	import	0x408450	kernel32.dll.GetThreadLocale
0x408458	0x417340	import	0x408458	kernel32.dll.GetVersionExW
0x408468	0x417338	import	0x408468	kernel32.dll.ReadConsoleOutputCharacterW
