reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401024	0x41c558	import	0x401024	KERNEL32.DLL.DeleteFileW
0x40102c	0x41c554	import	0x40102c	KERNEL32.DLL.GetFileType
0x40103c	0x41c54c	import	0x40103c	KERNEL32.DLL.GetStdHandle
0x401044	0x41c548	import	0x40103c	KERNEL32.DLL.RaiseException
0x401054	0x41c540	import	0x40104c	KERNEL32.DLL.RtlUnwind
0x40106c	0x41c534	import	0x40106c	KERNEL32.DLL.UnhandledExceptionFilter
0x401084	0x41c4ec	import	0x401084	user32.dll.MessageBoxA
0x401094	0x41c524	import	0x40108c	KERNEL32.DLL.GetCommandLineW
0x4010a4	0x41c51c	import	0x4010a4	KERNEL32.DLL.GetStartupInfoA
0x4010b4	0x41c4e0	import	0x4010b4	advapi32.dll.RegCloseKey
0x4010bc	0x41c4dc	import	0x4010bc	advapi32.dll.RegOpenKeyExW
0x4010c4	0x41c4d8	import	0x4010c4	advapi32.dll.RegQueryValueExW
0x4010cc	0x41c514	import	0x4010cc	KERNEL32.DLL.WideCharToMultiByte
0x4010d4	0x41c510	import	0x4010d4	KERNEL32.DLL.VirtualQuery
0x4010dc	0x41c4d0	import	0x4010dc	oleaut32.dll.SysAllocStringLen
0x4010e4	0x41c4cc	import	0x4010e4	oleaut32.dll.SysReAllocStringLen
0x4010ec	0x41c4c8	import	0x4010ec	oleaut32.dll.SysFreeString
0x4010f4	0x41c50c	import	0x4010ec	KERNEL32.DLL.GetCurrentThreadId
0x401104	0x41c504	import	0x401104	KERNEL32.DLL.GetSystemInfo
0x401138	0x41c500	import	0x401138	KERNEL32.DLL.VirtualAlloc
0x401140	0x41c4fc	import	0x401140	KERNEL32.DLL.VirtualFree
0x40154d	0x40159c	string	0x401530	3#(zA
0x4015af	0x4015ee	string	0x4015a8	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x4015d3	0x4015ee	string	0x4015a8	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x401db4	0x401654	string	0x401bc8	SVWU
0x401e2d	0x401e53	string	0x401bc8	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x401f6b	0x401f83	string	0x401bc8	]_^[ËG blocks=Basic Latin,Latin-1 Supplement
0x40209f	0x402072	string	0x401bc8	]_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x4020f4	0x402108	string	0x401bc8	[Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
0x402383	0x40238c	string	0x402314	[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x402401	0x402409	string	0x402390	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x402405	0x402409	string	0x402390	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x402d2f	0x402c54	string	0x402ce4	SVWU
0x403051	0x403055	string	0x402fdc	3҉S\fZ^[Ë blocks=Basic Latin,Cyrillic,Latin-1 Supplement
0x4035cc	0x4035fe	string	0x403524	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x4036c0	0x41c4e8	import	0x4036c0	user32.dll.GetKeyboardType
0x403710	0x403790	string	0x4036f8	SOFTWARE\Borland\Delphi\RTL
0x403744	0x4037c8	string	0x4036f8	FPUMaskValue
