reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401288	0x4112ac	import	0x401288	kernel32.dll.CloseHandle
0x401290	0x4112a8	import	0x401290	kernel32.dll.InitializeCriticalSection
0x401298	0x4112a4	import	0x401298	kernel32.dll.EnterCriticalSection
0x4012a0	0x4112a0	import	0x4012a0	kernel32.dll.LeaveCriticalSection
0x4012a8	0x41129c	import	0x4012a8	kernel32.dll.DeleteCriticalSection
0x4012b0	0x411298	import	0x4012b0	kernel32.dll.GetStdHandle
0x4012b8	0x411294	import	0x4012b8	kernel32.dll.RaiseException
0x4012c0	0x411290	import	0x4012b8	kernel32.dll.RtlUnwind
0x4012c8	0x41128c	import	0x4012c8	kernel32.dll.UnhandledExceptionFilter
0x4012d0	0x411288	import	0x4012d0	kernel32.dll.WriteFile
0x4012d8	0x411204	import	0x4012d8	user32.dll.CharNextW
0x4012e0	0x411284	import	0x4012e0	kernel32.dll.ExitProcess
0x4012e8	0x411200	import	0x4012e8	user32.dll.MessageBoxA
0x4012f0	0x411280	import	0x4012f0	kernel32.dll.FindClose
0x4012f8	0x41127c	import	0x4012f8	kernel32.dll.FindFirstFileW
0x401300	0x411278	import	0x401300	kernel32.dll.FreeLibrary
0x401308	0x411274	import	0x401300	kernel32.dll.GetCommandLineW
0x401310	0x411270	import	0x401310	kernel32.dll.GetLastError
0x401318	0x41126c	import	0x401318	kernel32.dll.GetLocaleInfoW
0x401320	0x411268	import	0x401320	kernel32.dll.GetUserDefaultUILanguage
0x401328	0x411264	import	0x401328	kernel32.dll.GetModuleFileNameW
0x401330	0x411260	import	0x401330	kernel32.dll.GetModuleHandleW
0x401338	0x41125c	import	0x401338	kernel32.dll.GetProcAddress
0x401340	0x411258	import	0x401340	kernel32.dll.GetStartupInfoA
0x401348	0x411254	import	0x401348	kernel32.dll.GetSystemDefaultUILanguage
0x401350	0x411250	import	0x401350	kernel32.dll.IsValidLocale
0x401358	0x41124c	import	0x401358	kernel32.dll.LoadLibraryExW
0x401360	0x4111fc	import	0x401360	user32.dll.LoadStringW
0x401368	0x411248	import	0x401368	kernel32.dll.lstrcpynW
0x401370	0x411244	import	0x401370	kernel32.dll.lstrlenW
0x401378	0x411240	import	0x401378	kernel32.dll.MultiByteToWideChar
0x401380	0x4111f4	import	0x401380	advapi32.dll.RegCloseKey
0x401388	0x4111f0	import	0x401388	advapi32.dll.RegOpenKeyExW
0x401390	0x4111ec	import	0x401390	advapi32.dll.RegQueryValueExW
0x401398	0x41123c	import	0x401398	kernel32.dll.WideCharToMultiByte
0x4013a0	0x411238	import	0x4013a0	kernel32.dll.VirtualQuery
0x4013a8	0x4111e4	import	0x4013a8	oleaut32.dll.SysAllocStringLen
0x4013b0	0x4111e0	import	0x4013b0	oleaut32.dll.SysFreeString
0x4013b8	0x411234	import	0x4013b8	kernel32.dll.GetCurrentThreadId
0x4013c0	0x411230	import	0x4013c0	kernel32.dll.GetVersion
0x4013c8	0x41122c	import	0x4013c8	kernel32.dll.GetSystemInfo
0x4013fc	0x411228	import	0x4013fc	kernel32.dll.VirtualAlloc
0x401404	0x411224	import	0x401404	kernel32.dll.VirtualFree
0x40140c	0x411220	import	0x40140c	kernel32.dll.Sleep
0x401873	0x4018b2	string	0x40186c	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x401897	0x4018b2	string	0x40186c	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x402078	0x401918	string	0x401e8c	SVWU
0x4020f1	0x402117	string	0x401e8c	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x40222f	0x402247	string	0x401e8c	]_^[ËG blocks=Basic Latin,Latin-1 Supplement
0x402363	0x402336	string	0x401e8c	]_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x4023b8	0x4023cc	string	0x401e8c	[Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
0x402647	0x402650	string	0x4025d8	[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x4026c5	0x4026cd	string	0x402654	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x4026c9	0x4026cd	string	0x402654	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x402ff3	0x402f18	string	0x402fa8	SVWU
0x403294	0x4032e6	string	0x40324c	ÐSVW blocks=Latin-1 Supplement,Basic Latin
0x4034e5	0x4034f7	string	0x4034dc	ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
0x403921	0x403976	string	0x403914	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x403960	0x403976	string	0x403914	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x40398a	0x4039e2	string	0x40397c	_^[Y]
0x4039cc	0x4039e2	string	0x40397c	_^[Y]
0x403a1b	0x4038cc	string	0x4039e8	P1ҍE blocks=Basic Latin,Cyrillic
0x403a6a	0x403a7f	string	0x403a30	^[Y]
0x403ab9	0x403ace	string	0x403a84	^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
0x403b73	0x40b76c	string	0x403b70	Runtime error at 00000000
0x403c3a	0x40b76c	string	0x403c08	Runtime error at 00000000
0x403c74	0x40b764	string	0x403c08	Error
0x403c79	0x40b76c	string	0x403c08	Runtime error at 00000000
0x403da9	0x403c98	string	0x403da4	SVWU
0x403f51	0x403fa9	string	0x403f30	_^[YY]
0x403f7b	0x404044	string	0x403f30	SVWU
0x403fa0	0x403fa9	string	0x403f30	_^[YY]
0x40400c	0x404013	string	0x403ff4	@@@Y)
0x4041ac	0x404218	string	0x404148	SVWQ
0x4041d3	0x404218	string	0x404148	SVWQ
0x40461d	0x404624	string	0x4045a0	X_^[
0x40467d	0x40469e	string	0x404660	9\bu\f
0x404833	0x404848	string	0x404780	_^[Y]
0x40493b	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x404947	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x404958	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x404964	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x404975	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x40497e	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x40498d	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4049ab	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4049c1	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4049d0	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x4049e1	0x4049ee	string	0x4048e4	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x404bb2	0x404c1c	string	0x404ad0	qps-plocm,ar
0x404be8	0x404c4c	string	0x404ad0	zh-SG,zh-Hans,zh
0x404d64	0x404db4	string	0x404ad0	GetThreadPreferredUILanguages
0x404d69	0x404dd4	string	0x404ad0	kernel32.dll
0x404d7e	0x404df0	string	0x404ad0	GetThreadUILanguage
0x404d83	0x404dd4	string	0x404ad0	kernel32.dll
0x404d98	0x404e04	string	0x404ad0	SetThreadUILanguage
0x404d9d	0x404dd4	string	0x404ad0	kernel32.dll
0x40538c	0x405540	string	0x405374	kernel32.dll
0x40539f	0x40555c	string	0x405374	GetLongPathNameW
0x4055e8	0x405764	string	0x405570	Software\CodeGear\Locales
0x405606	0x405764	string	0x405570	Software\CodeGear\Locales
0x405624	0x405798	string	0x405570	Software\Borland\Locales
0x405642	0x4057cc	string	0x405570	Software\Borland\Delphi\Locales
0x405c1f	0x405c4e	string	0x405bf0	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x405c25	0x405c4e	string	0x405bf0	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x405c46	0x405c4e	string	0x405bf0	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x405c6c	0x405ca7	string	0x405c54	_^[YY]Ë\v blocks=Basic Latin,Latin-1 Supplement
0x405ce8	0x405d2b	string	0x405cc0	Y]Ë\v blocks=Basic Latin,Latin-1 Supplement
0x405db4	0x41121c	import	0x405d48	kernel32.dll.GetACP
0x405e0c	0x411218	import	0x405e0c	kernel32.dll.LocalAlloc
0x405e14	0x411214	import	0x405e14	kernel32.dll.LocalFree
0x405e1c	0x411210	import	0x405e1c	kernel32.dll.LoadLibraryA
0x405e24	0x41120c	import	0x405e24	kernel32.dll.lstrcmpiA
0x40619d	0x4061a1	string	0x40615b	_^[]
0x4062bc	0x4112b8	import	0x4062bc	kernel32.dll.TlsGetValue
0x4062c4	0x4112b4	import	0x4062c4	kernel32.dll.TlsSetValue
0x4065f4	0x411310	import	0x4065f4	kernel32.dll.EnumCalendarInfoW
0x406604	0x411308	import	0x406604	kernel32.dll.InterlockedCompareExchange
0x406624	0x411304	import	0x406624	kernel32.dll.InterlockedExchange
0x40662c	0x411300	import	0x40662c	kernel32.dll.GetCPInfo
0x406634	0x4112fc	import	0x406634	kernel32.dll.GetDiskFreeSpaceW
0x4066c8	0x4112ec	import	0x4066c8	kernel32.dll.GetThreadLocale
0x4066d0	0x4112e8	import	0x4066d0	kernel32.dll.GetVersionExW
0x4066e0	0x4112e0	import	0x4066e0	kernel32.dll.ResetEvent
0x4066e8	0x4112dc	import	0x4066e8	kernel32.dll.SetEvent
0x4066f0	0x4112d8	import	0x4066f0	kernel32.dll.SignalObjectAndWait
0x4066f8	0x4112d4	import	0x4066f8	kernel32.dll.WaitForSingleObject
0x406700	0x4112cc	import	0x406700	user32.dll.CharUpperBuffW
0x406708	0x4112c8	import	0x406708	user32.dll.GetSystemMetrics
0x4067eb	0x4067ef	string	0x4067dc	Z[Ë0 blocks=Basic Latin,Latin-1 Supplement
0x40689e	0x4068e8	string	0x40688c	3\tD$
0x406964	0x406968	string	0x406944	Z_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x406996	0x4069a5	string	0x406970	_^[YY]
0x4071bd	0x4071d4	string	0x407104	jjjj
0x407296	0x4072b8	string	0x407290	^[ÐS blocks=Basic Latin,Latin-1 Supplement
0x40746e	0x40747b	string	0x407428	_^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
0x4075eb	0x406944	string	0x407484	SVWQ
0x407601	0x406944	string	0x407484	SVWQ
0x40763b	0x406944	string	0x407484	SVWQ
0x40764a	0x407844	string	0x407484	m/d/yy
0x4076ab	0x406944	string	0x407484	SVWQ
0x407796	0x4078d4	string	0x407484	AMPM
0x4077a5	0x4078ec	string	0x407484	AMPM
0x4077d2	0x407918	string	0x407484	:mm:ss
0x4077f4	0x406944	string	0x407484	SVWQ
0x40793d	0x40797f	string	0x407484	Prev
0x4079d5	0x407a3f	string	0x407484	\tValidated
0x407aa4	0x407aa8	string	0x407484	WVUSj
0x407b2b	0x407a68	string	0x407afc	SVWU
0x407c71	0x407ca8	string	0x407c4c	kernel32.dll
0x407c81	0x407cc4	string	0x407c4c	GetDiskFreeSpaceExW
