reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401c68	0x417308	import	0x401c68	kernel32.dll.CloseHandle
0x401c70	0x417304	import	0x401c70	kernel32.dll.CreateFileW
0x401c78	0x417300	import	0x401c78	kernel32.dll.InitializeCriticalSection
0x401c80	0x4172fc	import	0x401c80	kernel32.dll.EnterCriticalSection
0x401c88	0x4172f8	import	0x401c88	kernel32.dll.LeaveCriticalSection
0x401c90	0x4172f4	import	0x401c90	kernel32.dll.DeleteCriticalSection
0x401c98	0x4172f0	import	0x401c98	kernel32.dll.GetFileType
0x401ca0	0x4172ec	import	0x401ca0	kernel32.dll.GetFileSize
0x401ca8	0x4172e8	import	0x401ca8	kernel32.dll.GetStdHandle
0x401cb0	0x4172e4	import	0x401cb0	kernel32.dll.RaiseException
0x401cb8	0x4172e0	import	0x401cb8	kernel32.dll.ReadFile
0x401cc0	0x4172dc	import	0x401cb8	kernel32.dll.RtlUnwind
0x401cc8	0x4172d8	import	0x401cc8	kernel32.dll.SetEndOfFile
0x401cd0	0x4172d4	import	0x401cd0	kernel32.dll.SetFilePointer
0x401cd8	0x4172d0	import	0x401cd8	kernel32.dll.UnhandledExceptionFilter
0x401ce0	0x4172cc	import	0x401ce0	kernel32.dll.WriteFile
0x401ce8	0x417244	import	0x401ce8	user32.dll.CharNextW
0x401cf0	0x4172c8	import	0x401cf0	kernel32.dll.CompareStringW
0x401cf8	0x4172c8	import	0x401cf8	kernel32.dll.CompareStringW
0x401d00	0x4172c4	import	0x401d00	kernel32.dll.ExitProcess
0x401d08	0x417240	import	0x401d08	user32.dll.MessageBoxA
0x401d10	0x4172c0	import	0x401d10	kernel32.dll.FindClose
0x401d18	0x4172bc	import	0x401d18	kernel32.dll.FindFirstFileW
0x401d20	0x4172b8	import	0x401d20	kernel32.dll.FreeLibrary
0x401d28	0x4172b4	import	0x401d20	kernel32.dll.GetCommandLineW
0x401d30	0x4172b0	import	0x401d30	kernel32.dll.GetLastError
0x401d38	0x4172ac	import	0x401d38	kernel32.dll.GetLocaleInfoW
0x401d40	0x4172a8	import	0x401d40	kernel32.dll.GetUserDefaultUILanguage
0x401d48	0x4172a4	import	0x401d48	kernel32.dll.GetModuleFileNameW
0x401d50	0x4172a0	import	0x401d50	kernel32.dll.GetModuleHandleW
0x401d58	0x41729c	import	0x401d58	kernel32.dll.GetProcAddress
0x401d60	0x417298	import	0x401d60	kernel32.dll.GetStartupInfoA
0x401d68	0x417294	import	0x401d68	kernel32.dll.GetSystemDefaultUILanguage
0x401d70	0x417290	import	0x401d70	kernel32.dll.IsValidLocale
0x401d78	0x41728c	import	0x401d78	kernel32.dll.LoadLibraryExW
0x401d80	0x41723c	import	0x401d80	user32.dll.LoadStringW
0x401d88	0x417288	import	0x401d88	kernel32.dll.lstrcpynW
0x401d90	0x417284	import	0x401d90	kernel32.dll.lstrlenW
0x401d98	0x417280	import	0x401d98	kernel32.dll.MultiByteToWideChar
0x401da0	0x417234	import	0x401da0	advapi32.dll.RegCloseKey
0x401da8	0x417230	import	0x401da8	advapi32.dll.RegOpenKeyExW
0x401db0	0x41722c	import	0x401db0	advapi32.dll.RegQueryValueExW
0x401db8	0x41727c	import	0x401db8	kernel32.dll.WideCharToMultiByte
0x401dc0	0x417278	import	0x401dc0	kernel32.dll.VirtualQuery
0x401dc8	0x417224	import	0x401dc8	oleaut32.dll.SysAllocStringLen
0x401dd0	0x417220	import	0x401dd0	oleaut32.dll.SysReAllocStringLen
0x401dd8	0x41721c	import	0x401dd8	oleaut32.dll.SysFreeString
0x401de0	0x417274	import	0x401de0	kernel32.dll.GetCurrentThreadId
0x401de8	0x417270	import	0x401de8	kernel32.dll.GetVersion
0x401df0	0x41726c	import	0x401df0	kernel32.dll.GetSystemInfo
0x401e24	0x417268	import	0x401e24	kernel32.dll.VirtualAlloc
0x401e2c	0x417264	import	0x401e2c	kernel32.dll.VirtualFree
0x401e34	0x417260	import	0x401e34	kernel32.dll.Sleep
0x402239	0x402288	string	0x40221c	3#<*A
0x40229b	0x4022da	string	0x402294	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x4022bf	0x4022da	string	0x402294	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x402aa0	0x402340	string	0x4028b4	SVWU
0x402b19	0x402b3f	string	0x4028b4	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x402c57	0x402c6f	string	0x4028b4	]_^[ËG blocks=Basic Latin,Latin-1 Supplement
0x402d8b	0x402d5e	string	0x4028b4	]_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x402de0	0x402df4	string	0x4028b4	[Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
0x40306f	0x403078	string	0x403000	[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x4030ed	0x4030f5	string	0x40307c	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x4030f1	0x4030f5	string	0x40307c	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x403a1b	0x403940	string	0x4039d0	SVWU
0x403d9d	0x403da1	string	0x403d24	3҉S\fZ^[Ë blocks=Basic Latin,Cyrillic,Latin-1 Supplement
0x403f9d	0x403fab	string	0x403f8c	=$#A
0x40427a	0x4041f8	string	0x404278	SVWQ
0x4044c6	0x4044f4	string	0x4044c4	
0x4049f7	0x404a16	string	0x4049c4	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x404b7c	0x404b91	string	0x404b50	^[Ã, blocks=Basic Latin,Latin-1 Supplement
0x404bc3	0x404bce	string	0x404b50	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x404da9	0x404d20	string	0x404d20	SVW1
0x404e37	0x404e72	string	0x404e04	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x404ea5	0x404eaa	string	0x404ea0	1ҍL$ blocks=Basic Latin,Cyrillic
0x404f25	0x404f40	string	0x404ef8	_^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
0x405099	0x4050ab	string	0x405090	ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
0x405446	0x405452	string	0x405444	ZTUWVSPR
0x4056cd	0x405722	string	0x4056c0	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x40570c	0x405722	string	0x4056c0	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x405736	0x40578e	string	0x405728	_^[Y]
0x405778	0x40578e	string	0x405728	_^[Y]
0x4057c7	0x405678	string	0x405794	P1ҍE blocks=Basic Latin,Cyrillic
0x405816	0x40582b	string	0x4057dc	^[Y]
0x405865	0x40587a	string	0x405830	^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
0x4058ff	0x411788	string	0x4058fc	Runtime error at 00000000
0x4059be	0x411788	string	0x40598c	Runtime error at 00000000
0x4059f8	0x411780	string	0x40598c	Error
0x4059fd	0x411788	string	0x40598c	Runtime error at 00000000
0x405b2d	0x405a1c	string	0x405b28	SVWU
0x405d41	0x405d99	string	0x405d20	_^[YY]
0x405d6b	0x405f24	string	0x405d20	SVWU
0x405d90	0x405d99	string	0x405d20	_^[YY]
0x405e24	0x405e2b	string	0x405e0c	@@@Y)
0x405ea3	0x405f24	string	0x405e34	SVWU
0x405ebc	0x405ec3	string	0x405e34	X_^[
0x405ee9	0x405f24	string	0x405e34	SVWU
0x406180	0x406264	string	0x40611c	SVWQ
0x4061a7	0x406264	string	0x40611c	SVWQ
0x40667d	0x406684	string	0x406600	X_^[
0x4067c1	0x4067e2	string	0x4067a4	9\bu\f
0x406977	0x40698c	string	0x4068c4	_^[Y]
0x406a94	0x406aaf	string	0x406a80	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x406bf3	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406bff	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c10	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c1c	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c2d	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c36	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c45	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c63	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c79	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c88	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406c99	0x406ca6	string	0x406b9c	_^[XÐ blocks=Basic Latin,Latin-1 Supplement
0x406dc4	0x406cd0	string	0x406cd0	SVWU
0x406dfe	0x406e0a	string	0x406cd0	]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
0x406e71	0x406f1d	string	0x406e10	]_^[
0x406e88	0x406f1d	string	0x406e10	]_^[
0x406e9f	0x406f1d	string	0x406e10	]_^[
0x406eb3	0x406f1d	string	0x406e10	]_^[
0x406ed6	0x406f1d	string	0x406e10	]_^[
0x406ede	0x406cd0	string	0x406e10	SVWU
0x406ef3	0x406f1d	string	0x406e10	]_^[
0x406f07	0x406f1d	string	0x406e10	]_^[
0x4072c6	0x407330	string	0x4071e4	qps-plocm,ar
0x4072fc	0x407360	string	0x4071e4	zh-SG,zh-Hans,zh
0x407478	0x4074c8	string	0x4071e4	GetThreadPreferredUILanguages
0x40747d	0x4074e8	string	0x4071e4	kernel32.dll
0x407492	0x407504	string	0x4071e4	SetThreadPreferredUILanguages
0x407497	0x4074e8	string	0x4071e4	kernel32.dll
0x4074ac	0x407524	string	0x4071e4	GetThreadUILanguage
0x4074b1	0x4074e8	string	0x4071e4	kernel32.dll
0x407a3e	0x407a60	string	0x407a14	hTKA
0x407a80	0x407ad1	string	0x407a14	hTKA
0x407a94	0x407ad1	string	0x407a14	hTKA
0x407aa7	0x407ad1	string	0x407a14	hTKA
0x407b0b	0x407b20	string	0x407a14	^[Y]
0x407b74	0x407d28	string	0x407b5c	kernel32.dll
0x407b87	0x407d44	string	0x407b5c	GetLongPathNameW
0x407dd0	0x407f4c	string	0x407d58	Software\CodeGear\Locales
0x407dee	0x407f4c	string	0x407d58	Software\CodeGear\Locales
0x407e0c	0x407f80	string	0x407d58	Software\Borland\Locales
0x407e2a	0x407fb4	string	0x407d58	Software\Borland\Delphi\Locales
0x4083cf	0x4083e6	string	0x4083c0	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x4083de	0x4083e6	string	0x4083c0	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x40843b	0x40846a	string	0x40840c	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x408441	0x40846a	string	0x40840c	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x408462	0x40846a	string	0x40840c	]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
0x408488	0x4084c3	string	0x408470	_^[YY]Ë\v blocks=Basic Latin,Latin-1 Supplement
0x408504	0x408547	string	0x4084dc	Y]Ë\v blocks=Basic Latin,Latin-1 Supplement
0x4085a0	0x408616	string	0x408590	_^[]
0x4085a4	0x4085fd	string	0x408590	jjjj
0x4085bf	0x408616	string	0x408590	_^[]
0x4085c3	0x408616	string	0x408590	_^[]
0x4085ca	0x408616	string	0x408590	_^[]
0x4085fb	0x408616	string	0x408590	_^[]
0x408630	0x40869a	string	0x408620	_^[]
0x40864f	0x40869a	string	0x408620	_^[]
0x408653	0x40869a	string	0x408620	_^[]
0x40865b	0x40869a	string	0x408620	_^[]
0x408683	0x40869a	string	0x408620	_^[]
0x408716	0x40872b	string	0x4086a4	^[Y]
0x4087a8	0x4087bd	string	0x408730	_^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
0x408844	0x41725c	import	0x4087d8	kernel32.dll.GetACP
0x40889c	0x417258	import	0x40889c	kernel32.dll.LocalAlloc
0x4088a4	0x417254	import	0x4088a4	kernel32.dll.LocalFree
0x4088ac	0x417250	import	0x4088ac	kernel32.dll.LoadLibraryA
0x4088b4	0x41724c	import	0x4088b4	kernel32.dll.lstrcmpiA
0x408c25	0x408c29	string	0x408be7	_^[]
0x408cf7	0x407538	string	0x408cc0	hTKA
0x408d44	0x417314	import	0x408d44	kernel32.dll.TlsGetValue
0x408d4c	0x417310	import	0x408d4c	kernel32.dll.TlsSetValue
0x408d72	0x408daa	string	0x408d68	[Ê\r4LA blocks=Basic Latin,Latin-1 Supplement
0x408d9c	0x408daa	string	0x408d68	[Ê\r4LA blocks=Basic Latin,Latin-1 Supplement
0x4090cc	0x41738c	import	0x4090cc	kernel32.dll.CreateEventW
0x4090d4	0x417388	import	0x4090d4	kernel32.dll.EnumCalendarInfoW
0x4090e4	0x417380	import	0x4090e4	kernel32.dll.InterlockedCompareExchange
0x409104	0x41737c	import	0x409104	kernel32.dll.InterlockedExchange
0x40910c	0x417378	import	0x40910c	kernel32.dll.GetCPInfo
0x409114	0x417374	import	0x409114	kernel32.dll.GetDiskFreeSpaceW
0x4091b8	0x41735c	import	0x4091b8	kernel32.dll.GetThreadLocale
0x4091c0	0x417358	import	0x4091c0	kernel32.dll.GetVersionExW
0x4091d0	0x417350	import	0x4091d0	kernel32.dll.ResetEvent
0x4091d8	0x41734c	import	0x4091d8	kernel32.dll.SetEvent
0x4091e0	0x417348	import	0x4091e0	kernel32.dll.SignalObjectAndWait
0x4091f0	0x417340	import	0x4091f0	kernel32.dll.WaitForSingleObject
0x409208	0x417330	import	0x409208	user32.dll.CharUpperBuffW
0x409210	0x41732c	import	0x409210	user32.dll.GetSystemMetrics
0x409220	0x417324	import	0x409220	user32.dll.MessageBoxW
0x409448	0x40948d	string	0x409220	FAcquireInnerException
0x409546	0x4095ad	string	0x409220	Ident
0x40ae1b	0x40ae1f	string	0x40ae0c	Z[Ë0 blocks=Basic Latin,Latin-1 Supplement
0x40af20	0x40af3b	string	0x40aecc	^[YY]Í@ blocks=Basic Latin,Latin-1 Supplement
0x40b182	0x40b1cc	string	0x40b170	3\tD$
0x40b2c3	0x40b2c7	string	0x40b28c	_^[]
0x40b49f	0x406264	string	0x40b47c	SVWQ
0x40b4d6	0x40b4f3	string	0x40b47c	_^[YY]Ë blocks=Basic Latin,Latin-1 Supplement
0x40bd5c	0x40bd65	string	0x40bcb1	;}\fr
0x40bde4	0x40bded	string	0x40bdd3	1ɋ}\b\t blocks=Basic Latin,Latin Extended-B
0x40bf4c	0x40bf50	string	0x40bf2c	Z_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x40bf7e	0x40bf8d	string	0x40bf58	_^[YY]
0x40d7f5	0x40d80c	string	0x40d73c	jjjj
0x40d8ce	0x40d8f0	string	0x40d8c8	^[ÐS blocks=Basic Latin,Latin-1 Supplement
0x40daae	0x40dabb	string	0x40da68	_^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
0x40dc2b	0x40bf2c	string	0x40dac4	SVWQ
0x40dc41	0x40bf2c	string	0x40dac4	SVWQ
0x40dc7b	0x40bf2c	string	0x40dac4	SVWQ
0x40dc8a	0x40de84	string	0x40dac4	m/d/yy
0x40dceb	0x40bf2c	string	0x40dac4	SVWQ
0x40ddd6	0x40df14	string	0x40dac4	AMPM
0x40dde5	0x40df2c	string	0x40dac4	AMPM
0x40de12	0x40df58	string	0x40dac4	:mm:ss
0x40de34	0x40bf2c	string	0x40dac4	SVWQ
0x40e16b	0x40e0a8	string	0x40e13c	SVWU
0x40e2b1	0x40e2e8	string	0x40e28c	kernel32.dll
0x40e2c1	0x40e304	string	0x40e28c	GetDiskFreeSpaceExW
0x40e398	0x40e372	string	0x40e33c	TLanguageArray
0x40e719	0x40e174	string	0x40e33c	SVWU
