reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40506a	0x4050ba	string	0x40504c	3#tzg
0x4050cf	0x40510e	string	0x4050c8	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x4050f3	0x40510e	string	0x4050c8	ÐSVWU blocks=Latin-1 Supplement,Basic Latin
0x4058d8	0x405174	string	0x4056ec	SVWU
0x405951	0x405977	string	0x4056ec	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x405a8f	0x405aa7	string	0x4056ec	]_^[ËG blocks=Basic Latin,Latin-1 Supplement
0x405bc3	0x405b96	string	0x4056ec	]_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x405c18	0x405c2c	string	0x4056ec	[Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
0x405e55	0x405e5d	string	0x405de4	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x405e59	0x405e5d	string	0x405de4	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x40636d	0x405cd0	string	0x406154	SVWU
0x406388	0x405cd0	string	0x406154	SVWU
0x406438	0x405cd0	string	0x406154	SVWU
0x406500	0x405cd0	string	0x406154	SVWU
0x4067bb	0x4066c0	string	0x406770	SVWU
0x406bb9	0x406abc	string	0x406b78	SVWU
0x407085	0x407093	string	0x407074	=Dsg
0x407168	0x4071ba	string	0x407120	ÐSVW blocks=Latin-1 Supplement,Basic Latin
0x4074eb	0x407505	string	0x40748c	^[YY]
0x407713	0x407732	string	0x4076e0	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x407874	0x407889	string	0x407848	^[Ã, blocks=Basic Latin,Latin-1 Supplement
0x407bd9	0x407b3c	string	0x407bc0	SVW1
0x407c67	0x407ca2	string	0x407c34	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x407cd5	0x407cda	string	0x407cd0	1ҍL$ blocks=Basic Latin,Cyrillic
0x407d55	0x407d70	string	0x407d28	_^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
0x407df4	0x407dfc	string	0x407d88	^[ÐSVQ blocks=Basic Latin,Latin-1 Supplement
0x407e50	0x407f04	string	0x407e44	GetLogicalProcessorInformation
0x407e55	0x407f24	string	0x407e44	kernel32.dll
0x407ec6	0x408b38	string	0x407e44	1ҋL$\b blocks=Basic Latin,Cyrillic
0x408020	0x4080a8	string	0x40800c	SVWU
0x40806b	0x408b38	string	0x408028	1ҋL$\b blocks=Basic Latin,Cyrillic
0x408194	0x4082a0	string	0x4080a8	SVWU
0x408252	0x408284	string	0x408240	^[ÐS blocks=Basic Latin,Latin-1 Supplement
0x40826e	0x408284	string	0x408240	^[ÐS blocks=Basic Latin,Latin-1 Supplement
0x408272	0x4082a0	string	0x408240	SVWU
0x4083c9	0x4083e1	string	0x408378	[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
0x4083fa	0x408485	string	0x4083e8	^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
0x40846d	0x408485	string	0x4083e8	^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
0x40853f	0x4080a8	string	0x4084cc	SVWU
0x408699	0x4086ab	string	0x408690	ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
0x408a46	0x408a52	string	0x408a44	ZTUWVSPR
0x408ce5	0x408d3a	string	0x408cd8	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x408d24	0x408d3a	string	0x408cd8	_^[]ÐU blocks=Basic Latin,Latin-1 Supplement
0x408d4e	0x408da6	string	0x408d40	_^[Y]
0x408d90	0x408da6	string	0x408d40	_^[Y]
0x408ddf	0x408c90	string	0x408dac	P1ҍE blocks=Basic Latin,Cyrillic
0x408e2e	0x408e43	string	0x408df4	^[Y]
0x408e7d	0x408e92	string	0x408e48	^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
0x408f75	0x408f8b	string	0x408f6c	_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
0x408f93	0x66d9c8	string	0x408f90	Runtime error at 00000000
0x40904a	0x66d9c8	string	0x409018	Runtime error at 00000000
0x40908f	0x66d9c8	string	0x409018	Runtime error at 00000000
0x4091ed	0x4090b0	string	0x4091e8	SVWU
0x409705	0x40975d	string	0x4096e4	_^[YY]
0x409754	0x40975d	string	0x4096e4	_^[YY]
0x409965	0x409996	string	0x409918	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x409970	0x409996	string	0x409918	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x40997b	0x409996	string	0x409918	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x40997f	0x409996	string	0x409918	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x409984	0x409996	string	0x409918	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x409988	0x409996	string	0x409918	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x409992	0x409996	string	0x409918	_^[Ë blocks=Basic Latin,Latin-1 Supplement
0x409dd1	0x409e45	string	0x409dc8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x409e22	0x409e45	string	0x409dc8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x409e26	0x409e45	string	0x409dc8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x409e2d	0x409e45	string	0x409dc8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
0x409e34	0x409e45	string	0x409dc8	_^[Í@ blocks=Basic Latin,Latin-1 Supplement
