reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401288	0x4112b4	import	0x401288	kernel32.dll.CloseHandle
0x401290	0x4112b0	import	0x401290	kernel32.dll.InitializeCriticalSection
0x401298	0x4112ac	import	0x401298	kernel32.dll.EnterCriticalSection
0x4012a0	0x4112a8	import	0x4012a0	kernel32.dll.LeaveCriticalSection
0x4012a8	0x4112a4	import	0x4012a8	kernel32.dll.DeleteCriticalSection
0x4012b0	0x4112a0	import	0x4012b0	kernel32.dll.GetStdHandle
0x4012b8	0x41129c	import	0x4012b8	kernel32.dll.RaiseException
0x4012c0	0x411298	import	0x4012b8	kernel32.dll.RtlUnwind
0x4012c8	0x411294	import	0x4012c8	kernel32.dll.UnhandledExceptionFilter
0x4012d0	0x411290	import	0x4012d0	kernel32.dll.WriteFile
0x4012d8	0x41120c	import	0x4012d8	user32.dll.CharNextW
0x4012e0	0x41128c	import	0x4012e0	kernel32.dll.ExitProcess
0x4012e8	0x411208	import	0x4012e8	user32.dll.MessageBoxA
0x4012f0	0x411288	import	0x4012f0	kernel32.dll.FindClose
0x4012f8	0x411284	import	0x4012f8	kernel32.dll.FindFirstFileW
0x401300	0x411280	import	0x401300	kernel32.dll.FreeLibrary
0x401308	0x41127c	import	0x401300	kernel32.dll.GetCommandLineW
0x401310	0x411278	import	0x401310	kernel32.dll.GetLastError
0x401318	0x411274	import	0x401318	kernel32.dll.GetLocaleInfoW
0x401320	0x411270	import	0x401320	kernel32.dll.GetUserDefaultUILanguage
0x401328	0x41126c	import	0x401328	kernel32.dll.GetModuleFileNameW
0x401330	0x411268	import	0x401330	kernel32.dll.GetModuleHandleW
0x401338	0x411264	import	0x401338	kernel32.dll.GetProcAddress
0x401340	0x411260	import	0x401340	kernel32.dll.GetStartupInfoA
0x401348	0x41125c	import	0x401348	kernel32.dll.GetSystemDefaultUILanguage
0x401350	0x411258	import	0x401350	kernel32.dll.IsValidLocale
0x401358	0x411254	import	0x401358	kernel32.dll.LoadLibraryExW
0x401360	0x411204	import	0x401360	user32.dll.LoadStringW
0x401368	0x411250	import	0x401368	kernel32.dll.lstrcpynW
0x401370	0x41124c	import	0x401370	kernel32.dll.lstrlenW
0x401378	0x411248	import	0x401378	kernel32.dll.MultiByteToWideChar
0x401380	0x4111fc	import	0x401380	advapi32.dll.RegCloseKey
