reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x480175	0x4801e0	string	0x47ecbf	Send
0x480193	0x480195	string	0x47ecbf	MyProject
0x4801a0	0x4801f9	string	0x47ecbf	Paltalk
0x4803b4	0x480419	string	0x47ecbf	Computer
0x4803d2	0x480444	string	0x47ecbf	m_ComputerObjectProvider
0x480420	0x480422	string	0x47ecbf	System
0x480435	0x480437	string	0x47ecbf	get_Computer
0x480442	0x480444	string	0x47ecbf	m_ComputerObjectProvider
0x480484	0x480486	string	0x47ecbf	get_User
0x48048d	0x48048f	string	0x47ecbf	m_UserObjectProvider
0x480568	0x4805cf	string	0x47ecbf	_Keylogger
0x480670	0x4806da	string	0x47ecbf	path
0x48067e	0x4806df	string	0x47ecbf	HideFile
0x4806b8	0x4806ba	string	0x47ecbf	AddToStartup
0x48071f	0x480721	string	0x47ecbf	WebsiteVisitor
0x48075a	0x48075c	string	0x47ecbf	DestructFile
0x480776	0x4807ea	string	0x47ecbf	Quality
0x480798	0x480809	string	0x47ecbf	DownloadAndExecute
0x4807be	0x4807c0	string	0x47ecbf	ClipboardLogging
0x4807de	0x4807e0	string	0x47ecbf	Extension
0x48088a	0x480901	string	0x47ecbf	GetCaption
0x48088c	0x48088e	string	0x47ecbf	str1
0x48089e	0x48090c	string	0x47ecbf	SendLog
0x48091d	0x48098f	string	0x47ecbf	Release
0x480930	0x4809a6	string	0x47ecbf	ƈƖƻƨÔ blocks=Latin Extended-B,Latin-1 Supplement
0x480969	0x48096b	string	0x47ecbf	UploadFile
0x480999	0x48099b	string	0x47ecbf	RSMDecrypt
0x4809d3	0x4809d5	string	0x47ecbf	bProtect
0x480a02	0x480a69	string	0x47ecbf	lpName
0x480a0c	0x480a0e	string	0x47ecbf	OpenProcessToken
0x480a9a	0x480b05	string	0x47ecbf	TOKEN_ADJUST_PRIVILEGES
0x480ac8	0x480b2b	string	0x47ecbf	SE_PRIVILEGE_ENABLED
0x480af7	0x480af9	string	0x47ecbf	TOKEN_QUERY
0x480b50	0x480bb7	string	0x47ecbf	Firefox
0x480b7b	0x480b7d	string	0x47ecbf	startIndx
0x480ba3	0x480ba5	string	0x47ecbf	last
0x480bbd	0x480bbf	string	0x47ecbf	InternetExplorer
0x480bce	0x480bd0	string	0x47ecbf	Opera
0x480c2f	0x480c92	string	0x47ecbf	þþþþþþ blocks=Latin-1 Supplement
0x480d60	0x480d62	string	0x47ecbf	Address
0x480d67	0x480ddc	string	0x47ecbf	ToUnicodeEx
0x480d90	0x480e06	string	0x47ecbf	pwszBuff
0x480dc1	0x480e31	string	0x47ecbf	GetKeyboardState
0x480efe	0x480f65	string	0x47ecbf	_Assembly
0x480f01	0x480f03	string	0x47ecbf	remove_Down
0x480f14	0x480f16	string	0x47ecbf	remove_Up
0x480f1e	0x480f20	string	0x47ecbf	UpEvent
0x480f67	0x480fdc	string	0x47ecbf	Get_Ctrl
0x480faf	0x480fb1	string	0x47ecbf	System.Windows.Forms
0x480fc4	0x480fc6	string	0x47ecbf	Keys
0x480feb	0x480fed	string	0x47ecbf	VKCodeToUnicode
0x4811e3	0x4811e5	string	0x47ecbf	hKey
0x4811ef	0x4811f1	string	0x47ecbf	options
0x48120a	0x481278	string	0x47ecbf	environment
0x48120c	0x48120e	string	0x47ecbf	RegCloseKey
0x481228	0x48122a	string	0x47ecbf	lpValueName
