reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010d2	0x401040	import	0x4010d2	MSVBVM60.DLL.ThunRTMain
0x4010d8	0x480a70	string	0x4010d2	VB5!6&*
0x404dae	0x404da7	string	0x4010d2	XVQu
0x404e26	0x404dcf	string	0x4010d2	XP4Q
0x405737	0x405bef	string	0x4056aa	Tyy5
0x405754	0x401000	import	0x4056aa	MSVBVM60.DLL.rtcRgb
0x405c30	0x405ca3	string	0x4056aa	̶VVv blocks=Combining Diacritical Marks,Basic Latin
0x405cc0	0x405ca3	string	0x4056aa	̶VVv blocks=Combining Diacritical Marks,Basic Latin
0x406bb6	0x406c0a	string	0x4056aa	9rQV
0x406d0a	0x406cfe	string	0x4056aa	'""YJKg^O}wU
0x406dc8	0x406e31	string	0x4056aa	µB\\ blocks=Latin-1 Supplement,Basic Latin
0x406eaf	0x406e31	string	0x4056aa	µB\\ blocks=Latin-1 Supplement,Basic Latin
0x406f26	0x406f99	string	0x4056aa	Ϟ55?}- blocks=Greek and Coptic,Basic Latin
0x40722b	0x40721f	string	0x4056aa	r""RN`yOOEUQ}
0x40739e	0x407418	string	0x4056aa	TX.-66è blocks=Basic Latin,Latin-1 Supplement
0x40750d	0x4074ec	string	0x4056aa	@hbe+
0x4084ff	0x4084e3	string	0x4056aa	JTSV
0x40859d	0x4085fc	string	0x4056aa	h\n&"
0x408719	0x408762	string	0x4056aa	c--!\r'
0x408755	0x4086e8	string	0x4056aa	7,PPZ
0x4089dc	0x408a56	string	0x4056aa	PZC>
0x408bef	0x408bae	string	0x4056aa	0JFGх blocks=Basic Latin,Cyrillic
0x408c77	0x408c34	string	0x4056aa	ΖNttTzTuu^ blocks=Greek and Coptic,Basic Latin
0x408f41	0x408f26	string	0x4056aa	\rBDQSNSZ
0x409092	0x4090dc	string	0x4056aa	\rBBB__lLLLJ
0x4091bf	0x40923d	string	0x4056aa	ueht4
0x40946c	0x4094e5	string	0x4056aa	SSY?%
0x4094c0	0x409458	string	0x4056aa	(. @"
0x4096d3	0x4096d7	string	0x4056aa	mMghK~
0x40974e	0x4096d7	string	0x4056aa	mMghK~
0x40975e	0x4097d9	string	0x4056aa	ssyO|ڟ blocks=Basic Latin,Arabic
0x409896	0x409914	string	0x4056aa	ytTY
0x409942	0x4099bc	string	0x4056aa	PA"E96
0x409bdd	0x409bb1	string	0x4056aa	ިͶĶύ blocks=Thaana,Greek and Coptic,Latin Extended-A
0x409f28	0x409ee6	string	0x4056aa	3"\f\r
0x40a34f	0x40a3c6	string	0x4056aa	B:Kl
