reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4211ec	0x4282c8	string	0x420a9a	SUVW
0x421395	0x40f010	string	0x420a9a	tU\fF*M
0x421637	0x4100bc	string	0x420a9a	Q*F"b
0x4252ad	0x4282c8	string	0x423819	SUVW
0x426351	0x410198	string	0x423819	_\fOg'
0x426e72	0x4101c0	string	0x426c96	3pm@
0x426f39	0x4282c8	string	0x426c96	SUVW
0x427ee2	0x427efa	string	0x427eac	;}\bu
0x4280c8	0x4293c3	string	0x42809e	SUVW
0x42834a	0x42834e	string	0x4282c8	_^][
0x4286d8	0x410018	string	0x428673	6똠\b$ blocks=Basic Latin,Hangul Syllables
0x428c4c	0x428c54	string	0x428b9b	j\nXP
0x428cf8	0x428ceb	string	0x428cda	;\bt
0x42945b	0x429471	string	0x4293c3	_^][
0x4294ab	0x429541	string	0x4294a1	SVW3
0x42953a	0x429541	string	0x429538	SVW3
0x429686	0x40f074	string	0x4295ae	&o88
0x4296eb	0x40f074	string	0x4295ae	&o88
0x42a28c	0x42a2b4	string	0x42a280	_^[ËD$ blocks=Basic Latin,Latin-1 Supplement
0x42a2ab	0x42a2b4	string	0x42a280	_^[ËD$ blocks=Basic Latin,Latin-1 Supplement
0x42a6c0	0x42a6d2	string	0x42a63c	_^[]
0x42a7c3	0x42a8d5	string	0x42a797	[]ËT$ blocks=Basic Latin,Latin-1 Supplement
0x42a8ca	0x42a8d5	string	0x42a797	[]ËT$ blocks=Basic Latin,Latin-1 Supplement
0x42acec	0x42ace7	string	0x42ac79	@@f9
0x42acf3	0x42ace7	string	0x42ac79	@@f9
0x42ad4f	0x42ada4	string	0x42ac79	_^][YY
0x42ada0	0x42ada4	string	0x42ac79	_^][YY
0x42af78	0x42af96	string	0x42aee1	]_^[
0x42af7f	0x42af96	string	0x42aee1	]_^[
0x42b13c	0x40f074	string	0x42aff2	&o88
0x42b2ac	0x42b2c2	string	0x42b24e	_^ËL$ blocks=Basic Latin,Latin-1 Supplement
0x42b326	0x42b33c	string	0x42b2c5	_^ËD$ blocks=Basic Latin,Latin-1 Supplement
0x42bad1	0x42bae8	string	0x42ba4e	uY;]
0x42bae4	0x42bacc	string	0x42ba4e	;؉]\bs blocks=Basic Latin,Arabic
0x42bb14	0x42bb04	string	0x42ba4e	;؉]\bs\r blocks=Basic Latin,Arabic
0x42c2bf	0x4293c3	string	0x42c02f	SUVW
0x42c349	0x42c41d	string	0x42c2e8	3\re̋M blocks=Basic Latin,Combining Diacritical Marks
0x42c383	0x42c41d	string	0x42c2e8	3\re̋M blocks=Basic Latin,Combining Diacritical Marks
0x42c3b8	0x42c41d	string	0x42c2e8	3\re̋M blocks=Basic Latin,Combining Diacritical Marks
0x42c3f2	0x42c41d	string	0x42c2e8	3\re̋M blocks=Basic Latin,Combining Diacritical Marks
0x42c40b	0x42c41d	string	0x42c2e8	3\re̋M blocks=Basic Latin,Combining Diacritical Marks
0x42c567	0x42c577	string	0x42c515	+D$\b\eT$\f
0x42c56d	0x42c577	string	0x42c515	+D$\b\eT$\f
0x42cc05	0x42cc19	string	0x42cba7	_^[]
0x42ce29	0x42ce1c	string	0x42cde8	90tr
0x42cf6b	0x42cffe	string	0x42cde8	Wj@Y3?
0x42d139	0x42d157	string	0x42d027	@AA;
0x42d418	0x42d540	string	0x42d3b2	3\reȋM blocks=Basic Latin,Latin Extended-B
0x42d467	0x42d540	string	0x42d3b2	3\reȋM blocks=Basic Latin,Latin Extended-B
0x42d49e	0x42d540	string	0x42d3b2	3\reȋM blocks=Basic Latin,Latin Extended-B
0x42d4d8	0x42d540	string	0x42d3b2	3\reȋM blocks=Basic Latin,Latin Extended-B
0x42d4f1	0x42d540	string	0x42d3b2	3\reȋM blocks=Basic Latin,Latin Extended-B
0x42d50c	0x42d540	string	0x42d3b2	3\reȋM blocks=Basic Latin,Latin Extended-B
0x42d520	0x42d540	string	0x42d3b2	3\reȋM blocks=Basic Latin,Latin Extended-B
0x42da4c	0x42da78	string	0x42d7a2	j\nOX
0x42e1e5	0x42e20e	string	0x42e19c	9M\fu
0x42ec1a	0x42ec81	string	0x42e219	R6028\r\n- unable to initialize heap\r\n
