reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40485d	0x413494	string	0x4046cc	#Ĭ\tP"\ blocks=Basic Latin,Latin Extended-A
0x404988	0x40dfd3	string	0x4048c7	u͋E\b blocks=Basic Latin,Combining Diacritical Marks
0x405059	0x405060	string	0x405015	h, A
0x405093	0x40509a	string	0x405015	h0 A
0x4050ac	0x4050cf	string	0x405015	h. A
0x4050e1	0x405104	string	0x405015	h6 A
0x4054c9	0x4065bd	string	0x405265	\fSVW
0x408e29	0x408e30	string	0x408ca0	9]pu
0x409de6	0x409dfc	string	0x409d87	9]\br
0x40a322	0x40f1a4	string	0x40a318	QSUVW
0x40a41b	0x40a4ba	string	0x40a409	3\vQ\f_
0x40a426	0x40a4ba	string	0x40a409	3\vQ\f_
0x40a4f6	0x40a52b	string	0x40a4dc	SUVW
0x40b81a	0x40b863	string	0x40b7e8	WWWP
0x40beaa	0x40bed9	string	0x40be4a	_^[]
0x40beb9	0x40bed9	string	0x40be4a	_^[]
0x40becb	0x40bed9	string	0x40be4a	_^[]
0x40c2a4	0x40c2a8	string	0x40c1ab	]_^[
0x40c3bb	0x40c3dc	string	0x40c2b2	9= 9A
0x40c3c7	0x40c3dc	string	0x40c2b2	9= 9A
0x40c3cf	0x40c3dc	string	0x40c2b2	9= 9A
0x40c3d4	0x40c3dc	string	0x40c2b2	9= 9A
0x40c590	0x411490	string	0x40c502	0\aw,a
0x40d78c	0x40f1a4	string	0x40d62b	QSUVW
0x40d80c	0x41150c	string	0x40d79e	n;^
0x40d928	0x40f1a4	string	0x40d8b2	QSUVW
0x40e1ba	0x40f1a4	string	0x40e180	QSUVW
0x40edf6	0x40ee0b	string	0x40ed5b	_^][
0x40f0d0	0x40f0bf	string	0x40f06e	9X\fu\b
0x40f110	0x40f145	string	0x40f06e	h89A
0x40f140	0x40f145	string	0x40f06e	h89A
0x40f2f7	0x40f2fb	string	0x40f1a4	_^][Y
0x40f417	0x40f423	string	0x40f3bc	_^][
0x4102e5	0x4103bb	string	0x4102d5	X_^[
0x411191	0x4111b3	string	0x410afb	Debugger breakpoint reached
0x4111c5	0x4111e7	string	0x410afb	Invalid memory access
0x4112cd	0x411343	string	0x410afb	MDI_ChildClass
0x411368	0x4113ab	string	0x410afb	msimg32.dll
