reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x42624e	0x42f899	string	0x42618d	u͋E\b blocks=Basic Latin,Combining Diacritical Marks
0x42691f	0x426926	string	0x4268db	h, A
0x426959	0x426960	string	0x4268db	h0 A
0x426972	0x426995	string	0x4268db	h. A
0x4269a7	0x4269ca	string	0x4268db	h6 A
0x426d8f	0x427e83	string	0x426b2b	\fSVW
0x42a6ef	0x42a6f6	string	0x42a566	9]pu
0x42b6ac	0x42b6c2	string	0x42b64d	9]\br
0x42b96a		string	0x42b951	mmm\afff
0x42bbe8	0x430a6a	string	0x42bbde	QSUVW
0x42bce1	0x42bd80	string	0x42bccf	3\vQ\f_
0x42bcec	0x42bd80	string	0x42bccf	3\vQ\f_
0x42bdbc	0x42bdf1	string	0x42bda2	SUVW
0x42d0e0	0x42d129	string	0x42d0ae	WWWP
0x42d770	0x42d79f	string	0x42d710	_^[]
0x42d77f	0x42d79f	string	0x42d710	_^[]
0x42d791	0x42d79f	string	0x42d710	_^[]
0x42db6a	0x42db6e	string	0x42da71	]_^[
0x42dc81	0x42dca2	string	0x42db78	9= 9A
0x42dc8d	0x42dca2	string	0x42db78	9= 9A
0x42dc95	0x42dca2	string	0x42db78	9= 9A
0x42dc9a	0x42dca2	string	0x42db78	9= 9A
0x42f052	0x430a6a	string	0x42eef1	QSUVW
0x42f1ee	0x430a6a	string	0x42f178	QSUVW
0x42fa80	0x430a6a	string	0x42fa46	QSUVW
0x4306bc	0x4306d1	string	0x430621	_^][
0x430996	0x430985	string	0x430934	9X\fu\b
0x4309d6	0x430a0b	string	0x430934	h89A
0x430a06	0x430a0b	string	0x430934	h89A
0x430bbd	0x430bc1	string	0x430a6a	_^][Y
0x430cdd	0x430ce9	string	0x430c82	_^][
0x431bab	0x431c81	string	0x431b9b	X_^[
0x432a57	0x432a79	string	0x4323c1	Debugger breakpoint reached
0x432a8b	0x432aad	string	0x4323c1	Invalid memory access
0x432b93	0x432c09	string	0x4323c1	MDI_ChildClass
0x432c2e	0x432c71	string	0x4323c1	msimg32.dll
0x433b7d	0x433bf1	string	0x43344a	memmove
0x433c09	0x433c7d	string	0x43344a	floor
0x433d76	0x433de7	string	0x43344a	CreateProcessA
0x433d8e	0x433df9	string	0x43344a	WaitForSingleObject
0x43400b	0x434081	string	0x43344a	EnableWindow
0x4340c1	0x434107	string	0x43344a	GetSystemMetrics
0x43428b	0x4342e1	string	0x43344a	TranslateAcceleratorA
0x43446c	0x4344cf	string	0x43344a	SetPixel
0x43446e	0x4344d9	string	0x43344a	GDI32.DLL
0x435180	0x4351bd	string	0x43344a	-;r\to
0x435528	0x43554d	string	0x43344a	ᎎ'x҆ blocks=Ethiopic Supplement,Basic Latin,Cyrillic
0x435a6f	0x435a01	string	0x43344a	/~1#
0x435b1f	0x435b97	string	0x43344a	;~m7|M
0x435b9b	0x435bea	string	0x43344a	:El]Z
0x436e6c	0x436e0e	string	0x43344a	nԑCt blocks=Basic Latin,Cyrillic Supplement
0x437110	0x437168	string	0x43344a	R)\r$
0x437a02	0x4379a0	string	0x43344a	\e~\b?
0x438c94	0x438ce6	string	0x43344a	\b`Va
