reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4013c0	0x44c6e4	string	0x4013a3	generic
0x4013d4	0x44c6ec	string	0x4013c6	unknown error
0x4013ec	0x44c6fc	string	0x4013c6	iostream
0x4013fe	0x44c708	string	0x4013f2	iostream stream error
0x40141c	0x44c720	string	0x4013f2	system
0x401430	0x44c6ec	string	0x401422	unknown error
0x401548	0x401580	string	0x401539	;N\bu\bQ
0x40154c	0x401580	string	0x401539	;N\bu\bQ
0x4017e5	0x4017ea	string	0x40174e	^[_]
0x401b0a	0x401b1a	string	0x401b03	;u\fu
0x402642	0x447264	import	0x402639	ole32.dll.CoInitialize
0x40264c	0x44726c	import	0x40264c	ole32.dll.CoUninitialize
0x40276d	0x447270	import	0x40264c	ole32.dll.CoCreateInstance
0x4028a0	0x44c788	string	0x40264c	.lnk
0x403211	0x403218	string	0x4031ab	_^[]
0x40330b	0x4470a8	import	0x4032fb	KERNEL32.dll.LeaveCriticalSection
0x403375	0x447054	import	0x40331e	KERNEL32.dll.ExpandEnvironmentStringsW
0x4033b6	0x447054	import	0x40331e	KERNEL32.dll.ExpandEnvironmentStringsW
0x40376e	0x403772	string	0x40370c	3ҍ^4f blocks=Basic Latin,Cyrillic
0x4037d1	0x44c7e4	string	0x40370c	DSPT
0x403b34	0x44c8d8	string	0x403afe	Setup
0x403b7e	0x44c8d8	string	0x403afe	Setup
0x403bdf	0x44c8c4	string	0x403afe	Presetup
0x403c23	0x44c8c4	string	0x403afe	Presetup
0x403c92	0x44c918	string	0x403afe	DeleteSelf
0x403cdf	0x44c908	string	0x403afe	Delete
0x403d1d	0x44c908	string	0x403afe	Delete
0x403e2e	0x44c840	string	0x403afe	Text
0x403e77	0x44c840	string	0x403afe	Text
0x4040b1	0x44c84c	string	0x403afe	Update
0x4040fa	0x44c84c	string	0x403afe	Update
0x40447e	0x44c8f8	string	0x403afe	Silent
0x4044bd	0x44c8f8	string	0x403afe	Silent
0x40452e	0x44c8e4	string	0x403afe	TempMode
0x404574	0x44c8e4	string	0x403afe	TempMode
0x4045fd	0x44c898	string	0x403afe	SavePath
0x40462c	0x44c8ac	string	0x403afe	PreExtract
0x404667	0x44c8ac	string	0x403afe	PreExtract
0x4046bf	0x44c930	string	0x403afe	Registry
0x40474d	0x44c950	string	0x403afe	Windows Registry Editor Version 5.00
0x4049b4	0x4049ec	string	0x4049a5	;N\bu\bQ
0x4049b8	0x4049ec	string	0x4049a5	;N\bu\bQ
0x404a1f	0x404a57	string	0x404a10	;N\bu\bQ
0x404a23	0x404a57	string	0x404a10	;N\bu\bQ
0x404e2b	0x44c9a4	string	0x404dd3	sfx.reg
0x404f4d	0x44c7a0	string	0x404dd3	Kernel32.dll
0x404f5a	0x447034	import	0x404dd3	KERNEL32.dll.LoadLibraryW
0x404f66	0x44c9bc	string	0x404dd3	GetCurrentProcess
0x404f71	0x44703c	import	0x404dd3	KERNEL32.dll.GetProcAddress
0x404f7a	0x44c7bc	string	0x404dd3	IsWow64Process
0x404fc8	0x44c9d0	string	0x404dd3	Wow64DisableWow64FsRedirection
0x404fd0	0x44c9f0	string	0x404dd3	Wow64RevertWow64FsRedirection
0x40505e	0x44ca10	string	0x404dd3	regedit.exe
0x405072	0x4471d8	import	0x404dd3	SHELL32.dll.ShellExecuteExW
0x405098	0x447058	import	0x404dd3	KERNEL32.dll.WaitForSingleObject
0x4050a4	0x447040	import	0x404dd3	KERNEL32.dll.CloseHandle
0x4050bf	0x447024	import	0x404dd3	KERNEL32.dll.FreeLibrary
0x405132	0x447238	import	0x405105	USER32.dll.GetDlgItem
0x405168	0x44705c	import	0x405105	KERNEL32.dll.GetModuleFileNameW
0x4051c8	0x447244	import	0x405105	USER32.dll.SetWindowTextW
0x4051f0	0x447238	import	0x405105	USER32.dll.GetDlgItem
0x405200	0x447240	import	0x405105	USER32.dll.SendMessageW
0x405255	0x447238	import	0x405221	USER32.dll.GetDlgItem
0x40526b	0x447240	import	0x405221	USER32.dll.SendMessageW
0x405299	0x447240	import	0x405221	USER32.dll.SendMessageW
0x4052a0	0x44725c	import	0x405221	USER32.dll.SetFocus
0x4052bc	0x44723c	import	0x405221	USER32.dll.EndDialog
0x405349	0x447238	import	0x40532a	USER32.dll.GetDlgItem
0x405378	0x447234	import	0x40532a	USER32.dll.GetWindowTextW
0x4053a9	0x44c764	string	0x4053a3	advapi32.dll
0x4053c2	0x447034	import	0x4053a3	KERNEL32.dll.LoadLibraryW
0x4053d0	0x44703c	import	0x4053a3	KERNEL32.dll.GetProcAddress
0x4053d6	0x44ca40	string	0x4053a3	RegCreateKeyExW
0x4053de	0x44ca50	string	0x4053a3	RegQueryValueW
0x4053ea	0x44ca60	string	0x4053a3	RegSetValueW
0x4053f7	0x44ca70	string	0x4053a3	RegQueryValueExW
0x405404	0x44ca84	string	0x4053a3	RegSetValueExW
0x405411	0x44ca94	string	0x4053a3	RegCloseKey
0x405450	0x447024	import	0x405447	KERNEL32.dll.FreeLibrary
0x40565d	0x447230	import	0x40564b	USER32.dll.GetSystemMetrics
0x40567d	0x447220	import	0x40564b	USER32.dll.GetWindowRect
0x4056ca	0x44722c	import	0x40564b	USER32.dll.SetWindowPos
0x4056ef	0x447224	import	0x4056e3	USER32.dll.PostMessageW
0x405723	0x447228	import	0x405706	USER32.dll.DialogBoxParamW
0x405d8a	0x405da7	string	0x405d79	_^[]
0x406195	0x447060	import	0x406131	KERNEL32.dll.CreateProcessW
0x4061a7	0x447040	import	0x406131	KERNEL32.dll.CloseHandle
