reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4072a2	0x40c428	string	0x40722f	P9D$\ft
0x40a65c	0x41277c	string	0x40a52a	M\b+M
0x40b66c	0x40b682	string	0x40b60d	9]\br
0x40bb17	0x4098b1	string	0x40babd	L$4SVQ
0x40bb3a	0x40bda7	string	0x40babd	SUVW
0x40bb9e	0x410bd0	string	0x40bb94	QSUVW
0x40bc97	0x40bd36	string	0x40bc85	3\vQ\f_
0x40bca2	0x40bd36	string	0x40bc85	3\vQ\f_
0x40bd72	0x40bda7	string	0x40bd58	SUVW
0x40c377	0x409d76	string	0x40c303	T$$_^
0x40c58f	0x409f7f	string	0x40c543	T$$R
0x40cac6	0x40cadc	string	0x40cab8	j\n[_^
0x40d0b7	0x40d100	string	0x40d085	WWWP
0x40db41	0x40db45	string	0x40da48	]_^[
0x40e91c	0x41277c	string	0x40e896	M\b+M
0x40f872	0x40f8a5	string	0x40f81a	_^[]
0x40fa74	0x410bd0	string	0x40fa15	QSUVW
0x40fbe6	0x410bd0	string	0x40fbac	QSUVW
0x410822	0x410837	string	0x410787	_^][
0x410afc	0x410aeb	string	0x410a9a	9X\fu\b
0x410b3c	0x410b71	string	0x410a9a	h0:A
0x410b6c	0x410b71	string	0x410a9a	h0:A
0x410d23	0x410d27	string	0x410bd0	_^][Y
0x410e43	0x410e4f	string	0x410de8	_^][
0x410fbb	0x41277c	string	0x410f7d	M\b+M
0x411d11	0x411de7	string	0x411d01	X_^[
0x412af5	0x412b17	string	0x412517	Debugger breakpoint reached
0x412b29	0x412b4b	string	0x412517	Invalid memory access
0x412c31	0x412ca7	string	0x412517	MDI_ChildClass
0x412ccc	0x412d0f	string	0x412517	msimg32.dll
