reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180001279	0x1800126d0	string	0x180001220	c|w{
0x180001488	0x1800126d0	string	0x180001220	c|w{
0x180001c9c	0x180010000	import	0x180001c30	KERNEL32.dll.QueryPerformanceCounter
0x180001ef7	0x1800180a0	string	0x180001ed0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/=
0x180001f40	0x1800180a0	string	0x180001ed0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/=
0x180001f5c	0x1800180a0	string	0x180001ed0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/=
0x180001fa8	0x1800180a0	string	0x180001ed0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/=
0x180002333	0x1800128e0	string	0x180002300	vector<T> too long
0x180002541	0x1800128f8	string	0x180002440	invalid vector<T> subscript
0x180002560	0x180010230	import	0x180002440	USER32.dll.wsprintfW
0x1800025fe	0x180010008	import	0x180002440	KERNEL32.dll.GetLastError
0x1800027d8	0x180010010	import	0x180002640	KERNEL32.dll.lstrcatW
0x18000282d	0x1800128f8	string	0x180002640	invalid vector<T> subscript
0x180002849	0x180010230	import	0x180002640	USER32.dll.wsprintfW
0x1800028ee	0x180010008	import	0x180002640	KERNEL32.dll.GetLastError
0x180002a11	0x180012950	string	0x180002990	.ini
0x180002a18	0x180010020	import	0x180002990	KERNEL32.dll.lstrcpyW
0x180002a5c	0x180012960	string	0x180002990	.dat
0x180002a63	0x180010020	import	0x180002990	KERNEL32.dll.lstrcpyW
0x180002b5d	0x1800128f8	string	0x180002b00	invalid vector<T> subscript
0x180002bb8	0x180010028	import	0x180002b00	KERNEL32.dll.CreateThread
0x180002bcb	0x180010030	import	0x180002b00	KERNEL32.dll.WaitForSingleObject
0x1800030c4	0x180010230	import	0x180003000	USER32.dll.wsprintfW
0x180003160	0x180010008	import	0x180003000	KERNEL32.dll.GetLastError
0x180003187	0x180005090	string	0x180003000	@USVWATAWH
0x1800033f7	0x1800128f8	string	0x1800031c0	invalid vector<T> subscript
0x180003546	0x180001e00	string	0x1800031c0	@SUVATAUH
0x180003665	0x180002640	string	0x1800031c0	@SWAUAVH
0x180003683	0x1800128f8	string	0x1800031c0	invalid vector<T> subscript
0x1800037f3	0x180001e00	string	0x1800031c0	@SUVATAUH
0x18000395d	0x1800128f8	string	0x1800038f0	invalid vector<T> subscript
0x1800039a1	0x1800128f8	string	0x1800038f0	invalid vector<T> subscript
0x180003a2f	0x1800128f8	string	0x1800038f0	invalid vector<T> subscript
0x180003a88	0x1800128f8	string	0x1800038f0	invalid vector<T> subscript
0x180003aa4	0x180003ae2	string	0x1800038f0	HcL$ H
0x180003b2a	0x1800128f8	string	0x1800038f0	invalid vector<T> subscript
0x180003b64	0x180003b73	string	0x1800038f0	HcL$ H
0x180003b66	0x1800128f8	string	0x1800038f0	invalid vector<T> subscript
0x180003bc0	0x1800041e0	string	0x1800038f0	@USWATAUAVH
0x180003be4	0x1800041e0	string	0x1800038f0	@USWATAUAVH
0x180003bf6	0x180003c05	string	0x1800038f0	HcL$ H
0x180003bf8	0x1800128f8	string	0x1800038f0	invalid vector<T> subscript
0x180003d3e	0x180010008	import	0x180003c70	KERNEL32.dll.GetLastError
0x180003d63	0x180005090	string	0x180003c70	@USVWATAWH
0x1800040a8	0x180010230	import	0x180003fd0	USER32.dll.wsprintfW
0x1800040c1	0x180010230	import	0x180003fd0	USER32.dll.wsprintfW
0x1800040d5	0x180010220	import	0x180003fd0	SHLWAPI.dll.StrTrimW
0x18000417c	0x180010008	import	0x180003fd0	KERNEL32.dll.GetLastError
0x1800041a1	0x180005090	string	0x180003fd0	@USVWATAWH
0x18000428b	0x1800128f8	string	0x1800041e0	invalid vector<T> subscript
0x180004300	0x1800129b0	string	0x1800041e0	\Temp\
0x18000430b	0x180010010	import	0x1800041e0	KERNEL32.dll.lstrcatW
0x180004349	0x1800129c0	string	0x1800041e0	%s %s "%s"
0x180004355	0x180010230	import	0x1800041e0	USER32.dll.wsprintfW
0x18000435d	0x1800129d8	string	0x1800041e0	%s %s
0x180004364	0x180010230	import	0x1800041e0	USER32.dll.wsprintfW
0x180004378	0x180010220	import	0x1800041e0	SHLWAPI.dll.StrTrimW
0x180004529	0x1800129c0	string	0x180004460	%s %s "%s"
0x180004542	0x180010230	import	0x180004460	USER32.dll.wsprintfW
0x18000454a	0x1800129d8	string	0x180004460	%s %s
0x18000455e	0x180010230	import	0x180004460	USER32.dll.wsprintfW
0x180004572	0x180010220	import	0x180004460	SHLWAPI.dll.StrTrimW
0x18000461c	0x180010008	import	0x180004460	KERNEL32.dll.GetLastError
0x180004640	0x180005090	string	0x180004460	@USVWATAWH
0x1800046e0	0x180005880	string	0x180004690	@UVWAVAWH
0x180004879	0x180001e00	string	0x180004690	@SUVATAUH
0x18000491a	0x180005880	string	0x180004690	@UVWAVAWH
0x1800049cb	0x180010008	import	0x180004970	KERNEL32.dll.GetLastError
0x180004a02	0x180005090	string	0x180004970	@USVWATAWH
0x180004a46	0x1800128f8	string	0x180004a10	invalid vector<T> subscript
0x180004ab0	0x1800128f8	string	0x180004a10	invalid vector<T> subscript
0x180004b09	0x1800128f8	string	0x180004a10	invalid vector<T> subscript
0x180004bd8	0x180010018	import	0x180004b60	KERNEL32.dll.lstrcmpiW
0x180004d4d	0x1800128f8	string	0x180004cf0	invalid vector<T> subscript
0x180004d78	0x180010230	import	0x180004cf0	USER32.dll.wsprintfW
0x180004e20	0x1800128f8	string	0x180004cf0	invalid vector<T> subscript
0x180004e48	0x1800128f8	string	0x180004cf0	invalid vector<T> subscript
0x180005140	0x1800128f8	string	0x180005090	invalid vector<T> subscript
0x180005153	0x1800128f8	string	0x180005090	invalid vector<T> subscript
0x18000516f	0x1800128f8	string	0x180005090	invalid vector<T> subscript
0x180005182	0x1800128f8	string	0x180005090	invalid vector<T> subscript
0x1800051cb	0x180010230	import	0x180005090	USER32.dll.wsprintfW
0x180005225	0x180012920	string	0x180005090	.cab
0x180005232	0x180010018	import	0x180005090	KERNEL32.dll.lstrcmpiW
0x18000523c	0x180012930	string	0x180005090	.zip
0x180005246	0x180010018	import	0x180005090	KERNEL32.dll.lstrcmpiW
0x180005250	0x180012940	string	0x180005090	.rar
0x18000525a	0x180010018	import	0x180005090	KERNEL32.dll.lstrcmpiW
0x18000541e	0x180001c30	string	0x180005090	@USVWATAUAVH
0x18000545e	0x1800128f8	string	0x180005090	invalid vector<T> subscript
0x180005471	0x1800128f8	string	0x180005090	invalid vector<T> subscript
0x180005502	0x1800128f8	string	0x180005090	invalid vector<T> subscript
0x18000551c	0x180010238	import	0x180005090	USER32.dll.wsprintfA
0x180005557	0x1800128f8	string	0x180005090	invalid vector<T> subscript
