reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x71001014	0x7100411c	import	0x71001000	WS2_32.dll.recv
0x71001023	0x71001037	string	0x71001000	_^]3
0x710010ad	0x7100413c	import	0x71001040	WS2_32.dll.send
0x710010e5	0x7100408c	import	0x71001040	KERNEL32.dll.GetDriveTypeW
0x71001169	0x710010f0	string	0x71001040	3\rL$\b
0x71001192	0x71004088	import	0x71001040	KERNEL32.dll.Sleep
0x71001199	0x71004090	import	0x71001040	KERNEL32.dll.PeekNamedPipe
0x710011fa	0x71004094	import	0x71001040	KERNEL32.dll.ReadFile
0x71001227	0x71004098	import	0x71001040	KERNEL32.dll.MultiByteToWideChar
0x71001297	0x7100402c	import	0x71001040	KERNEL32.dll.CreatePipe
0x7100131f	0x71004028	import	0x71001040	KERNEL32.dll.GetStartupInfoW
0x71001353	0x71004024	import	0x71001040	KERNEL32.dll.GetSystemDirectoryW
0x71001360	0x71005120	string	0x71001040	\cmd.exe
0x71001366	0x710040e0	import	0x71001040	MSVCRT.dll.wcscat
0x71001389	0x71004020	import	0x71001040	KERNEL32.dll.CreateProcessW
0x71001394	0x710040e4	import	0x71001040	MSVCRT.dll.exit
0x7100139b	0x7100401c	import	0x71001040	KERNEL32.dll.GetOEMCP
0x710013c5	0x71004050	import	0x71001040	KERNEL32.dll.CreateThread
0x710013cb	0x71004088	import	0x71001040	KERNEL32.dll.Sleep
0x710013d1	0x71004104	import	0x71001040	USER32.dll.GetMessageW
0x7100148d	0x71004080	import	0x71001040	KERNEL32.dll.WriteFile
0x71001493	0x71005114	string	0x71001040	exit\r\n
0x710014d4	0x71004084	import	0x71001040	KERNEL32.dll.CloseHandle
0x71001530	0x71001665	string	0x71001040	_^]3
0x71001549	0x71004084	import	0x71001040	KERNEL32.dll.CloseHandle
0x71001557	0x71004034	import	0x71001040	KERNEL32.dll.OpenProcess
0x710015a0	0x71005134	string	0x71001040	SYSTEM
0x710015aa	0x710040dc	import	0x71001040	MSVCRT.dll.wcscpy
0x710016a2	0x71004034	import	0x71001040	KERNEL32.dll.OpenProcess
0x710016af	0x71004040	import	0x71001040	KERNEL32.dll.TerminateProcess
0x7100175e	0x7100412c	import	0x71001040	WS2_32.dll.socket
0x71001781	0x71004128	import	0x71001040	WS2_32.dll.htons
0x71001791	0x71004124	import	0x71001040	WS2_32.dll.gethostbyname
0x710017bf	0x71004120	import	0x71001040	WS2_32.dll.connect
0x710017c5	0x71004088	import	0x71001040	KERNEL32.dll.Sleep
0x71001813	0x7100411c	import	0x71001040	WS2_32.dll.recv
0x7100187d	0x71004118	import	0x71001040	WS2_32.dll.shutdown
0x71001894	0x71004114	import	0x71001040	WS2_32.dll.closesocket
0x710018b9	0x71004114	import	0x71001040	WS2_32.dll.closesocket
0x7100194c	0x71004048	import	0x71001040	KERNEL32.dll.CreateFileW
0x7100195a	0x71004044	import	0x71001040	KERNEL32.dll.GetFileSize
0x71001998	0x71004094	import	0x71001040	KERNEL32.dll.ReadFile
0x71001a29	0x71004084	import	0x71001040	KERNEL32.dll.CloseHandle
0x71001a9c	0x71004048	import	0x71001040	KERNEL32.dll.CreateFileW
0x71001aaa	0x71004044	import	0x71001040	KERNEL32.dll.GetFileSize
0x71001ac0	0x7100404c	import	0x71001040	KERNEL32.dll.SetFilePointer
0x71001afa	0x71004094	import	0x71001040	KERNEL32.dll.ReadFile
0x71001b8d	0x71004084	import	0x71001040	KERNEL32.dll.CloseHandle
0x71001bcf	0x71004054	import	0x71001040	KERNEL32.dll.SetFileAttributesW
0x71001bda	0x7100409c	import	0x71001040	KERNEL32.dll.DeleteFileW
0x71001c82	0x710040e0	import	0x71001040	MSVCRT.dll.wcscat
0x71001c98	0x71004064	import	0x71001040	KERNEL32.dll.FindFirstFileW
0x71001c9e	0x710040d4	import	0x71001040	MSVCRT.dll.wcscmp
0x71001ca4	0x71004060	import	0x71001040	KERNEL32.dll.FileTimeToLocalFileTime
0x71001caa	0x7100405c	import	0x71001040	KERNEL32.dll.FileTimeToSystemTime
0x71001ce3	0x710040f8	import	0x71001040	SHELL32.dll.SHGetFileInfoW
0x71001cf6	0x710040dc	import	0x71001040	MSVCRT.dll.wcscpy
0x71001dbc	0x71005144	string	0x71001040	%4d-%02d-%02d %02d:%02d:%02d
0x71001dc2	0x710040d8	import	0x71001040	MSVCRT.dll.sprintf
0x71001de0	0x71004098	import	0x71001040	KERNEL32.dll.MultiByteToWideChar
0x71001e11	0x71004058	import	0x71001040	KERNEL32.dll.FindNextFileW
0x71001f11	0x71004088	import	0x71001e70	KERNEL32.dll.Sleep
0x71001f37	0x71004118	import	0x71001e70	WS2_32.dll.shutdown
0x71001f44	0x71004114	import	0x71001e70	WS2_32.dll.closesocket
0x71001f5d	0x71004134	import	0x71001f50	WS2_32.dll.gethostname
0x71001f6c	0x71004124	import	0x71001f50	WS2_32.dll.gethostbyname
0x71001f7e	0x71004130	import	0x71001f50	WS2_32.dll.inet_ntoa
0x71001fa3	0x71004098	import	0x71001f50	KERNEL32.dll.MultiByteToWideChar
0x71001fcc	0x7100406c	import	0x71001f50	KERNEL32.dll.GetVersionExW
0x71001ff1	0x71004068	import	0x71001f50	KERNEL32.dll.GetTickCount
0x71002005	0x71004108	import	0x71001f50	USER32.dll.wsprintfW
0x7100208f	0x71005100	string	0x71001f50	classnk
0x710020e3	0x710040c0	import	0x710020b0	MSVCRT.dll.wcsncpy
0x710020ee	0x710040c4	import	0x710020b0	MSVCRT.dll.wcslen
0x7100211d	0x71004008	import	0x710020b0	ADVAPI32.dll.RegisterServiceCtrlHandlerW
0x7100212c	0x71004070	import	0x710020b0	KERNEL32.dll.FreeConsole
0x7100215a	0x71004050	import	0x710020b0	KERNEL32.dll.CreateThread
0x71002160	0x71004088	import	0x710020b0	KERNEL32.dll.Sleep
