reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401e75	0x40d95a	string	0x401d50	;\r`vB
0x401f78	0x40d95a	string	0x401e80	;\r`vB
0x402579	0x402688	string	0x402440	h$;B
0x4025e3	0x402688	string	0x402440	h$;B
0x4026b4	0x40d95a	string	0x402440	;\r`vB
0x4027fe	0x4238e4	string	0x402760	Operation not permitted
0x402868	0x423908	string	0x402760	united-states
0x402961	0x423964	string	0x402760	south africa
0x4029c5	0x425368	string	0x4029c0	ios_base::eofbit set
0x402a5f	0x4239c4	string	0x4029c0	great britain
0x402a81	0x423974	string	0x4029c0	slovak
0x402aae	0x423988	string	0x4029c0	pr-china
0x402b6d	0x4239c4	string	0x4029c0	great britain
0x402bb5	0x40d95a	string	0x4029c0	;\r`vB
0x402dd0	0x40d95a	string	0x402bc0	;\r`vB
0x402e91	0x40d95a	string	0x402de0	;\r`vB
0x402f41	0x4239d4	string	0x402de0	england
0x402fac	0x40d95a	string	0x402de0	;\r`vB
0x402fbe	0x40d95a	string	0x402de0	;\r`vB
0x403070	0x40d95a	string	0x402fd0	;\r`vB
0x4030be	0x40d95a	string	0x402fd0	;\r`vB
0x4030df	0x40d95a	string	0x402fd0	;\r`vB
0x40322d	0x420074	string	0x4030f0	E\bS3ۉ] blocks=Basic Latin,Arabic
0x40333d	0x40d95a	string	0x4030f0	;\r`vB
0x403372	0x40d95a	string	0x403350	;\r`vB
0x4033a0	0x40d95a	string	0x403350	;\r`vB
0x40343c	0x42003c	string	0x403350	u\bj\t
0x40365e	0x40d95a	string	0x403350	;\r`vB
0x403678	0x40d95a	string	0x403350	;\r`vB
0x4036c7	0x40d95a	string	0x403690	;\r`vB
0x4036fb	0x40d95a	string	0x403690	;\r`vB
0x4037c1	0x42003c	string	0x403690	u\bj\t
0x4039a0	0x42003c	string	0x403690	u\bj\t
0x403c70	0x40d95a	string	0x403690	;\r`vB
0x403c9a	0x40d95a	string	0x403690	;\r`vB
0x403cb5	0x425220	string	0x403cb0	%s%s%s.%s
0x403d4c	0x423a08	string	0x403cb0	swiss
0x403dc8	0x423a20	string	0x403cb0	spanish-venezuela
0x403deb	0x423a34	string	0x403cb0	spanish-uruguay
0x403e38	0x423a58	string	0x403cb0	spanish-peru
0x403ee9	0x40d95a	string	0x403cb0	;\r`vB
0x40405c	0x40d95a	string	0x403f00	;\r`vB
0x404286	0x40d95a	string	0x404070	;\r`vB
0x4042a9	0x40d95a	string	0x404070	;\r`vB
0x404378	0x420074	string	0x404340	E\bS3ۉ] blocks=Basic Latin,Arabic
0x4044e2	0x40d95a	string	0x4043c0	;\r`vB
0x4045ad	0x40d95a	string	0x4044f0	;\r`vB
0x404669	0x40d95a	string	0x4045c0	;\r`vB
0x404679	0x40d95a	string	0x4045c0	;\r`vB
0x404735	0x40d95a	string	0x404690	;\r`vB
0x404745	0x40d95a	string	0x404690	;\r`vB
0x404755	0x4251e0	string	0x404750	%s%s%s
0x4047d4	0x423aa0	string	0x404750	spanish-modern
0x404843	0x423ab0	string	0x404750	spanish-mexican
0x40489d	0x423ac0	string	0x404750	spanish-honduras
0x404932	0x40d95a	string	0x404750	;\r`vB
0x404a41	0x42003c	string	0x404940	u\bj\t
0x404aa2	0x40d95a	string	0x404940	;\r`vB
0x404bc8	0x40d95a	string	0x404ab0	;\r`vB
0x404dbd	0x40d95a	string	0x404d94	;\r`vB
0x404e21	0x40d95a	string	0x404de0	;\r`vB
0x404e3a	0x40d95a	string	0x404de0	;\r`vB
0x404f10	0x40d95a	string	0x404de0	;\r`vB
0x404f22	0x40d95a	string	0x404de0	;\r`vB
0x405260	0x40d95a	string	0x405000	;\r`vB
0x4053cf	0x40d95a	string	0x405270	;\r`vB
0x4053d8	0x420074	string	0x405270	E\bS3ۉ] blocks=Basic Latin,Arabic
0x40559b	0x40d95a	string	0x405270	;\r`vB
0x4055e0	0x420074	string	0x4055b0	E\bS3ۉ] blocks=Basic Latin,Arabic
0x405752	0x423afc	string	0x405740	spanish-ecuador
0x405856	0x423afc	string	0x4057f0	spanish-ecuador
0x405bea	0x423afc	string	0x405be0	spanish-ecuador
0x405cc6	0x405cda	string	0x405c60	;}\ftj
0x407776	0x40e94d	string	0x4076f0	j\fh8IB
0x4078b9	0x423b50	string	0x407830	spanish-chile
0x407ff1	0x40d95a	string	0x4079a0	;\r`vB
0x408005	0x425140	string	0x408000	%s%s%s
0x40805e	0x420074	string	0x408000	E\bS3ۉ] blocks=Basic Latin,Arabic
0x408622	0x40d95a	string	0x408260	;\r`vB
0x408687	0x40d95a	string	0x408630	;\r`vB
0x4090e9	0x420074	string	0x408e50	E\bS3ۉ] blocks=Basic Latin,Arabic
0x409177	0x40d95a	string	0x408e50	;\r`vB
0x4091af	0x40d95a	string	0x408e50	;\r`vB
0x409625	0x420074	string	0x4091c0	E\bS3ۉ] blocks=Basic Latin,Arabic
0x409df7	0x40d95a	string	0x4091c0	;\r`vB
0x40a008	0x40a035	string	0x40a000	;G\bu\a
0x40a00e	0x40a035	string	0x40a000	;G\bu\a
0x40a2a4	0x40a2bf	string	0x40a240	3\tE܋ blocks=Basic Latin,Syriac
0x40a2aa	0x40a2bf	string	0x40a240	3\tE܋ blocks=Basic Latin,Syriac
0x40a2ae	0x40a2bf	string	0x40a240	3\tE܋ blocks=Basic Latin,Syriac
0x40a2b4	0x40a2bf	string	0x40a240	3\tE܋ blocks=Basic Latin,Syriac
0x40a5f6	0x40a530	string	0x40a5a0	3ɣȖB blocks=Basic Latin,IPA Extensions,Latin Extended-B
0x40a8b2	0x40d95a	string	0x40a600	;\r`vB
0x40a930	0x40d95a	string	0x40a8c0	;\r`vB
0x40aa6b	0x40d95a	string	0x40a8c0	;\r`vB
0x40aa95	0x40d95a	string	0x40a8c0	;\r`vB
0x40aac5	0x40d95a	string	0x40aaa0	;\r`vB
0x40ab11	0x40d95a	string	0x40aaa0	;\r`vB
0x40ac63	0x40d95a	string	0x40aaa0	;\r`vB
0x40ac91	0x40d95a	string	0x40aaa0	;\r`vB
0x40acbc	0x40d95a	string	0x40aaa0	;\r`vB
0x40b21b	0x40d95a	string	0x40acd0	;\r`vB
0x40b668	0x40d95a	string	0x40b2e0	;\r`vB
0x40b85c	0x40b860	string	0x40b847	9E\br
0x40b897	0x423afc	string	0x40b884	spanish-ecuador
0x40baae	0x423afc	string	0x40ba97	spanish-ecuador
0x40c103	0x40c083	string	0x40c05b	3\vO 9
0x40c10f	0x40c083	string	0x40c05b	3\vO 9
0x40c1ce	0x40c14c	string	0x40c124	3\vO$9
0x40c1da	0x40c14c	string	0x40c124	3\vO$9
0x40c4bc	0x40c4c7	string	0x40c415	3\vΉF8 blocks=Basic Latin,Greek and Coptic
0x40c663	0x4101df	string	0x40c60b	j\fh JB
0x40c6a5	0x40c6b1	string	0x40c60b	_^ËQ blocks=Basic Latin,Latin-1 Supplement
0x40c8ab	0x41023b	string	0x40c884	j\fh@JB
0x40cb36	0x40cb60	string	0x40ca76	9^Tu
0x40cb46	0x40cb60	string	0x40ca76	9^Tu
0x40cd52	0x40e94d	string	0x40cc90	j\fh8IB
0x40cef8	0x40cf0d	string	0x40cee5	9~Ttf
0x40cefe	0x40cf0d	string	0x40cee5	9~Ttf
0x40cf03	0x40cf0d	string	0x40cee5	9~Ttf
0x40cf37	0x41049d	string	0x40cee5	j\fh`JB
0x40cfe7	0x41049d	string	0x40cf9d	j\fh`JB
0x40d0af	0x420454	string	0x40d09e	^_[3
0x40df88	0x40dfcd	string	0x40df75	_[]Ë blocks=Basic Latin,Latin-1 Supplement
0x40e0a0	0x40dfd5	string	0x40e093	j\fhxHB
0x40e0d5	0x40dfd5	string	0x40e0aa	j\fhxHB
0x40e66c	0x4248f8	string	0x40e66a	GetLastActivePopup
0x40e9f7	0x40d95a	string	0x40e9c7	;\r`vB
0x40eae1	0x416038	string	0x40eaa6	j\fhHMB
0x40eb01	0x4158b7	string	0x40eaa6	j\fh\bMB
0x40ed8d	0x40d95a	string	0x40eb2d	;\r`vB
0x40f503	0x40d95a	string	0x40f4f6	;\r`vB
0x40f60f	0x40d95a	string	0x40f600	;\r`vB
0x40f661	0x40f66e	string	0x40f600	jjjjj
0x40f8cd	0x40d95a	string	0x40f8c8	;\r`vB
0x40fa94	0x40fa50	string	0x40fa8c	j\fhxIB
0x40fc5a	0x4249b8	string	0x40fc58	dfhghdfghwetyertdfgd\n\n\r\n jh;jgdsaf;jkfdsa\r\n ytiirukghktuutyutyutry;\tzKJYERHHF;dsfKKKKK\r\nrtyrty\r\n
0x41016b	0x41017e	string	0x410105	9}\bu
0x41049f	0x424a60	string	0x41049d	\\%s\%s
0x41054d	0x41049d	string	0x41051c	j\fh`JB
0x410639	0x424a80	string	0x410637	%s%s%s
0x410bfc	0x410a47	string	0x410bc6	j\fhHKB
0x410c6b	0x410bc6	string	0x410c58	j\bhhKB
0x410cb1	0x4108ab	string	0x410c58	j,h KB
0x410e82	0x410e89	string	0x410dcd	9>u&
0x411445	0x40d95a	string	0x411265	;\r`vB
0x4114af	0x416038	string	0x411492	j\fhHMB
0x411959	0x40d95a	string	0x4115bb	;\r`vB
0x41197d	0x416038	string	0x411960	j\fhHMB
0x4119a3	0x416038	string	0x411986	j\fhHMB
0x411b2f	0x411b3c	string	0x411b06	SSSSS
0x411b6a	0x411b73	string	0x411b47	<.u1
0x411b6e	0x411c55	string	0x411b47	_^[]
0x411b94	0x411b9e	string	0x411b47	SSSSS
0x411c83	0x411cc6	string	0x411c66	SSSSS
0x411fb9	0x411fc6	string	0x411e36	@PVW
0x412050	0x40d95a	string	0x411e36	;\r`vB
0x4120bc	0x40d95a	string	0x412057	;\r`vB
0x4124c2	0x412518	string	0x412391	VVVVV
0x4125a6	0x40d95a	string	0x412391	;\r`vB
0x4125e4	0x416038	string	0x4125ad	j\fhHMB
0x41264b	0x427e54	string	0x4125ad	Process32NextW
0x4127c0	0x41ba12	string	0x4127b5	j hhNB
0x4128d9	0x420194	string	0x41280b	?sjj
0x4129ed	0x412a38	string	0x41290f	X^_]ú blocks=Basic Latin,Latin-1 Supplement
0x412a12	0x412a38	string	0x41290f	X^_]ú blocks=Basic Latin,Latin-1 Supplement
0x412a2d	0x412a38	string	0x41290f	X^_]ú blocks=Basic Latin,Latin-1 Supplement
0x4131ee	0x4131f3	string	0x413036	f9>t
0x413213	0x413218	string	0x413036	f9>t
0x413525	0x420194	string	0x413431	?sjj
0x413553	0x40d95a	string	0x413431	;\r`vB
0x4136e4	0x40d95a	string	0x4136b2	;\r`vB
0x4136f4	0x40d95a	string	0x4136b2	;\r`vB
0x413739	0x413932	string	0x4136b2	UVWS
0x413767	0x40d95a	string	0x4136b2	;\r`vB
0x413777	0x40d95a	string	0x4136b2	;\r`vB
0x4138eb	0x40d95a	string	0x413840	;\r`vB
0x413b42	0x413b7a	string	0x413b01	SWf9M
0x413c12	0x413bb6	string	0x413b01	j@j
0x414f00	0x40d95a	string	0x41480a	;\r`vB
0x4158b0	0x40d95a	string	0x415727	;\r`vB
0x415bb9	0x40d95a	string	0x4159d7	;\r`vB
0x415bda	0x4158b7	string	0x415bc0	j\fh\bMB
0x415dca	0x427e54	string	0x415d78	Process32NextW
0x415e61	0x427e54	string	0x415e07	Process32NextW
0x415fa6	0x427e54	string	0x415ea0	Process32NextW
0x416cda	0x40d95a	string	0x416158	;\r`vB
0x416d4b	0x420194	string	0x416158	?sjj
0x416de7	0x416df8	string	0x416ddc	;u\fr
0x416fe3	0x416e97	string	0x416fd7	j hhMB
0x416ff9	0x416e97	string	0x416fed	j hhMB
0x417009	0x416e97	string	0x417003	j hhMB
0x417018	0x416e97	string	0x417012	j hhMB
0x41720d	0x40d95a	string	0x417065	;\r`vB
0x417299	0x417393	string	0x41724d	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x4172aa	0x417393	string	0x41724d	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41768f	0x4176a1	string	0x417677	S+ƍX blocks=Basic Latin,Latin Extended-B
0x4178ba	0x40d95a	string	0x4177d4	;\r`vB
0x4182d8	0x40d95a	string	0x417f95	;\r`vB
0x418694	0x40d95a	string	0x4185b4	;\r`vB
0x41941b	0x419466	string	0x4193f0	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x419720	0x4282c4	string	0x4196c4	EnumDependentServicesW
0x419bea	0x419c2a	string	0x419bd6	_^3Ʌ blocks=Basic Latin,Latin Extended-B
0x419c18	0x419c25	string	0x419bd6	;]\f~
0x419c20	0x419c25	string	0x419bd6	;]\f~
0x419c58	0x4228e4	string	0x419c38	Thursday
0x419dcb	0x40d95a	string	0x419d2f	;\r`vB
0x419e16	0x419d12	string	0x419dd4	3\n\nB
0x419ff7	0x40d95a	string	0x419e31	;\r`vB
0x41a0b7	0x40d95a	string	0x41a002	;\r`vB
0x41a0f8	0x419d12	string	0x41a0c0	3\n\nB
0x41a143	0x419d12	string	0x41a127	3\n\nB
0x41a19d	0x422818	string	0x41a163	June
0x41a2ee	0x41a310	string	0x41a163	j@Sh
0x41a34b	0x41a34f	string	0x41a163	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x41ab82	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b73b	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b75a	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b779	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b789	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b79a	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b7bc	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b7d7	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41b800	0x41b822	string	0x41a354	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41bc03	0x41c2e7	string	0x41bbbd	SSSSS
0x41c613	0x41c61f	string	0x41c5e0	_^[]
0x41c72b	0x40d95a	string	0x41c6f0	;\r`vB
0x41c88c	0x41c8a4	string	0x41c827	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41c912	0x41c929	string	0x41c8a8	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x41caa6	0x41cb65	string	0x41ca5d	j@j
0x41ce5c	0x428314	string	0x41ce3b	SetServiceStatus
0x41cec2	0x428314	string	0x41cec2	SetServiceStatus
0x41cf19	0x41cfde	string	0x41ceda	SSSSS
0x41cf2b	0x41cfde	string	0x41ceda	SSSSS
0x41cf3d	0x41cfde	string	0x41ceda	SSSSS
0x41d121	0x41cfde	string	0x41ceda	SSSSS
