reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010c7	0x403869	string	0x4010b0	j\fhHTA
0x4011c7	0x403869	string	0x401120	j\fhHTA
0x402135	0x4130a8	import	0x4020b0	KERNEL32.dll.GetModuleHandleA
0x402144	0x413090	import	0x4020b0	KERNEL32.dll.LoadLibraryA
0x40214c	0x40215d	string	0x4020b0	_[^3
0x402157	0x4130a0	import	0x4020b0	KERNEL32.dll.SetLastError
0x4023c1	0x4023dd	string	0x4023b0	h(\tB
0x4023cd	0x413098	import	0x4023b0	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x4023e2	0x4130a4	import	0x4023b0	KERNEL32.dll.EnterCriticalSection
0x4023fc	0x40241d	string	0x4023b0	h(\tB
0x40240d	0x41309c	import	0x4023b0	KERNEL32.dll.LeaveCriticalSection
0x402422	0x41309c	import	0x4023b0	KERNEL32.dll.LeaveCriticalSection
0x40243d	0x402459	string	0x402430	h(\tB
0x402449	0x413098	import	0x402430	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x40245e	0x4130a4	import	0x402430	KERNEL32.dll.EnterCriticalSection
0x40247d	0x41309c	import	0x402430	KERNEL32.dll.LeaveCriticalSection
0x4024d1	0x41309c	import	0x402430	KERNEL32.dll.LeaveCriticalSection
0x4024f0	0x4130a8	import	0x4024e0	KERNEL32.dll.GetModuleHandleA
0x4024fd	0x413090	import	0x4024e0	KERNEL32.dll.LoadLibraryA
0x402507	0x413090	import	0x4024e0	KERNEL32.dll.LoadLibraryA
0x402515	0x402430	string	0x4024e0	UVW3
0x402532	0x4130a0	import	0x4024e0	KERNEL32.dll.SetLastError
0x402714	0x413174	import	0x402714	PSAPI.DLL.GetModuleBaseNameW
0x402dbc	0x413058	import	0x402dbc	KERNEL32.dll.Process32FirstW
0x402dc2	0x41305c	import	0x402dc2	KERNEL32.dll.Process32NextW
0x402dd9	0x41d8e0	import	0x402dc2	ADVAPI32.dll.LookupPrivilegeValueW
0x402dde	0x402dc8	string	0x402dc2	QRPh|ZA
0x402de3	0x41d8e4	import	0x402dc2	ADVAPI32.dll.AdjustTokenPrivileges
0x402de8	0x402dc8	string	0x402dc2	QRPh|ZA
0x402ded	0x41d8e8	import	0x402dc2	ADVAPI32.dll.OpenProcessToken
0x402df2	0x402dc8	string	0x402dc2	QRPh|ZA
0x402df7	0x41d8ec	import	0x402dc2	ADVAPI32.dll.GetUserNameA
0x402dfc	0x402dc8	string	0x402dc2	QRPh|ZA
0x402e7a	0x4130b4	import	0x402e01	KERNEL32.dll.RaiseException
0x402ef7	0x413090	import	0x402e01	KERNEL32.dll.LoadLibraryA
0x402f03	0x41301c	import	0x402e01	KERNEL32.dll.GetLastError
0x402f36	0x4130b4	import	0x402e01	KERNEL32.dll.RaiseException
0x402f48	0x4130b0	import	0x402e01	KERNEL32.dll.InterlockedExchange
0x402f5c	0x4130ac	import	0x402e01	KERNEL32.dll.LocalAlloc
0x402f79	0x413028	import	0x402e01	KERNEL32.dll.FreeLibrary
0x402fce	0x413050	import	0x402e01	KERNEL32.dll.GetProcAddress
0x402fda	0x41301c	import	0x402e01	KERNEL32.dll.GetLastError
0x40300c	0x4130b4	import	0x402e01	KERNEL32.dll.RaiseException
0x403053	0x403869	string	0x40304d	j\fhHTA
0x40349c	0x4052fc	string	0x403495	h`S@
0x4034f8	0x413030	import	0x4034e4	KERNEL32.dll.HeapAlloc
0x40353d	0x403495	string	0x4034e4	j\fh(TA
0x4035e9	0x40611d	string	0x4035ae	j\fhhUA
0x403609	0x4059b1	string	0x4035ae	j\fh(UA
0x403859	0x403860	string	0x40383d	f9\bt
0x403870	0x4052fc	string	0x403869	h`S@
0x4038d1	0x41300c	import	0x4038bf	KERNEL32.dll.HeapFree
0x4038e2	0x41301c	import	0x4038bf	KERNEL32.dll.GetLastError
0x4039cb	0x4052fc	string	0x40399b	h`S@
0x403b95	0x4052fc	string	0x403b8e	h`S@
0x403c5f	0x413000	import	0x403c53	KERNEL32.dll.Sleep
0x403c68	0x41304c	import	0x403c53	KERNEL32.dll.GetModuleHandleW
0x403cb1	0x4132dc	string	0x403cac	mscoree.dll
0x403cb6	0x41304c	import	0x403cac	KERNEL32.dll.GetModuleHandleW
0x403cc0	0x4132cc	string	0x403cac	CorExitProcess
0x403cc6	0x413050	import	0x403cac	KERNEL32.dll.GetProcAddress
0x403ce8	0x4130c0	import	0x403cd7	KERNEL32.dll.ExitProcess
0x403d09	0x403d16	string	0x403d01	;u\br
0x403d29	0x403d3a	string	0x403d1e	;u\fr
0x403dce	0x4052fc	string	0x403dc7	h`S@
0x4040ef	0x4130cc	import	0x404036	KERNEL32.dll.IsDebuggerPresent
0x404104	0x413084	import	0x404036	KERNEL32.dll.SetUnhandledExceptionFilter
0x40410f	0x4130c8	import	0x404036	KERNEL32.dll.UnhandledExceptionFilter
0x40412b	0x413004	import	0x404036	KERNEL32.dll.GetCurrentProcess
0x404132	0x4130c4	import	0x404036	KERNEL32.dll.TerminateProcess
0x404216	0x403869	string	0x404207	j\fhHTA
0x404224	0x413308	string	0x404207	Unknown exception
0x40438e	0x4052fc	string	0x404387	h`S@
0x404453	0x4130b4	import	0x404411	KERNEL32.dll.RaiseException
0x4045ce	0x4052fc	string	0x4045c7	h`S@
0x4046d4	0x4130d0	import	0x404686	KERNEL32.dll.DeleteCriticalSection
0x4046f1	0x403869	string	0x404686	j\fhHTA
0x404737	0x41309c	import	0x404728	KERNEL32.dll.LeaveCriticalSection
0x404746	0x4052fc	string	0x40473f	h`S@
0x4047c3	0x403869	string	0x40473f	j\fhHTA
0x4047de	0x403869	string	0x40473f	j\fhHTA
0x404818	0x40473f	string	0x404802	j\fh\bUA
0x40482c	0x4130a4	import	0x404802	KERNEL32.dll.EnterCriticalSection
0x404a96	0x413068	import	0x404865	KERNEL32.dll.VirtualFree
0x404b1b	0x41300c	import	0x404865	KERNEL32.dll.HeapFree
0x404ba2	0x413040	import	0x404b7b	KERNEL32.dll.HeapReAlloc
0x404bd8	0x413030	import	0x404b7b	KERNEL32.dll.HeapAlloc
0x404bf2	0x413064	import	0x404b7b	KERNEL32.dll.VirtualAlloc
0x404c09	0x41300c	import	0x404b7b	KERNEL32.dll.HeapFree
0x404c7f	0x413064	import	0x404c2b	KERNEL32.dll.VirtualAlloc
0x405394	0x40303e	string	0x405362	;\rHpA
0x4053a4	0x40303e	string	0x405362	;\rHpA
0x4053e9	0x40921a	string	0x405362	UVWS
0x405417	0x40303e	string	0x405362	;\rHpA
0x405427	0x40303e	string	0x405362	;\rHpA
