reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x407bc0	0x407beb	string	0x407640	A\nZ
0x40e68b	0x40e62c	string	0x407640	^#hkkљh blocks=Basic Latin,Cyrillic
0x40eff3	0x40f015	string	0x407640	ț\aKm\n) blocks=Latin Extended-B,Basic Latin
0x40f903	0x40f935	string	0x407640	tOHEC*
0x40fd69	0x40fcef	string	0x407640	}~'&
0x4108e4	0x41086e	string	0x407640	zH1к blocks=Basic Latin,Cyrillic
0x4109d2	0x41099f	string	0x407640	7J$6L_
0x410e39	0x410dc7	string	0x407640	#Pp:
0x411112	0x4110db	string	0x407640	C=;e\t#vV
0x411e57	0x411ece	string	0x407640	uSJ|AO
0x412216	0x412264	string	0x407640	ʔ;!|G blocks=IPA Extensions,Basic Latin
0x412fdc	0x41300d	string	0x407640	@ք\n# blocks=Basic Latin,Armenian
0x413695	0x413697	string	0x407640	X\r63
0x41371a	0x41379b	string	0x407640	܃u+>O blocks=Syriac,Basic Latin
0x41384e	0x4137ef	string	0x407640	ؾbt|2 blocks=Arabic,Basic Latin
0x413a27	0x413a43	string	0x407640	/~&6
0x413c65	0x413cca	string	0x407640	ҫ~KBG blocks=Cyrillic,Basic Latin
0x413c98	0x413c95	string	0x407640	S\aAz
0x413ca4	0x413c63	string	0x407640	C]|c
0x4151c0	0x415225	string	0x407640	Vk&ˤ blocks=Basic Latin,Spacing Modifier Letters
0x41971d	0x4196ee	string	0x4195a7	\tpHYs
0x41a0e8	0x41a0fd	string	0x4195a7	\e\blS
