reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401278	0x48821c	import	0x401278	kernel32.dll.CloseHandle
0x401280	0x488218	import	0x401280	kernel32.dll.CreateFileA
0x401288	0x488214	import	0x401288	kernel32.dll.GetFileType
0x401290	0x488210	import	0x401290	kernel32.dll.GetFileSize
0x401298	0x48820c	import	0x401298	kernel32.dll.GetStdHandle
0x4012a0	0x488208	import	0x401298	kernel32.dll.RaiseException
0x4012a8	0x488204	import	0x4012a8	kernel32.dll.ReadFile
0x4012b0	0x488200	import	0x4012a8	kernel32.dll.RtlUnwind
0x4012b8	0x4881fc	import	0x4012b8	kernel32.dll.SetEndOfFile
0x4012c0	0x4881f8	import	0x4012c0	kernel32.dll.SetFilePointer
0x4012c8	0x4881f4	import	0x4012c8	kernel32.dll.UnhandledExceptionFilter
0x4012d0	0x4881f0	import	0x4012d0	kernel32.dll.WriteFile
0x4012d8	0x488230	import	0x4012d8	user32.dll.CharNextA
0x4012e0	0x4881ec	import	0x4012e0	kernel32.dll.ExitProcess
0x4012e8	0x48822c	import	0x4012e8	user32.dll.MessageBoxA
0x4012f0	0x4881e8	import	0x4012f0	kernel32.dll.FindClose
0x4012f8	0x4881e4	import	0x4012f8	kernel32.dll.FindFirstFileA
0x401300	0x4881e0	import	0x401300	kernel32.dll.FreeLibrary
0x401308	0x4881dc	import	0x401308	kernel32.dll.GetCommandLineA
0x401310	0x4881d8	import	0x401310	kernel32.dll.GetLastError
0x401318	0x4881d4	import	0x401318	kernel32.dll.GetLocaleInfoA
0x401320	0x4881d0	import	0x401320	kernel32.dll.GetModuleFileNameA
0x401328	0x4881cc	import	0x401328	kernel32.dll.GetModuleHandleA
0x401330	0x4881c8	import	0x401330	kernel32.dll.GetProcAddress
0x401338	0x4881c4	import	0x401338	kernel32.dll.GetStartupInfoA
0x401340	0x4881c0	import	0x401340	kernel32.dll.GetThreadLocale
0x401348	0x4881bc	import	0x401348	kernel32.dll.LoadLibraryExA
0x401350	0x488228	import	0x401350	user32.dll.LoadStringA
0x401358	0x4881b8	import	0x401358	kernel32.dll.lstrcpynA
0x401360	0x4881b4	import	0x401360	kernel32.dll.lstrlenA
0x401368	0x4881b0	import	0x401368	kernel32.dll.MultiByteToWideChar
0x401370	0x488240	import	0x401370	advapi32.dll.RegCloseKey
0x401378	0x48823c	import	0x401378	advapi32.dll.RegOpenKeyExA
0x401380	0x488238	import	0x401380	advapi32.dll.RegQueryValueExA
0x401388	0x4881ac	import	0x401388	kernel32.dll.WideCharToMultiByte
0x401390	0x4881a8	import	0x401390	kernel32.dll.VirtualQuery
