reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4011f4	0x4641b0	import	0x4011f4	kernel32.dll.GetStdHandle
0x4011fc	0x4641ac	import	0x4011f4	kernel32.dll.RaiseException
0x401204	0x4641a8	import	0x4011f4	kernel32.dll.RtlUnwind
0x40120c	0x4641a4	import	0x40120c	kernel32.dll.UnhandledExceptionFilter
0x401214	0x4641a0	import	0x401214	kernel32.dll.WriteFile
0x40121c	0x4641c4	import	0x40121c	user32.dll.CharNextA
0x401224	0x46419c	import	0x401224	kernel32.dll.ExitProcess
0x40122c	0x4641c0	import	0x40122c	user32.dll.MessageBoxA
0x401234	0x464198	import	0x401234	kernel32.dll.FindClose
0x40123c	0x464194	import	0x40123c	kernel32.dll.FindFirstFileA
0x401244	0x464190	import	0x401244	kernel32.dll.FreeLibrary
0x40124c	0x46418c	import	0x40124c	kernel32.dll.GetCommandLineA
0x401254	0x464188	import	0x401254	kernel32.dll.GetLocaleInfoA
0x40125c	0x464184	import	0x40125c	kernel32.dll.GetModuleFileNameA
0x401264	0x464180	import	0x401264	kernel32.dll.GetModuleHandleA
0x40126c	0x46417c	import	0x40126c	kernel32.dll.GetProcAddress
0x401274	0x464178	import	0x401274	kernel32.dll.GetStartupInfoA
0x40127c	0x464174	import	0x40127c	kernel32.dll.GetThreadLocale
0x401284	0x464170	import	0x401284	kernel32.dll.LoadLibraryExA
0x40128c	0x4641bc	import	0x40128c	user32.dll.LoadStringA
0x401294	0x46416c	import	0x401294	kernel32.dll.lstrcpynA
0x40129c	0x464168	import	0x40129c	kernel32.dll.lstrlenA
0x4012a4	0x464164	import	0x4012a4	kernel32.dll.MultiByteToWideChar
0x4012ac	0x4641d4	import	0x4012ac	advapi32.dll.RegCloseKey
0x4012b4	0x4641d0	import	0x4012b4	advapi32.dll.RegOpenKeyExA
0x4012bc	0x4641cc	import	0x4012bc	advapi32.dll.RegQueryValueExA
0x4012c4	0x464160	import	0x4012c4	kernel32.dll.WideCharToMultiByte
