reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401370	0x401074	import	0x401370	MSVBVM60.DLL.__vbaChkstk
0x401376	0x4010b8	import	0x401370	MSVBVM60.DLL.__vbaExceptHandler
0x40137c	0x4010c8	import	0x401370	MSVBVM60.DLL.__vbaFPException
0x401382	0x401054	import	0x401370	MSVBVM60.DLL._adj_fdiv_m16i
0x401388	0x401044	import	0x401370	MSVBVM60.DLL._adj_fdiv_m32
0x40138e	0x4010e8	import	0x401370	MSVBVM60.DLL._adj_fdiv_m32i
0x401394	0x401024	import	0x401370	MSVBVM60.DLL._adj_fdiv_m64
0x40139a	0x401104	import	0x401370	MSVBVM60.DLL._adj_fdiv_r
0x4013a0	0x40105c	import	0x401370	MSVBVM60.DLL._adj_fdivr_m16i
0x4013a6	0x401100	import	0x401370	MSVBVM60.DLL._adj_fdivr_m32
0x4013ac	0x4010ec	import	0x401370	MSVBVM60.DLL._adj_fdivr_m32i
0x4013b2	0x4010c4	import	0x401370	MSVBVM60.DLL._adj_fdivr_m64
0x4013b8	0x401094	import	0x401370	MSVBVM60.DLL._adj_fpatan
0x4013be	0x4010c0	import	0x401370	MSVBVM60.DLL._adj_fprem
0x4013c4	0x40102c	import	0x401370	MSVBVM60.DLL._adj_fprem1
0x4013ca	0x401004	import	0x401370	MSVBVM60.DLL._adj_fptan
0x4013d0	0x40112c	import	0x401370	MSVBVM60.DLL._CIatan
0x4013d6	0x401000	import	0x401370	MSVBVM60.DLL._CIcos
0x4013dc	0x401144	import	0x401370	MSVBVM60.DLL._CIexp
0x4013e2	0x4010d8	import	0x401370	MSVBVM60.DLL._CIlog
0x4013e8	0x40106c	import	0x401370	MSVBVM60.DLL._CIsin
0x4013ee	0x4010a4	import	0x401370	MSVBVM60.DLL._CIsqrt
0x4013f4	0x40113c	import	0x401370	MSVBVM60.DLL._CItan
0x4013fa	0x401138	import	0x401370	MSVBVM60.DLL._allmul
0x401400	0x40108c	import	0x401370	MSVBVM60.DLL.DllFunctionCall
0x401406	0x401038	import	0x401406	MSVBVM60.DLL.rtcVarFromFormatVar
0x40140c	0x4010cc	import	0x40140c	MSVBVM60.DLL.__vbaVarCat
0x401412	0x401048	import	0x401412	MSVBVM60.DLL.__vbaAryDestruct
0x401418	0x40111c	import	0x401418	MSVBVM60.DLL.__vbaLateMemCall
0x40141e	0x4010bc	import	0x40141e	MSVBVM60.DLL.__vbaStrToUnicode
0x401424	0x401124	import	0x401424	MSVBVM60.DLL.__vbaStrToAnsi
0x40142a	0x40103c	import	0x40142a	MSVBVM60.DLL.__vbaSetSystemError
0x401430	0x401134	import	0x401430	MSVBVM60.DLL.__vbaI4Cy
0x401436	0x401014	import	0x401436	MSVBVM60.DLL.__vbaStrVarMove
0x40143c	0x4010e4	import	0x40143c	MSVBVM60.DLL.rtcEndOfFile
0x401442	0x4010d4	import	0x401442	MSVBVM60.DLL.rtcDir
0x401448	0x401140	import	0x401448	MSVBVM60.DLL.rtcGetPresentDate
0x40144e	0x401070	import	0x40144e	MSVBVM60.DLL.rtcMidCharBstr
0x401454	0x401064	import	0x401454	MSVBVM60.DLL.rtcLeftTrimBstr
0x40145a	0x401068	import	0x40145a	MSVBVM60.DLL.rtcRightTrimBstr
0x401460	0x401098	import	0x401460	MSVBVM60.DLL.__vbaLateIdCallLd
0x401466	0x401114	import	0x401466	MSVBVM60.DLL.__vbaI4Var
0x40146c	0x4010fc	import	0x40146c	MSVBVM60.DLL.__vbaDerefAry1
0x401472	0x401058	import	0x401472	MSVBVM60.DLL.__vbaObjSetAddref
0x401478	0x401120	import	0x401478	MSVBVM60.DLL.__vbaVarDup
0x40147e	0x4010b4	import	0x40147e	MSVBVM60.DLL.rtcJoin
0x401484	0x401060	import	0x401484	MSVBVM60.DLL.__vbaCyStr
0x40148a	0x4010f8	import	0x40148a	MSVBVM60.DLL.__vbaFreeStrList
0x401490	0x401020	import	0x401490	MSVBVM60.DLL.rtcBstrFromChar
0x401496	0x4010b0	import	0x401496	MSVBVM60.DLL.__vbaFpCmpCy
0x40149c	0x40114c	import	0x40149c	MSVBVM60.DLL.__vbaFreeObj
0x4014a2	0x401108	import	0x4014a2	MSVBVM60.DLL.rtcErrObj
0x4014a8	0x401050	import	0x4014a8	MSVBVM60.DLL.__vbaObjSet
0x4014ae	0x401040	import	0x4014ae	MSVBVM60.DLL.__vbaHresultCheckObj
0x4014b4	0x4010e0	import	0x4014b4	MSVBVM60.DLL.__vbaNew2
0x4014ba	0x401128	import	0x4014ba	MSVBVM60.DLL.__vbaFpI4
