reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4011f4	0x45e1b0	import	0x4011f4	kernel32.dll.GetStdHandle
0x4011fc	0x45e1ac	import	0x4011f4	kernel32.dll.RaiseException
0x401204	0x45e1a8	import	0x4011f4	kernel32.dll.RtlUnwind
0x40120c	0x45e1a4	import	0x40120c	kernel32.dll.UnhandledExceptionFilter
0x401214	0x45e1a0	import	0x401214	kernel32.dll.WriteFile
0x40121c	0x45e1c4	import	0x40121c	user32.dll.CharNextA
0x401224	0x45e19c	import	0x401224	kernel32.dll.ExitProcess
0x40122c	0x45e1c0	import	0x40122c	user32.dll.MessageBoxA
0x401234	0x45e198	import	0x401234	kernel32.dll.FindClose
0x40123c	0x45e194	import	0x40123c	kernel32.dll.FindFirstFileA
0x401244	0x45e190	import	0x401244	kernel32.dll.FreeLibrary
0x40124c	0x45e18c	import	0x40124c	kernel32.dll.GetCommandLineA
0x401254	0x45e188	import	0x401254	kernel32.dll.GetLocaleInfoA
0x40125c	0x45e184	import	0x40125c	kernel32.dll.GetModuleFileNameA
0x401264	0x45e180	import	0x401264	kernel32.dll.GetModuleHandleA
0x40126c	0x45e17c	import	0x40126c	kernel32.dll.GetProcAddress
0x401274	0x45e178	import	0x401274	kernel32.dll.GetStartupInfoA
0x40127c	0x45e174	import	0x40127c	kernel32.dll.GetThreadLocale
0x401284	0x45e170	import	0x401284	kernel32.dll.LoadLibraryExA
0x40128c	0x45e1bc	import	0x40128c	user32.dll.LoadStringA
0x401294	0x45e16c	import	0x401294	kernel32.dll.lstrcpynA
0x40129c	0x45e168	import	0x40129c	kernel32.dll.lstrlenA
0x4012a4	0x45e164	import	0x4012a4	kernel32.dll.MultiByteToWideChar
0x4012ac	0x45e1d4	import	0x4012ac	advapi32.dll.RegCloseKey
0x4012b4	0x45e1d0	import	0x4012b4	advapi32.dll.RegOpenKeyExA
0x4012bc	0x45e1cc	import	0x4012bc	advapi32.dll.RegQueryValueExA
0x4012c4	0x45e160	import	0x4012c4	kernel32.dll.WideCharToMultiByte
0x4012cc	0x45e15c	import	0x4012cc	kernel32.dll.VirtualQuery
0x4012d4	0x45e1e4	import	0x4012d4	oleaut32.dll.SysAllocStringLen
0x4012dc	0x45e1e0	import	0x4012dc	oleaut32.dll.SysReAllocStringLen
0x4012e4	0x45e1dc	import	0x4012e4	oleaut32.dll.SysFreeString
0x4012ec	0x45e158	import	0x4012ec	kernel32.dll.InterlockedIncrement
0x4012f4	0x45e154	import	0x4012f4	kernel32.dll.InterlockedDecrement
0x4012fc	0x45e150	import	0x4012fc	kernel32.dll.GetCurrentThreadId
0x401304	0x45e14c	import	0x401304	kernel32.dll.GetVersion
0x401330	0x45e148	import	0x401330	kernel32.dll.LocalAlloc
0x401338	0x45e144	import	0x401338	kernel32.dll.LocalFree
0x401340	0x45e140	import	0x401340	kernel32.dll.VirtualAlloc
0x401348	0x45e13c	import	0x401348	kernel32.dll.VirtualFree
0x401350	0x45e138	import	0x401350	kernel32.dll.InitializeCriticalSection
0x401358	0x45e134	import	0x401358	kernel32.dll.EnterCriticalSection
0x401360	0x45e130	import	0x401360	kernel32.dll.LeaveCriticalSection
0x401368	0x45e12c	import	0x401368	kernel32.dll.DeleteCriticalSection
0x402f18	0x45e1b8	import	0x402f18	user32.dll.GetKeyboardType
0x405b14	0x45e1f0	import	0x405b14	kernel32.dll.TlsGetValue
0x405b1c	0x45e1ec	import	0x405b1c	kernel32.dll.TlsSetValue
0x405da0	0x45e310	import	0x405da0	kernel32.dll.CloseHandle
0x405da8	0x45e30c	import	0x405da8	kernel32.dll.CompareStringA
0x405db0	0x45e308	import	0x405db0	kernel32.dll.CreateEventA
0x405db8	0x45e304	import	0x405db8	kernel32.dll.CreateFileA
0x405dc0	0x45e300	import	0x405dc0	kernel32.dll.CreateThread
0x405dd8	0x45e2f4	import	0x405dd8	kernel32.dll.EnumCalendarInfoA
0x405de0	0x45e2f0	import	0x405de0	kernel32.dll.FindResourceA
0x405de8	0x45e2ec	import	0x405de8	kernel32.dll.FormatMessageA
0x405df8	0x45e2e4	import	0x405df8	kernel32.dll.InterlockedExchange
0x405e00	0x45e2e0	import	0x405e00	kernel32.dll.FreeResource
0x405e08	0x45e2dc	import	0x405e08	kernel32.dll.GetACP
0x405e10	0x45e2d8	import	0x405e10	kernel32.dll.GetCPInfo
0x405e18	0x45e2d4	import	0x405e18	kernel32.dll.GetCurrentProcessId
0x405e28	0x45e2cc	import	0x405e28	kernel32.dll.GetDateFormatA
0x405e30	0x45e2c8	import	0x405e30	kernel32.dll.GetDiskFreeSpaceA
0x405e38	0x45e2c4	import	0x405e38	kernel32.dll.GetFullPathNameA
0x405e40	0x45e2c0	import	0x405e40	kernel32.dll.GetLastError
0x405e48	0x45e2bc	import	0x405e48	kernel32.dll.GetLocalTime
0x405e78	0x45e2a4	import	0x405e78	kernel32.dll.GetStringTypeExA
0x405e80	0x45e2a0	import	0x405e80	kernel32.dll.GetSystemInfo
0x405e90	0x45e298	import	0x405e90	kernel32.dll.GetTickCount
0x405ea0	0x45e290	import	0x405ea0	kernel32.dll.GetVersionExA
0x405ea8	0x45e28c	import	0x405ea8	kernel32.dll.GlobalAddAtomA
0x405eb0	0x45e288	import	0x405eb0	kernel32.dll.GlobalAlloc
0x405eb8	0x45e284	import	0x405eb8	kernel32.dll.GlobalDeleteAtom
0x405ec0	0x45e280	import	0x405ec0	kernel32.dll.GlobalFindAtomA
0x405ec8	0x45e27c	import	0x405ec8	kernel32.dll.GlobalFree
0x405ed0	0x45e278	import	0x405ed0	kernel32.dll.GlobalLock
0x405ed8	0x45e274	import	0x405ed8	kernel32.dll.GlobalHandle
0x405ee0	0x45e270	import	0x405ee0	kernel32.dll.GlobalReAlloc
0x405ee8	0x45e26c	import	0x405ee8	kernel32.dll.GlobalUnlock
0x405f00	0x45e260	import	0x405f00	kernel32.dll.LoadLibraryA
0x405f08	0x45e25c	import	0x405f08	kernel32.dll.LoadResource
0x405f10	0x45e258	import	0x405f10	kernel32.dll.LockResource
0x405f18	0x45e254	import	0x405f18	kernel32.dll.MulDiv
0x405f20	0x45e250	import	0x405f20	kernel32.dll.ReadFile
0x405f28	0x45e24c	import	0x405f28	kernel32.dll.ResetEvent
0x405f30	0x45e248	import	0x405f30	kernel32.dll.SetEndOfFile
0x405f38	0x45e244	import	0x405f38	kernel32.dll.SetErrorMode
0x405f40	0x45e240	import	0x405f40	kernel32.dll.SetEvent
0x405f48	0x45e23c	import	0x405f48	kernel32.dll.SetFilePointer
0x405f50	0x45e238	import	0x405f50	kernel32.dll.SetThreadLocale
0x405f58	0x45e234	import	0x405f58	kernel32.dll.SizeofResource
0x405f60	0x45e230	import	0x405f60	kernel32.dll.Sleep
0x405f68	0x45e22c	import	0x405f68	kernel32.dll.SleepEx
0x405f80	0x45e220	import	0x405f80	kernel32.dll.VirtualProtect
0x405f90	0x45e218	import	0x405f90	kernel32.dll.WaitForSingleObject
0x405fa0	0x45e210	import	0x405fa0	kernel32.dll.lstrcpyA
0x405fa8	0x45e320	import	0x405fa8	version.dll.GetFileVersionInfoA
0x405fb0	0x45e31c	import	0x405fb0	version.dll.GetFileVersionInfoSizeA
0x405fb8	0x45e318	import	0x405fb8	version.dll.VerQueryValueA
0x405fc0	0x45e40c	import	0x405fc0	gdi32.dll.BitBlt
0x405fc8	0x45e408	import	0x405fc8	gdi32.dll.CreateBitmap
0x405fd0	0x45e404	import	0x405fd0	gdi32.dll.CreateBrushIndirect
0x405fd8	0x45e400	import	0x405fd8	gdi32.dll.CreateCompatibleBitmap
0x405fe0	0x45e3fc	import	0x405fe0	gdi32.dll.CreateCompatibleDC
0x405fe8	0x45e3f8	import	0x405fe8	gdi32.dll.CreateDIBSection
0x405ff0	0x45e3f4	import	0x405ff0	gdi32.dll.CreateDIBitmap
0x405ff8	0x45e3f0	import	0x405ff8	gdi32.dll.CreateFontIndirectA
0x406000	0x45e3ec	import	0x406000	gdi32.dll.CreateHalftonePalette
0x406008	0x45e3e8	import	0x406008	gdi32.dll.CreatePalette
0x406010	0x45e3e4	import	0x406010	gdi32.dll.CreatePenIndirect
0x406018	0x45e3e0	import	0x406018	gdi32.dll.CreateSolidBrush
0x406020	0x45e3dc	import	0x406020	gdi32.dll.DeleteDC
0x406028	0x45e3d8	import	0x406028	gdi32.dll.DeleteObject
0x406030	0x45e3d4	import	0x406030	gdi32.dll.ExcludeClipRect
0x406038	0x45e3d0	import	0x406038	gdi32.dll.ExtTextOutA
0x406040	0x45e3cc	import	0x406040	gdi32.dll.FloodFill
0x406048	0x45e3c8	import	0x406048	gdi32.dll.GetBitmapBits
0x406050	0x45e3c4	import	0x406050	gdi32.dll.GetBrushOrgEx
0x406058	0x45e3c0	import	0x406058	gdi32.dll.GetClipBox
0x406060	0x45e3bc	import	0x406060	gdi32.dll.GetCurrentPositionEx
0x406068	0x45e3b8	import	0x406068	gdi32.dll.GetDCOrgEx
0x406070	0x45e3b4	import	0x406070	gdi32.dll.GetDIBColorTable
0x406078	0x45e3b0	import	0x406078	gdi32.dll.GetDIBits
0x406080	0x45e3ac	import	0x406080	gdi32.dll.GetDeviceCaps
0x406088	0x45e3a8	import	0x406088	gdi32.dll.GetObjectA
0x406090	0x45e3a4	import	0x406090	gdi32.dll.GetPaletteEntries
0x406098	0x45e3a0	import	0x406098	gdi32.dll.GetPixel
0x4060a0	0x45e39c	import	0x4060a0	gdi32.dll.GetStockObject
0x4060a8	0x45e398	import	0x4060a8	gdi32.dll.GetSystemPaletteEntries
0x4060b0	0x45e394	import	0x4060b0	gdi32.dll.GetTextExtentPoint32A
0x4060b8	0x45e390	import	0x4060b8	gdi32.dll.GetTextMetricsA
0x4060c0	0x45e38c	import	0x4060c0	gdi32.dll.GetWindowOrgEx
0x4060c8	0x45e388	import	0x4060c8	gdi32.dll.IntersectClipRect
0x4060d0	0x45e384	import	0x4060d0	gdi32.dll.LineTo
0x4060d8	0x45e380	import	0x4060d8	gdi32.dll.MaskBlt
0x4060e0	0x45e37c	import	0x4060e0	gdi32.dll.MoveToEx
0x4060e8	0x45e378	import	0x4060e8	gdi32.dll.PatBlt
0x4060f0	0x45e374	import	0x4060f0	gdi32.dll.RealizePalette
0x4060f8	0x45e370	import	0x4060f8	gdi32.dll.RectVisible
0x406100	0x45e36c	import	0x406100	gdi32.dll.Rectangle
0x406108	0x45e368	import	0x406108	gdi32.dll.RestoreDC
0x406110	0x45e364	import	0x406110	gdi32.dll.SaveDC
0x406118	0x45e360	import	0x406118	gdi32.dll.SelectClipRgn
0x406120	0x45e35c	import	0x406120	gdi32.dll.SelectObject
0x406128	0x45e358	import	0x406128	gdi32.dll.SelectPalette
0x406130	0x45e354	import	0x406130	gdi32.dll.SetBkColor
0x406138	0x45e350	import	0x406138	gdi32.dll.SetBkMode
