reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001016	0x10029410	string	0x10001000	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
0x10001207	0x10029464	string	0x10001129	%c%c%c%c
0x1000123b	0x1002945c	string	0x10001129	%c%c%c=
0x10001264	0x10029454	string	0x10001129	%c%c==
0x1000144e	0x10029540	string	0x10001388	Local Interface %s is ip %s using address family %i\n
0x100014d7	0x10029510	string	0x10001388	Name '%s' family %i resolved to '%s' family %i\n
0x10001513	0x100294f8	string	0x10001388	Couldn't bind to '%s'
0x10001539	0x100292a8	import	0x10001388	WS2_32.dll.htons
0x1000154a	0x100292ac	import	0x10001388	WS2_32.dll.bind
0x10001564	0x100294cc	string	0x10001388	Bind to local port %hu failed, trying next\n
0x1000157f	0x100292b0	import	0x10001388	WS2_32.dll.ntohs
0x100015c1	0x100292b4	import	0x10001388	WS2_32.dll.getsockname
0x100015cb	0x10029274	import	0x10001388	WS2_32.dll.WSAGetLastError
0x100015db	0x1001dd44	string	0x10001388	QSUVW
0x100015e2	0x100294a4	string	0x10001388	getsockname() failed with errno %d: %s
0x100015ee	0x10029490	string	0x10001388	Local port: %hu\n
0x1000160b	0x10029274	import	0x10001388	WS2_32.dll.WSAGetLastError
0x1000161b	0x1001dd44	string	0x10001388	QSUVW
0x10001622	0x10029470	string	0x10001388	bind failed with errno %d: %s
0x1000163d	0x10026c4e	string	0x10001388	;\rt
0x1000165e	0x1002907c	import	0x1000164a	KERNEL32.dll.SleepEx
0x10001679	0x100292a4	import	0x1000164a	WS2_32.dll.getsockopt
0x10001683	0x10029274	import	0x1000164a	WS2_32.dll.WSAGetLastError
0x1000171d	0x100292b0	import	0x100016fc	WS2_32.dll.ntohs
0x10001784	0x100292a0	import	0x10001735	WS2_32.dll.getpeername
0x1000178e	0x10029274	import	0x10001735	WS2_32.dll.WSAGetLastError
0x10001798	0x1001dd44	string	0x10001735	QSUVW
