reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010e6	0x401daf	string	0x4010e6	øxa@ blocks=Latin-1 Supplement,Basic Latin
0x401104	0x401d64	string	0x401104	hXa@
0x401109	0x401d73	string	0x401104	hXa@
0x40110e	0x4020d0	string	0x40110e	hA!@
0x401cbf	0x407008	import	0x401c8b	KERNEL32.dll.GetSystemTimeAsFileTime
0x401cce	0x407004	import	0x401c8b	KERNEL32.dll.GetCurrentThreadId
0x401cd7	0x407000	import	0x401c8b	KERNEL32.dll.GetCurrentProcessId
0x401ce4	0x407030	import	0x401c8b	KERNEL32.dll.QueryPerformanceCounter
0x401eca	0x407028	import	0x401df5	KERNEL32.dll.IsDebuggerPresent
0x401ee9	0x407020	import	0x401df5	KERNEL32.dll.SetUnhandledExceptionFilter
0x401ef3	0x407024	import	0x401df5	KERNEL32.dll.UnhandledExceptionFilter
0x401f70	0x40701c	import	0x401f56	KERNEL32.dll.GetStartupInfoW
0x4023ac	0x407020	import	0x4023a7	KERNEL32.dll.SetUnhandledExceptionFilter
0x4023b5	0x407024	import	0x4023a7	KERNEL32.dll.UnhandledExceptionFilter
0x4023c0	0x407010	import	0x4023a7	KERNEL32.dll.GetCurrentProcess
0x4023c7	0x40700c	import	0x4023a7	KERNEL32.dll.TerminateProcess
0x402716	0x40272d	string	0x402625	htK@
0x402780	0x407070	import	0x402780	VCRUNTIME140.dll.__std_type_info_destroy_list
0x402786	0x407068	import	0x402786	VCRUNTIME140.dll.memset
0x40278c	0x40706c	import	0x40278c	VCRUNTIME140.dll._except_handler4_common
0x402792	0x4071d8	import	0x40278c	api-ms-win-crt-stdio-l1-1-0.dll.__acrt_iob_func
0x402798	0x4071d4	import	0x40278c	api-ms-win-crt-stdio-l1-1-0.dll.feof
0x40279e	0x4071d0	import	0x40278c	api-ms-win-crt-stdio-l1-1-0.dll.fgetc
0x4027a4	0x4071cc	import	0x40278c	api-ms-win-crt-stdio-l1-1-0.dll.fputc
0x4027aa	0x4071c8	import	0x40278c	api-ms-win-crt-stdio-l1-1-0.dll.__stdio_common_vfprintf
0x4027b0	0x407184	import	0x4027b0	api-ms-win-crt-runtime-l1-1-0.dll.exit
0x4027b6	0x407168	import	0x4027b6	api-ms-win-crt-runtime-l1-1-0.dll._seh_filter_exe
0x4027bc	0x407160	import	0x4027bc	api-ms-win-crt-runtime-l1-1-0.dll._set_app_type
0x4027c2	0x407100	import	0x4027c2	api-ms-win-crt-math-l1-1-0.dll.__setusermatherr
0x4027c8	0x40717c	import	0x4027c8	api-ms-win-crt-runtime-l1-1-0.dll._configure_narrow_argv
0x4027ce	0x407178	import	0x4027ce	api-ms-win-crt-runtime-l1-1-0.dll._initialize_narrow_environment
