reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x14000464d	0x140004640	string	0x140004600	f98t\nH
0x14000472d	0x140004720	string	0x1400046e0	f98t\nH
0x14000480f	0x1400af458	string	0x1400047c0	msasn1.dll
0x14000481b	0x1400af470	string	0x1400047c0	cryptnet.dll
0x14000482a	0x1400af490	string	0x1400047c0	cryptbase.dll
0x14000483e	0x1400af458	string	0x1400047c0	msasn1.dll
0x140004845	0x1400af470	string	0x1400047c0	cryptnet.dll
0x14000484c	0x1400af490	string	0x1400047c0	cryptbase.dll
0x14000486a	0x14009b0b0	import	0x1400047c0	KERNEL32.dll.LoadLibraryExW
0x14000487c	0x14009b060	import	0x1400047c0	KERNEL32.dll.GetLastError
0x14000489d	0x14009b0b0	import	0x1400047c0	KERNEL32.dll.LoadLibraryExW
0x1400048af	0x14009b060	import	0x1400047c0	KERNEL32.dll.GetLastError
0x1400048b8	0x1400048c0	string	0x1400047c0	D!5\r
0x1400048cf	0x14009b0b0	import	0x1400047c0	KERNEL32.dll.LoadLibraryExW
0x1400048ed	0x14009b088	import	0x1400047c0	KERNEL32.dll.LocalFree
0x1400048f6	0x14009b088	import	0x1400047c0	KERNEL32.dll.LocalFree
0x1400048ff	0x14009b088	import	0x1400047c0	KERNEL32.dll.LocalFree
0x14000497c	0x14009b090	import	0x140004930	KERNEL32.dll.VerSetConditionMask
0x1400049a7	0x14009b0a8	import	0x140004930	KERNEL32.dll.VerifyVersionInfoW
0x140004a00	0x14009b0b0	import	0x140004930	KERNEL32.dll.LoadLibraryExW
0x140004a0c	0x14009b088	import	0x140004930	KERNEL32.dll.LocalFree
0x140004a20	0x14004c690	string	0x140004930	H;\ryY\b
0x140004a58	0x14009b020	import	0x140004a40	KERNEL32.dll.SetLastError
0x140004aa6	0x140008550	string	0x140004a40	@SVAVH
0x140004ae0	0x14009b060	import	0x140004a40	KERNEL32.dll.GetLastError
0x140004afb	0x14009b088	import	0x140004a40	KERNEL32.dll.LocalFree
0x140004b19	0x14009b020	import	0x140004a40	KERNEL32.dll.SetLastError
0x140004b81	0x14009b020	import	0x140004b70	KERNEL32.dll.SetLastError
0x140004be9	0x14009b0b0	import	0x140004b70	KERNEL32.dll.LoadLibraryExW
0x140004bf5	0x14009b020	import	0x140004b70	KERNEL32.dll.SetLastError
0x140004c38	0x14009b058	import	0x140004c10	KERNEL32.dll.GetSystemDirectoryW
0x140004c5b	0x14009b038	import	0x140004c10	KERNEL32.dll.LocalAlloc
0x140004c6e	0x14009b058	import	0x140004c10	KERNEL32.dll.GetSystemDirectoryW
0x140004d35	0x1400af4d8	string	0x140004cf0	Shell32.dll
0x140004d4d	0x1400af4f0	string	0x140004cf0	SHGetFolderPathW
0x140004d57	0x14009b080	import	0x140004cf0	KERNEL32.dll.GetProcAddress
0x140004dc6	0x14009b038	import	0x140004cf0	KERNEL32.dll.LocalAlloc
0x140004e16	0x14004c690	string	0x140004cf0	H;\ryY\b
0x140004e68	0x14009b038	import	0x140004e30	KERNEL32.dll.LocalAlloc
0x140004fea	0x14009b090	import	0x140004f90	KERNEL32.dll.VerSetConditionMask
0x140004ffa	0x14009b090	import	0x140004f90	KERNEL32.dll.VerSetConditionMask
0x14000500a	0x14009b090	import	0x140004f90	KERNEL32.dll.VerSetConditionMask
0x140005044	0x14009b0a8	import	0x140004f90	KERNEL32.dll.VerifyVersionInfoW
0x140005087	0x14009b028	import	0x140004f90	KERNEL32.dll.GetFullPathNameW
0x1400050a1	0x14009b038	import	0x140004f90	KERNEL32.dll.LocalAlloc
0x1400050ba	0x14009b028	import	0x140004f90	KERNEL32.dll.GetFullPathNameW
0x140005105	0x14009b088	import	0x140004f90	KERNEL32.dll.LocalFree
0x14000511f	0x14009b088	import	0x140004f90	KERNEL32.dll.LocalFree
0x140005128	0x14009b088	import	0x140004f90	KERNEL32.dll.LocalFree
0x140005138	0x14004c690	string	0x140004f90	H;\ryY\b
0x14000521b	0x14004c690	string	0x140005160	H;\ryY\b
0x140005f8a	0x140008550	string	0x140005240	@SVAVH
0x14000623d	0x14004c690	string	0x140005240	H;\ryY\b
0x140006296	0x1400062b6	string	0x140006260	H9=\vd\r
0x1400062bf	0x1400af508	string	0x140006260	OpenSCManagerW
0x1400062c9	0x14009b080	import	0x140006260	KERNEL32.dll.GetProcAddress
0x1400062ed	0x140006312	string	0x140006260	H9=oh\r
0x1400062ef	0x1400af518	string	0x140006260	OpenServiceW
0x1400062f9	0x14009b080	import	0x140006260	KERNEL32.dll.GetProcAddress
0x14000631b	0x1400af528	string	0x140006260	QueryServiceStatus
0x140006325	0x14009b080	import	0x140006260	KERNEL32.dll.GetProcAddress
0x140006347	0x1400af540	string	0x140006260	CloseServiceHandle
0x140006351	0x14009b080	import	0x140006260	KERNEL32.dll.GetProcAddress
0x14000636d	0x14004c690	string	0x140006260	H;\ryY\b
0x1400063c5	0x1400af558	string	0x140006260	CryptSvc
0x14000644c	0x14004c690	string	0x140006260	H;\ryY\b
0x1400064a3	0x14009b020	import	0x140006460	KERNEL32.dll.SetLastError
