reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401015	0x403048	import	0x401010	MSVCP60.dll.sym_imp_public: void __thiscall std::ios_base::Init::constructor(void)
0x401055	0x403050	import	0x401050	MSVCP60.dll.sym_imp_public: void __thiscall std::_Winit::constructor(void)
0x4010c9	0x403060	import	0x401090	MSVCP60.dll.sym_imp_void __cdecl std::_Xlen(void)
0x4010f9	0x40305c	import	0x401090	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Tidy(bool)
0x40110f	0x40305c	import	0x401090	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Tidy(bool)
0x40112a	0x40305c	import	0x401090	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Tidy(bool)
0x401136	0x403058	import	0x401090	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Copy(unsigned int)
0x4011e3	0x403080	import	0x4011d0	MSVCP60.dll.sym_imp_unsigned int const std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::npos
0x4011fc	0x4030cc	import	0x4011d0	MSVCRT.dll.memmove
0x401212	0x403044	import	0x4011d0	MSVCP60.dll.sym_imp_void __cdecl std::_Xran(void)
0x40121d	0x40307c	import	0x4011d0	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Split(void)
0x40125e	0x403078	import	0x4011d0	MSVCP60.dll.sym_imp_private: bool __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Grow(unsigned int, bool)
0x40126e	0x403074	import	0x4011d0	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Eos(unsigned int)
0x40127d	0x403070	import	0x4011d0	MSVCP60.dll.sym_imp_public: class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> & __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::erase(unsigned int, unsigned int)
0x401313	0x403078	import	0x4011d0	MSVCP60.dll.sym_imp_private: bool __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Grow(unsigned int, bool)
0x401320	0x40306c	import	0x4011d0	MSVCP60.dll.sym_imp_char const `private: static char const * __cdecl std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Nullstr(void)'::`2'::_C
0x401348	0x403074	import	0x4011d0	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Eos(unsigned int)
0x401380	0x403068	import	0x4011d0	MSVCP60.dll.sym_imp_bool __cdecl std::operator!=(class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, char const *)
0x4013a8	0x403080	import	0x4011d0	MSVCP60.dll.sym_imp_unsigned int const std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::npos
0x4013d0	0x403044	import	0x4011d0	MSVCP60.dll.sym_imp_void __cdecl std::_Xran(void)
0x4013db	0x40307c	import	0x4011d0	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Split(void)
0x40141b	0x403078	import	0x4011d0	MSVCP60.dll.sym_imp_private: bool __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Grow(unsigned int, bool)
0x40142b	0x403074	import	0x4011d0	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Eos(unsigned int)
0x401436	0x40307c	import	0x4011d0	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Split(void)
0x401462	0x40305c	import	0x4011d0	MSVCP60.dll.sym_imp_private: void __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Tidy(bool)
0x40149d	0x403078	import	0x4011d0	MSVCP60.dll.sym_imp_private: bool __thiscall std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Grow(unsigned int, bool)
0x4014aa	0x40306c	import	0x4011d0	MSVCP60.dll.sym_imp_char const `private: static char const * __cdecl std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Nullstr(void)'::`2'::_C
0x401557	0x4030c8	import	0x4011d0	MSVCRT.dll.sprintf
0x401563	0x404044	string	0x4011d0	%s%s
0x40168a	0x404044	string	0x4011d0	%s%s
0x4016a9	0x404044	string	0x4011d0	%s%s
0x4016bf	0x404044	string	0x4011d0	%s%s
0x4016f8	0x403030	import	0x4011d0	KERNEL32.dll.GetModuleFileNameA
0x40170b	0x4030c4	import	0x4011d0	MSVCRT.dll.strstr
0x401716	0x401c05	string	0x4011d0	h0@@
0x40172e	0x404020	string	0x4011d0	kernel32.dll
0x40176f	0x40300c	import	0x4011d0	KERNEL32.dll.LoadLibraryA
0x401776	0x403008	import	0x4011d0	KERNEL32.dll.GetProcAddress
0x4017b2	0x404020	string	0x4011d0	kernel32.dll
0x4017f8	0x40300c	import	0x4011d0	KERNEL32.dll.LoadLibraryA
0x4017ff	0x403008	import	0x4011d0	KERNEL32.dll.GetProcAddress
0x40180f	0x40302c	import	0x4011d0	KERNEL32.dll.GetProcessHeap
0x401816	0x403028	import	0x4011d0	KERNEL32.dll.HeapAlloc
0x401836	0x40301c	import	0x4011d0	KERNEL32.dll.ReadFile
0x40183d	0x403010	import	0x4011d0	KERNEL32.dll.CloseHandle
0x40185a	0x403018	import	0x4011d0	KERNEL32.dll.CreateFileA
0x40187f	0x403014	import	0x4011d0	KERNEL32.dll.WriteFile
0x401886	0x403010	import	0x4011d0	KERNEL32.dll.CloseHandle
0x40188f	0x40302c	import	0x4011d0	KERNEL32.dll.GetProcessHeap
0x401896	0x403024	import	0x4011d0	KERNEL32.dll.HeapFree
0x4018ad	0x40300c	import	0x4011d0	KERNEL32.dll.LoadLibraryA
0x4018cb	0x404020	string	0x4011d0	kernel32.dll
0x40193e	0x403008	import	0x4011d0	KERNEL32.dll.GetProcAddress
0x401951	0x40306c	import	0x4011d0	MSVCP60.dll.sym_imp_char const `private: static char const * __cdecl std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>>::_Nullstr(void)'::`2'::_C
0x401b3b	0x404020	string	0x4011d0	kernel32.dll
0x401bcb	0x403000	import	0x4011d0	KERNEL32.dll.Sleep
