reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40111e	0x469064	import	0x401110	SHELL32.dll.SHGetMalloc
0x401153	0x469054	import	0x401110	SHELL32.dll.SHBrowseForFolderW
0x401164	0x469058	import	0x401110	SHELL32.dll.SHGetPathFromIDListW
0x4011a1	0x469134	import	0x401193	USER32.dll.GetDlgItem
0x4011a8	0x469130	import	0x401193	USER32.dll.EnableWindow
0x4011c6	0x469134	import	0x4011b1	USER32.dll.GetDlgItem
0x4011cd	0x469140	import	0x4011b1	USER32.dll.ShowWindow
0x40120a	0x469128	import	0x4011d6	USER32.dll.GetParent
0x40121a	0x469134	import	0x4011d6	USER32.dll.GetDlgItem
0x401230	0x46912c	import	0x4011d6	USER32.dll.SetWindowTextW
0x4017c7	0x428000	import	0x4017c7	KERNEL32.dll.GetLastError
0x4017e8	0x428008	import	0x4017c7	KERNEL32.dll.FormatMessageW
0x401b7b	0x42802c	import	0x401b60	KERNEL32.dll.CloseHandle
0x401c26	0x428030	import	0x401bae	KERNEL32.dll.CreateFileW
0x401c56	0x428030	import	0x401bae	KERNEL32.dll.CreateFileW
0x401cd5	0x428010	import	0x401cc5	KERNEL32.dll.GetStdHandle
0x401ced	0x428018	import	0x401cc5	KERNEL32.dll.ReadFile
0x401d1f	0x428000	import	0x401cc5	KERNEL32.dll.GetLastError
0x401d3e	0x428000	import	0x401cc5	KERNEL32.dll.GetLastError
0x401dde	0x42800c	import	0x401dd2	KERNEL32.dll.GetFileType
0x401e8f	0x428030	import	0x401e10	KERNEL32.dll.CreateFileW
0x401e9c	0x428000	import	0x401e10	KERNEL32.dll.GetLastError
0x401ed2	0x428030	import	0x401e10	KERNEL32.dll.CreateFileW
0x401eda	0x428000	import	0x401e10	KERNEL32.dll.GetLastError
0x401f29	0x428028	import	0x401e10	KERNEL32.dll.SetFileTime
0x4022ac	0x42801c	import	0x402292	KERNEL32.dll.FlushFileBuffers
0x402360	0x428028	import	0x402292	KERNEL32.dll.SetFileTime
0x4023b7	0x428024	import	0x402370	KERNEL32.dll.SetFilePointer
0x4023c4	0x428000	import	0x402370	KERNEL32.dll.GetLastError
0x4023fc	0x428020	import	0x4023f9	KERNEL32.dll.SetEndOfFile
0x40242e	0x428010	import	0x40240a	KERNEL32.dll.GetStdHandle
0x402475	0x428014	import	0x40240a	KERNEL32.dll.WriteFile
0x4024a1	0x428014	import	0x40240a	KERNEL32.dll.WriteFile
0x402630	0x428040	import	0x40261f	KERNEL32.dll.DeleteFileW
0x40265e	0x428040	import	0x40261f	KERNEL32.dll.DeleteFileW
0x402693	0x42803c	import	0x402682	KERNEL32.dll.GetFileAttributesW
0x4026bf	0x42803c	import	0x402682	KERNEL32.dll.GetFileAttributesW
0x402727	0x428034	import	0x402700	KERNEL32.dll.CreateDirectoryW
0x40275a	0x428034	import	0x402700	KERNEL32.dll.CreateDirectoryW
0x402777	0x428000	import	0x402700	KERNEL32.dll.GetLastError
0x402848	0x428030	import	0x4027a2	KERNEL32.dll.CreateFileW
0x40288c	0x428030	import	0x4027a2	KERNEL32.dll.CreateFileW
0x40290d	0x428028	import	0x4027a2	KERNEL32.dll.SetFileTime
0x402914	0x42802c	import	0x4027a2	KERNEL32.dll.CloseHandle
0x40294f	0x428038	import	0x40293b	KERNEL32.dll.SetFileAttributesW
0x402980	0x428038	import	0x40293b	KERNEL32.dll.SetFileAttributesW
0x4029b4	0x428048	import	0x4029a8	KERNEL32.dll.FindClose
0x4029e6	0x428048	import	0x4029bb	KERNEL32.dll.FindClose
0x402b12	0x42804c	import	0x402ae9	KERNEL32.dll.FindFirstFileW
0x402b40	0x42804c	import	0x402ae9	KERNEL32.dll.FindFirstFileW
0x402b4c	0x428000	import	0x402ae9	KERNEL32.dll.GetLastError
0x402b76	0x428050	import	0x402ae9	KERNEL32.dll.FindNextFileW
0x402b82	0x428000	import	0x402ae9	KERNEL32.dll.GetLastError
0x402c87	0x428054	import	0x402c62	KERNEL32.dll.GetVersionExW
0x4031c2	0x42805c	import	0x403193	KERNEL32.dll.GetFullPathNameW
