reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401195	0x43aa24	import	0x4010c0	COMDLG32.dll.GetOpenFileNameW
0x40119b	0x43aa1c	import	0x4010c0	COMDLG32.dll.GetSaveFileNameW
0x4011ec	0x43aa20	import	0x4010c0	COMDLG32.dll.CommDlgExtendedError
0x401234	0x43aa68	import	0x401227	SHELL32.dll.SHGetMalloc
0x40126e	0x43aa6c	import	0x401227	SHELL32.dll.SHBrowseForFolderW
0x401283	0x43aa70	import	0x401227	SHELL32.dll.SHGetPathFromIDListW
0x4012b2	0x43ab44	import	0x4012a4	USER32.dll.GetDlgItem
0x4012b9	0x43ab40	import	0x4012a4	USER32.dll.EnableWindow
0x4012d7	0x43ab44	import	0x4012c2	USER32.dll.GetDlgItem
0x4012de	0x43ab4c	import	0x4012c2	USER32.dll.ShowWindow
0x40131b	0x43ab38	import	0x4012e7	USER32.dll.GetParent
0x40132b	0x43ab44	import	0x4012e7	USER32.dll.GetDlgItem
0x401341	0x43ab3c	import	0x4012e7	USER32.dll.SetWindowTextW
0x4071d5	0x430020	import	0x407070	KERNEL32.dll.CreateFileW
0x4071e5	0x430014	import	0x407070	KERNEL32.dll.CloseHandle
0x4071f0	0x430018	import	0x407070	KERNEL32.dll.CreateDirectoryW
0x4072fe	0x430020	import	0x407070	KERNEL32.dll.CreateFileW
0x40732a	0x43000c	import	0x407070	KERNEL32.dll.DeviceIoControl
0x40733c	0x430014	import	0x407070	KERNEL32.dll.CloseHandle
0x40734c	0x430000	import	0x407070	KERNEL32.dll.GetLastError
0x407398	0x43001c	import	0x407070	KERNEL32.dll.RemoveDirectoryW
0x4074eb	0x43a9e0	import	0x407463	ADVAPI32.dll.SetFileSecurityW
0x407516	0x43a9e0	import	0x407463	ADVAPI32.dll.SetFileSecurityW
0x40752e	0x430000	import	0x407463	KERNEL32.dll.GetLastError
0x4075e1	0x430028	import	0x407586	KERNEL32.dll.CreateHardLinkW
0x407799	0x430010	import	0x407619	KERNEL32.dll.SetFileTime
0x407aac	0x430008	import	0x407a9d	KERNEL32.dll.GetCurrentProcess
0x407ab3	0x43a9e8	import	0x407a9d	ADVAPI32.dll.OpenProcessToken
0x407ad3	0x43a9f4	import	0x407a9d	ADVAPI32.dll.LookupPrivilegeValueW
0x407ae8	0x43a9ec	import	0x407a9d	ADVAPI32.dll.AdjustTokenPrivileges
0x407af2	0x430000	import	0x407a9d	KERNEL32.dll.GetLastError
0x407b01	0x430014	import	0x407a9d	KERNEL32.dll.CloseHandle
0x4092a5	0x430030	import	0x40927d	KERNEL32.dll.GetLongPathNameW
0x4092c4	0x43002c	import	0x40927d	KERNEL32.dll.GetShortPathNameW
0x4093c1	0x430034	import	0x40927d	KERNEL32.dll.MoveFileW
0x40950e	0x430014	import	0x4094f3	KERNEL32.dll.CloseHandle
