reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40110b	0x4381a0	import	0x401080	KERNEL32.dll.GetVersionExA
0x40112a	0x43819c	import	0x401080	KERNEL32.dll.MoveFileExA
0x401200	0x438198	import	0x401080	KERNEL32.dll.GetWindowsDirectoryA
0x401263	0x438100	import	0x401080	KERNEL32.dll.CreateFileA
0x4012a7	0x4380d8	import	0x401080	KERNEL32.dll.GetFileSize
0x4012bd	0x43807c	import	0x401080	KERNEL32.dll.LocalAlloc
0x4012dc	0x438080	import	0x401080	KERNEL32.dll.ReadFile
0x4012ed	0x438084	import	0x401080	KERNEL32.dll.CloseHandle
0x401338	0x438088	import	0x401080	KERNEL32.dll.WriteFile
0x40136d	0x438088	import	0x401080	KERNEL32.dll.WriteFile
0x4014b7	0x448174	string	0x4014b0	prkMtx
0x4014c4	0x438090	import	0x4014b0	KERNEL32.dll.OpenMutexW
0x4014d9	0x43804c	import	0x4014b0	ADVAPI32.dll.InitializeSecurityDescriptor
0x4014fb	0x438094	import	0x4014b0	KERNEL32.dll.CreateMutexW
0x406991	0x40dfe0	string	0x406900	USWV
0x4069b0	0x4115a0	string	0x406900	USWVP
0x4069bc	0x4115a0	string	0x406900	USWVP
0x406a16	0x40bea0	string	0x406900	USWV
0x406a28	0x40bc40	string	0x406900	USWV
0x406a67	0x40bea0	string	0x406900	USWV
0x406a82	0x40a8b0	string	0x406900	USWV
0x406a93	0x40b880	string	0x406900	USWV
0x406aa4	0x40be30	string	0x406900	USWV
0x406fe5	0x4076b0	string	0x406fd0	USWV
0x406ff3	0x4076b0	string	0x406fd0	USWV
0x406ffd	0x4076b0	string	0x406fd0	USWV
0x407008	0x4080b0	string	0x406fd0	USWV
0x407013	0x4080b0	string	0x406fd0	USWV
0x407021	0x4076b0	string	0x406fd0	USWV
0x40702c	0x4080b0	string	0x406fd0	USWV
0x407036	0x4076b0	string	0x406fd0	USWV
0x407040	0x4076b0	string	0x406fd0	USWV
0x40704a	0x4076b0	string	0x406fd0	USWV
0x407054	0x4076b0	string	0x406fd0	USWV
0x40705e	0x4076b0	string	0x406fd0	USWV
0x407069	0x4080b0	string	0x406fd0	USWV
0x407073	0x4076b0	string	0x406fd0	USWV
0x40707d	0x4076b0	string	0x406fd0	USWV
0x407087	0x4076b0	string	0x406fd0	USWV
0x407091	0x4076b0	string	0x406fd0	USWV
0x40709b	0x4076b0	string	0x406fd0	USWV
0x4070a5	0x4076b0	string	0x406fd0	USWV
0x4070af	0x4076b0	string	0x406fd0	USWV
0x4070b9	0x4076b0	string	0x406fd0	USWV
0x4070c3	0x4076b0	string	0x406fd0	USWV
0x4070cd	0x4076b0	string	0x406fd0	USWV
0x4070d8	0x4080b0	string	0x406fd0	USWV
0x4070e6	0x4076b0	string	0x406fd0	USWV
0x4070f0	0x4076b0	string	0x406fd0	USWV
0x4070fa	0x4076b0	string	0x406fd0	USWV
0x407104	0x4076b0	string	0x406fd0	USWV
0x40710e	0x4076b0	string	0x406fd0	USWV
0x407118	0x4076b0	string	0x406fd0	USWV
0x407122	0x4076b0	string	0x406fd0	USWV
0x40712c	0x4076b0	string	0x406fd0	USWV
0x407136	0x4076b0	string	0x406fd0	USWV
0x407140	0x4076b0	string	0x406fd0	USWV
0x40714a	0x4076b0	string	0x406fd0	USWV
0x407154	0x4076b0	string	0x406fd0	USWV
0x40715e	0x4076b0	string	0x406fd0	USWV
0x407168	0x4076b0	string	0x406fd0	USWV
0x407172	0x4076b0	string	0x406fd0	USWV
0x40717c	0x4076b0	string	0x406fd0	USWV
0x407186	0x4076b0	string	0x406fd0	USWV
0x407190	0x4076b0	string	0x406fd0	USWV
0x40719a	0x4076b0	string	0x406fd0	USWV
0x4071a4	0x4076b0	string	0x406fd0	USWV
0x4071af	0x4080b0	string	0x406fd0	USWV
0x4071b9	0x4076b0	string	0x406fd0	USWV
0x4071c3	0x4076b0	string	0x406fd0	USWV
0x4071cd	0x4076b0	string	0x406fd0	USWV
0x4071d7	0x4076b0	string	0x406fd0	USWV
0x4071e1	0x4076b0	string	0x406fd0	USWV
0x4071eb	0x4076b0	string	0x406fd0	USWV
