reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100013c7	0x1000d070	string	0x100013c0	{AE240682-029A}.{0AFACED1-E828-11D1-9187-B532F1E9575D}
0x100013d0	0x1000d000	import	0x100013c0	KERNEL32.dll.CreateMutexW
0x100013da	0x1000d004	import	0x100013c0	KERNEL32.dll.GetLastError
0x100013f2	0x10001d10	string	0x100013c0	USWVP1ۃ blocks=Basic Latin,Arabic
0x10001410	0x10001dd0	string	0x100013c0	SWVP1
0x1000142a	0x1000d034	import	0x100013c0	KERNEL32.dll.VirtualAlloc
0x10001493	0x1000d038	import	0x100013c0	KERNEL32.dll.GetCurrentProcess
0x100014a0	0x1000d028	import	0x100013c0	KERNEL32.dll.FlushInstructionCache
0x100014b1	0x1000d03c	import	0x100013c0	KERNEL32.dll.CreateThread
0x100014c0	0x1000d030	import	0x100013c0	KERNEL32.dll.CloseHandle
0x100014e2	0x1000d040	import	0x100013c0	KERNEL32.dll.DisableThreadLibraryCalls
0x100019cb	0x1000d068	import	0x10001500	SHELL32.dll.SHGetFolderPathW
0x100019d6	0x1000d10c	string	0x10001500	\failure.{0AFACED1-E828-11D1-9187-B532F1E9575D}
0x100019dc	0x1000d010	import	0x10001500	KERNEL32.dll.lstrcatW
0x100019e5	0x1000d044	import	0x10001500	KERNEL32.dll.CreateDirectoryW
0x100019ef	0x1000d004	import	0x10001500	KERNEL32.dll.GetLastError
0x100019fc	0x1000d16c	string	0x10001500	\config.cfg
0x10001a02	0x1000d010	import	0x10001500	KERNEL32.dll.lstrcatW
0x10001a34	0x1000d048	import	0x10001500	KERNEL32.dll.GetVolumeInformationW
0x10001d27	0x1000d04c	import	0x10001d10	KERNEL32.dll.GetFileAttributesW
0x10001d46	0x1000d050	import	0x10001d10	KERNEL32.dll.CreateFileW
0x10001d56	0x1000d054	import	0x10001d10	KERNEL32.dll.GetFileSize
0x10001d79	0x1000d058	import	0x10001d10	KERNEL32.dll.ReadFile
0x10001db4	0x1000d030	import	0x10001d10	KERNEL32.dll.CloseHandle
0x10001df1	0x1000d050	import	0x10001dd0	KERNEL32.dll.CreateFileW
0x10001e40	0x1000d05c	import	0x10001dd0	KERNEL32.dll.WriteFile
0x10001e49	0x1000d030	import	0x10001dd0	KERNEL32.dll.CloseHandle
0x10001f31	0x10007d20	string	0x10001ea0	USWV
0x10001f50	0x1000b140	string	0x10001ea0	USWVP
0x10001f5c	0x1000b140	string	0x10001ea0	USWVP
0x10001fb6	0x100061c0	string	0x10001ea0	USWV
0x10001fc8	0x10005f60	string	0x10001ea0	USWV
0x10001fd2	0x10004940	string	0x10001ea0	USWV
0x10001fe3	0x10004940	string	0x10001ea0	USWV
0x10002007	0x100061c0	string	0x10001ea0	USWV
0x10002022	0x100056b0	string	0x10001ea0	USWV
0x10002033	0x10005ba0	string	0x10001ea0	USWV
0x10002044	0x10006150	string	0x10001ea0	USWV
0x10002845	0x10002a30	string	0x10002830	USWV
0x10002853	0x10002a30	string	0x10002830	USWV
0x1000285d	0x10002a30	string	0x10002830	USWV
0x10002868	0x100033a0	string	0x10002830	USWV
0x10002873	0x100033a0	string	0x10002830	USWV
0x10002881	0x10002a30	string	0x10002830	USWV
0x1000288c	0x100033a0	string	0x10002830	USWV
0x10002896	0x10002a30	string	0x10002830	USWV
0x100028b2	0x10002a30	string	0x10002830	USWV
0x100028c0	0x100033a0	string	0x10002830	USWV
0x100028ca	0x10002a30	string	0x10002830	USWV
0x100028e2	0x10002a30	string	0x10002830	USWV
0x100028f0	0x100033a0	string	0x10002830	USWV
0x100028fe	0x10002a30	string	0x10002830	USWV
0x10002912	0x10002a30	string	0x10002830	USWV
0x10002920	0x100033a0	string	0x10002830	USWV
0x1000292a	0x10002a30	string	0x10002830	USWV
0x10002942	0x10002a30	string	0x10002830	USWV
0x10002950	0x100033a0	string	0x10002830	USWV
0x1000295a	0x10002a30	string	0x10002830	USWV
0x10002972	0x10002a30	string	0x10002830	USWV
0x10002980	0x100033a0	string	0x10002830	USWV
0x1000298a	0x10002a30	string	0x10002830	USWV
0x100029a2	0x10002a30	string	0x10002830	USWV
0x100029b0	0x100033a0	string	0x10002830	USWV
0x100029ba	0x10002a30	string	0x10002830	USWV
0x100029d2	0x10002a30	string	0x10002830	USWV
0x100029e0	0x100033a0	string	0x10002830	USWV
0x100029ea	0x10002a30	string	0x10002830	USWV
0x10002a02	0x10002a30	string	0x10002830	USWV
0x10002a18	0x100033a0	string	0x10002830	USWV
0x100043ca	0x100043e0	string	0x100043c0	USWV
0x1000461a	0x100043e0	string	0x10004610	USWV
0x100049e4	0x10002a30	string	0x100049d0	USWV
0x100049f2	0x10002a30	string	0x100049d0	USWV
0x100049fc	0x10002a30	string	0x100049d0	USWV
0x10004a07	0x100033a0	string	0x100049d0	USWV
0x10004a12	0x100033a0	string	0x100049d0	USWV
0x10004a1c	0x10002a30	string	0x100049d0	USWV
0x10004a27	0x100033a0	string	0x100049d0	USWV
0x10004a31	0x10002a30	string	0x100049d0	USWV
0x10004a42	0x10002a30	string	0x100049d0	USWV
0x10004a50	0x100033a0	string	0x100049d0	USWV
0x10004a5a	0x10002a30	string	0x100049d0	USWV
0x10004a72	0x10002a30	string	0x100049d0	USWV
0x10004a80	0x100033a0	string	0x100049d0	USWV
0x10004a8c	0x10002a30	string	0x100049d0	USWV
0x10004aa2	0x10002a30	string	0x100049d0	USWV
0x10004ab0	0x100033a0	string	0x100049d0	USWV
0x10004aba	0x10002a30	string	0x100049d0	USWV
0x10004ad2	0x10002a30	string	0x100049d0	USWV
0x10004ae0	0x100033a0	string	0x100049d0	USWV
0x10004aea	0x10002a30	string	0x100049d0	USWV
0x10004b02	0x10002a30	string	0x100049d0	USWV
0x10004b10	0x100033a0	string	0x100049d0	USWV
0x10004b1a	0x10002a30	string	0x100049d0	USWV
0x10004b32	0x10002a30	string	0x100049d0	USWV
0x10004b40	0x100033a0	string	0x100049d0	USWV
0x10004b4a	0x10002a30	string	0x100049d0	USWV
0x10004b62	0x10002a30	string	0x100049d0	USWV
0x10004b70	0x100033a0	string	0x100049d0	USWV
0x10004b7a	0x10002a30	string	0x100049d0	USWV
0x10004b84	0x10002a30	string	0x100049d0	USWV
0x10004b9b	0x100033a0	string	0x100049d0	USWV
0x100056c8	0x10002100	string	0x100056b0	USWV
0x100056da	0x100055f0	string	0x100056b0	USWV
0x100056ef	0x100033a0	string	0x100056b0	USWV
0x100056fd	0x100033a0	string	0x100056b0	USWV
0x10005715	0x100033a0	string	0x100056b0	USWV
0x1000572a	0x100033a0	string	0x100056b0	USWV
0x10005739	0x10002100	string	0x100056b0	USWV
0x1000574b	0x100055f0	string	0x100056b0	USWV
0x10005756	0x10002100	string	0x100056b0	USWV
0x10005761	0x10002100	string	0x100056b0	USWV
0x1000576c	0x100055f0	string	0x100056b0	USWV
0x100057a6	0x10005a50	string	0x10005780	USWV
0x100057af	0x10005a50	string	0x10005780	USWV
0x100057df	0x10005ba0	string	0x10005780	USWV
0x100057ea	0x100056b0	string	0x10005780	USWV
0x100057fb	0x10005ba0	string	0x10005780	USWV
0x10005817	0x100056b0	string	0x10005780	USWV
0x10005821	0x10005ba0	string	0x10005780	USWV
0x1000583d	0x100056b0	string	0x10005780	USWV
0x10005847	0x10005ba0	string	0x10005780	USWV
0x10005863	0x100056b0	string	0x10005780	USWV
0x1000586d	0x10005ba0	string	0x10005780	USWV
0x10005889	0x100056b0	string	0x10005780	USWV
0x10005893	0x10005ba0	string	0x10005780	USWV
0x100058af	0x100056b0	string	0x10005780	USWV
0x100058b9	0x10005ba0	string	0x10005780	USWV
0x100058d5	0x100056b0	string	0x10005780	USWV
0x100058df	0x10005ba0	string	0x10005780	USWV
0x10005935	0x10005ba0	string	0x10005780	USWV
0x10005964	0x10005ba0	string	0x10005780	USWV
0x10005986	0x10005e50	string	0x10005780	USWV
0x10005998	0x10005c30	string	0x10005780	USWV
0x100059ae	0x10005ba0	string	0x10005780	USWV
0x100059c8	0x100056b0	string	0x10005780	USWV
0x100059f3	0x10005ba0	string	0x10005780	USWV
0x10005a09	0x10005d90	string	0x10005780	USWV
0x10005a30	0x10005f10	string	0x10005780	USWV
0x10005b31	0x10002100	string	0x10005b20	USWV
0x10005b3f	0x100055f0	string	0x10005b20	USWV
0x10005b4f	0x100024d0	string	0x10005b20	USWV
0x10005b64	0x100033a0	string	0x10005b20	USWV
0x10005b90	0x10005c30	string	0x10005b70	USWV
0x10005bb2	0x100033a0	string	0x10005ba0	USWV
0x10005bc6	0x100033a0	string	0x10005ba0	USWV
0x10005bd4	0x100033a0	string	0x10005ba0	USWV
0x10005be5	0x100033a0	string	0x10005ba0	USWV
0x10005c41	0x10002a30	string	0x10005c30	USWV
0x10005c51	0x10002a30	string	0x10005c30	USWV
0x10005c61	0x10004bb0	string	0x10005c30	USWV
0x10005c72	0x10002100	string	0x10005c30	USWV
0x10005c7e	0x10002a30	string	0x10005c30	USWV
0x10005c8d	0x10002100	string	0x10005c30	USWV
0x10005c98	0x100055f0	string	0x10005c30	USWV
0x10005ca7	0x100055f0	string	0x10005c30	USWV
0x10005cb2	0x100055f0	string	0x10005c30	USWV
0x10005cd8	0x10002100	string	0x10005cc0	USWV
0x10005cea	0x100055f0	string	0x10005cc0	USWV
0x10005d02	0x100033a0	string	0x10005cc0	USWV
0x10005d0d	0x100033a0	string	0x10005cc0	USWV
0x10005d25	0x100033a0	string	0x10005cc0	USWV
0x10005d3a	0x100033a0	string	0x10005cc0	USWV
0x10005d49	0x10002100	string	0x10005cc0	USWV
0x10005d5b	0x100055f0	string	0x10005cc0	USWV
0x10005d66	0x10002100	string	0x10005cc0	USWV
0x10005d71	0x100055f0	string	0x10005cc0	USWV
0x10005d7c	0x10002100	string	0x10005cc0	USWV
0x10005da8	0x10002100	string	0x10005d90	USWV
0x10005dba	0x100055f0	string	0x10005d90	USWV
0x10005dcf	0x100033a0	string	0x10005d90	USWV
0x10005ddd	0x100033a0	string	0x10005d90	USWV
0x10005df5	0x100033a0	string	0x10005d90	USWV
0x10005e07	0x10002100	string	0x10005d90	USWV
0x10005e19	0x100055f0	string	0x10005d90	USWV
0x10005e24	0x10002100	string	0x10005d90	USWV
0x10005e2f	0x10002100	string	0x10005d90	USWV
0x10005e3a	0x100055f0	string	0x10005d90	USWV
0x10005e68	0x10002100	string	0x10005e50	USWV
0x10005e7a	0x100055f0	string	0x10005e50	USWV
0x10005e92	0x100033a0	string	0x10005e50	USWV
0x10005e9d	0x100033a0	string	0x10005e50	USWV
0x10005eb5	0x100033a0	string	0x10005e50	USWV
0x10005ec7	0x10002100	string	0x10005e50	USWV
0x10005ed9	0x100055f0	string	0x10005e50	USWV
0x10005ee4	0x10002100	string	0x10005e50	USWV
0x10005eef	0x100055f0	string	0x10005e50	USWV
