reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x405709	0x41600c	import	0x4056c0	KERNEL32.dll.VirtualAlloc
0x405731	0x416180	string	0x4056c0	yebokanuidisuda
0x40573f	0x416190	string	0x4056c0	sobakaebanayati
0x405780	0x416180	string	0x4056c0	yebokanuidisuda
0x405794	0x416190	string	0x4056c0	sobakaebanayati
0x4057e2	0x416010	import	0x4056c0	KERNEL32.dll.CreateThread
0x405821	0x4161a0	string	0x4056c0	demonslay335
0x405826	0x416014	import	0x4056c0	KERNEL32.dll.OutputDebugStringA
0x40582e	0x416018	import	0x4056c0	KERNEL32.dll.ExitProcess
0x40586f	0x4161ae	string	0x4056c0	C:\krebs.txt
0x405874	0x41601c	import	0x4056c0	KERNEL32.dll.CreateFileW
0x405880	0x416020	import	0x4056c0	KERNEL32.dll.CloseHandle
0x405889	0x416024	import	0x4056c0	KERNEL32.dll.GetLastError
0x4058ec	0x4161ae	string	0x4058b0	C:\krebs.txt
0x4058f1	0x41601c	import	0x4058b0	KERNEL32.dll.CreateFileW
0x405900	0x416024	import	0x4058b0	KERNEL32.dll.GetLastError
0x40590e	0x416028	import	0x4058b0	KERNEL32.dll.OpenProcess
0x40591f	0x4161c8	string	0x4058b0	--marcus_hutchins
0x405977	0x41602c	import	0x4058b0	KERNEL32.dll.CreateTimerQueueTimer
0x4059a1	0x416030	import	0x4058b0	KERNEL32.dll.Sleep
0x4059bd	0x416034	import	0x4058b0	KERNEL32.dll.ExitThread
0x4059c4	0x416020	import	0x4058b0	KERNEL32.dll.CloseHandle
0x4059cc	0x416018	import	0x4058b0	KERNEL32.dll.ExitProcess
0x4059d2	0x416038	import	0x4058b0	KERNEL32.dll.AllocConsole
0x4059ff	0x416018	import	0x4058b0	KERNEL32.dll.ExitProcess
0x405a39	0x416120	import	0x4058b0	USER32.dll.CreateWindowExA
0x405a41	0x4161dd	string	0x4058b0	vitali
0x405a46	0x4161e4	string	0x4058b0	kremez
0x405a4d	0x41611c	import	0x4058b0	USER32.dll.MessageBoxA
0x405a55	0x416018	import	0x4058b0	KERNEL32.dll.ExitProcess
0x405db0	0x4162aa	string	0x405db0	invalid string position
0x405dc0	0x4162c2	string	0x405dc0	string too long
0x405f60	0x41635c	string	0x405dd0	iostream
0x4060e8	0x4061d7	string	0x4060c0	^[_À9 blocks=Basic Latin,Latin-1 Supplement
0x4061be	0x4061d0	string	0x4060c0	H^[_
0x4061de	0x4061d7	string	0x4060c0	^[_À9 blocks=Basic Latin,Latin-1 Supplement
0x406286	0x4061d7	string	0x4060c0	^[_À9 blocks=Basic Latin,Latin-1 Supplement
0x406290	0x4061d7	string	0x4060c0	^[_À9 blocks=Basic Latin,Latin-1 Supplement
0x4062c6	0x4062d5	string	0x4060c0	^[_3
0x4064a4	0x41603c	import	0x406482	KERNEL32.dll.EncodePointer
0x40650e	0x416040	import	0x406508	KERNEL32.dll.DecodePointer
0x40658d	0x41603c	import	0x406508	KERNEL32.dll.EncodePointer
0x40659b	0x41603c	import	0x406508	KERNEL32.dll.EncodePointer
0x4065a7	0x41603c	import	0x406508	KERNEL32.dll.EncodePointer
0x4065c6	0x4064c4	string	0x4065c0	j\fh8
0x406c1f	0x406c70	string	0x406670	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x406c44	0x406c70	string	0x406670	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x406c5f	0x406c70	string	0x406670	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x4071a1	0x4071e3	string	0x406cc0	D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
0x40726f	0x4072c0	string	0x406cc0	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x407294	0x4072c0	string	0x406cc0	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x4072af	0x4072c0	string	0x406cc0	X^_Í blocks=Basic Latin,Latin-1 Supplement
0x407432	0x40743f	string	0x4073d1	jjjjj
0x4075d6	0x40abbc	string	0x4075ae	j\bhX
0x407618	0x40abbc	string	0x4075ae	j\bhX
0x407682	0x416044	import	0x40765e	KERNEL32.dll.RtlUnwind
0x407870	0x40bd3c	string	0x4077b8	jdhؽA blocks=Basic Latin,Arabic
0x407881	0x416048	import	0x4077b8	KERNEL32.dll.GetCommandLineA
0x407cf5	0x416050	import	0x407c0b	KERNEL32.dll.IsDebuggerPresent
0x407d46	0x416040	import	0x407d3d	KERNEL32.dll.DecodePointer
0x407e79	0x416054	import	0x407e43	KERNEL32.dll.EnterCriticalSection
0x407eaa	0x416054	import	0x407e82	KERNEL32.dll.EnterCriticalSection
0x407ee4	0x416058	import	0x407eb2	KERNEL32.dll.LeaveCriticalSection
0x407f11	0x416058	import	0x407eec	KERNEL32.dll.LeaveCriticalSection
0x407f52	0x40d417	string	0x407f19	j\fh`
0x408855	0x416040	import	0x408043	KERNEL32.dll.DecodePointer
0x408b3a	0x408ab3	string	0x408043	G<-u_
0x40933a	0x40e152	string	0x4092b0	UVWS
0x409c63	0x416040	import	0x40951b	KERNEL32.dll.DecodePointer
0x409c8f	0x416040	import	0x40951b	KERNEL32.dll.DecodePointer
0x409cb4	0x416040	import	0x40951b	KERNEL32.dll.DecodePointer
0x40a17b	0x40a182	string	0x40a10f	[_^]
0x40a196	0x41605c	import	0x40a187	KERNEL32.dll.GetModuleHandleExW
0x40a1a0	0x4164b4	string	0x40a187	CorExitProcess
0x40a1a8	0x416060	import	0x40a187	KERNEL32.dll.GetProcAddress
0x40a1ca	0x416018	import	0x40a1bb	KERNEL32.dll.ExitProcess
0x40a2a6	0x41603c	import	0x40a2a3	KERNEL32.dll.EncodePointer
0x40a2d6	0x40c7df	string	0x40a2a3	VWh,pA
0x40a2fa	0x40a30c	string	0x40a2db	_^[]
0x40a31a	0x40a32b	string	0x40a311	;u\fr
0x40a38c	0x416040	import	0x40a345	KERNEL32.dll.DecodePointer
0x40a39b	0x40a411	string	0x40a345	hhaA
0x40a3b8	0x40a411	string	0x40a345	hhaA
0x40a3bc	0x41603c	import	0x40a345	KERNEL32.dll.EncodePointer
0x40a3c8	0x40a411	string	0x40a345	hhaA
0x40a3d2	0x41603c	import	0x40a345	KERNEL32.dll.EncodePointer
0x40a3e2	0x416040	import	0x40a345	KERNEL32.dll.DecodePointer
0x40a4b1	0x41606c	import	0x40a488	KERNEL32.dll.HeapSize
0x40a5f4	0x416070	import	0x40a5e0	KERNEL32.dll.HeapFree
0x40a606	0x416024	import	0x40a5e0	KERNEL32.dll.GetLastError
