reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40513c	0x6fadfc	import	0x40513c	kernel32.dll.CloseHandle
0x405144	0x6fae3c	import	0x405144	kernel32.dll.GetStdHandle
0x40514c	0x6faf78	import	0x40514c	kernel32.dll.CreateFileW
0x405154	0x6faeec	import	0x405154	kernel32.dll.GetFileSize
0x40515c	0x6fadf4	import	0x40515c	kernel32.dll.GetFileType
0x405164	0x6fae54	import	0x405164	kernel32.dll.ReadFile
0x40516c	0x6faf54	import	0x40516c	kernel32.dll.SetEndOfFile
0x405174	0x6faedc	import	0x405174	kernel32.dll.SetFilePointer
0x40517c	0x6faf94	import	0x40517c	kernel32.dll.WriteFile
0x405184	0x6faf64	import	0x405184	kernel32.dll.FindClose
0x40518c	0x6faf40	import	0x40518c	kernel32.dll.FindFirstFileW
0x405194	0x6faefc	import	0x405194	kernel32.dll.InitializeCriticalSection
0x40519c	0x6faed8	import	0x40519c	kernel32.dll.EnterCriticalSection
0x4051a4	0x6faf1c	import	0x4051a4	kernel32.dll.LeaveCriticalSection
0x4051ac	0x6fafa0	import	0x4051a4	kernel32.dll.DeleteCriticalSection
0x4051b4	0x6fae74	import	0x4051b4	kernel32.dll.CreateThread
0x4051bc	0x6faebc	import	0x4051bc	kernel32.dll.GetCurrentThreadId
0x4051c4	0x6faea4	import	0x4051c4	kernel32.dll.SwitchToThread
0x4051cc	0x6faf98	import	0x4051cc	kernel32.dll.ExitThread
0x4051d4	0x6fae24	import	0x4051d4	kernel32.dll.ExitProcess
0x4051dc	0x6fae98	import	0x4051d4	kernel32.dll.RaiseException
0x4051e4	0x6fae30	import	0x4051d4	kernel32.dll.RtlUnwind
0x4051ec	0x6faec0	import	0x4051ec	kernel32.dll.UnhandledExceptionFilter
0x4051f4	0x6fae5c	import	0x4051f4	kernel32.dll.GetLastError
0x4051fc	0x6fae48	import	0x4051fc	kernel32.dll.FreeLibrary
0x405204	0x6fac04	import	0x405204	user32.dll.LoadStringW
0x40520c	0x6faf14	import	0x40520c	kernel32.dll.GetCommandLineW
0x405214	0x6fae60	import	0x405214	kernel32.dll.GetModuleFileNameW
0x40521c	0x6fae44	import	0x40521c	kernel32.dll.GetModuleHandleW
0x405224	0x6faf20	import	0x405224	kernel32.dll.GetProcAddress
