reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401033	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401039	0x43f258	string	0x401030	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
0x40103e	0x449034	import	0x401030	USER32.dll.CharNextA
0x401044	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40104f	0x449034	import	0x401030	USER32.dll.CharNextA
0x401055	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401060	0x449034	import	0x401030	USER32.dll.CharNextA
0x401066	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401071	0x449034	import	0x401030	USER32.dll.CharNextA
0x401077	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401082	0x449034	import	0x401030	USER32.dll.CharNextA
0x401088	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401093	0x449034	import	0x401030	USER32.dll.CharNextA
0x401099	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4010a4	0x449034	import	0x401030	USER32.dll.CharNextA
0x4010aa	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4010b5	0x449034	import	0x401030	USER32.dll.CharNextA
0x4010bb	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4010c6	0x449034	import	0x401030	USER32.dll.CharNextA
0x4010cc	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4010d7	0x449034	import	0x401030	USER32.dll.CharNextA
0x4010dd	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4010e8	0x449034	import	0x401030	USER32.dll.CharNextA
0x4010ee	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4010f9	0x449034	import	0x401030	USER32.dll.CharNextA
0x4010ff	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40110a	0x449034	import	0x401030	USER32.dll.CharNextA
0x401110	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40111b	0x449034	import	0x401030	USER32.dll.CharNextA
0x401121	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40112c	0x449034	import	0x401030	USER32.dll.CharNextA
0x401132	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40113d	0x449034	import	0x401030	USER32.dll.CharNextA
0x401143	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40114e	0x449034	import	0x401030	USER32.dll.CharNextA
0x401154	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40115f	0x449034	import	0x401030	USER32.dll.CharNextA
0x401165	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401170	0x449034	import	0x401030	USER32.dll.CharNextA
0x401176	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401181	0x449034	import	0x401030	USER32.dll.CharNextA
0x401187	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401192	0x449034	import	0x401030	USER32.dll.CharNextA
0x401198	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4011a3	0x449034	import	0x401030	USER32.dll.CharNextA
0x4011a9	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4011b4	0x449034	import	0x401030	USER32.dll.CharNextA
0x4011ba	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4011c5	0x449034	import	0x401030	USER32.dll.CharNextA
0x4011cb	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4011d6	0x449034	import	0x401030	USER32.dll.CharNextA
0x4011dc	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4011e7	0x449034	import	0x401030	USER32.dll.CharNextA
0x4011ed	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4011f8	0x449034	import	0x401030	USER32.dll.CharNextA
0x4011fe	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401209	0x449034	import	0x401030	USER32.dll.CharNextA
0x40120f	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40121a	0x449034	import	0x401030	USER32.dll.CharNextA
0x401220	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40122b	0x449034	import	0x401030	USER32.dll.CharNextA
0x401231	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40123c	0x449034	import	0x401030	USER32.dll.CharNextA
0x401242	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40124d	0x449034	import	0x401030	USER32.dll.CharNextA
0x401253	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40125e	0x449034	import	0x401030	USER32.dll.CharNextA
0x401264	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x40126f	0x449034	import	0x401030	USER32.dll.CharNextA
0x401275	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x401280	0x449034	import	0x401030	USER32.dll.CharNextA
0x401286	0x449030	import	0x401030	USER32.dll.GetMessagePos
0x4014c8	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4014d3	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4014d9	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4014e4	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4014ea	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4014f5	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4014fb	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401506	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40150c	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401517	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40151d	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401528	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40152e	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401539	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40153f	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40154a	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401550	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40155b	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401561	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40156c	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401572	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40157d	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401583	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40158e	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401594	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40159f	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4015a5	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4015b0	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4015b6	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4015c1	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4015c7	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4015d2	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4015d8	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4015e3	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4015e9	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x4015f4	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4015fa	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401605	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40160b	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401616	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40161c	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401627	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40162d	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401638	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40163e	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401649	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x40164f	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40165a	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401660	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40166b	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401671	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40167c	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401682	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40168d	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x401693	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x40169e	0x449034	import	0x4014c8	USER32.dll.CharNextA
0x4016a4	0x449030	import	0x4014c8	USER32.dll.GetMessagePos
0x401a5c	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401a67	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401a6d	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401a78	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401a7e	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401a89	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401a8f	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401a9a	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401aa0	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401aab	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401ab1	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401abc	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401ac2	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401acd	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401ad3	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401ade	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401ae4	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401aef	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401af5	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b00	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b06	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b11	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b17	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b22	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b28	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b33	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b39	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b44	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b4a	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b55	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b5b	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b66	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b6c	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b77	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b7d	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401b88	0x449034	import	0x401a5c	USER32.dll.CharNextA
0x401b8e	0x449030	import	0x401a5c	USER32.dll.GetMessagePos
0x401c5a	0x449030	import	0x401c5a	USER32.dll.GetMessagePos
0x401c65	0x449034	import	0x401c5a	USER32.dll.CharNextA
0x402b3a	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402b45	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402b4b	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402b56	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402b5c	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402b67	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402b6d	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402b78	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402b7e	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402b89	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402b8f	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402b9a	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402ba0	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402bab	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402bb1	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402bbc	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402bc2	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402bcd	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402bd3	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402bde	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402be4	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402bef	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402bf5	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c00	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c06	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c11	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c17	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c22	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c28	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c33	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c39	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c44	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c4a	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c55	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c5b	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c66	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c6c	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c77	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c7d	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c88	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c8e	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402c99	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402c9f	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402caa	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402cb0	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402cbb	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402cc1	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402ccc	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402cd2	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402cdd	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402ce3	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402cee	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402cf4	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402cff	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d05	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d10	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d16	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d21	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d27	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d32	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d38	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d43	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d49	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d54	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d5a	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d65	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d6b	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d76	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d7c	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d87	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d8d	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402d98	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402d9e	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402da9	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402daf	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402dba	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402dc0	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402dcb	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402dd1	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402ddc	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402de2	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402ded	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402df3	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402dfe	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402e04	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402e0f	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402e15	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402e20	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402e26	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402e31	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402e37	0x449030	import	0x402b3a	USER32.dll.GetMessagePos
0x402e42	0x449034	import	0x402b3a	USER32.dll.CharNextA
0x402e48	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402e53	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402e59	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402e64	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402e6a	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402e75	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402e7b	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402e86	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402e8c	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402e97	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402e9d	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402ea8	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402eae	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402eb9	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402ebf	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402eca	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402ed0	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402edb	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402ee1	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402eec	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402ef2	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402efd	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402f03	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402f0e	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402f14	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402f1f	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402f25	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402f30	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402f36	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402f41	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402f47	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x402f52	0x449034	import	0x402e48	USER32.dll.CharNextA
0x402f58	0x449030	import	0x402e48	USER32.dll.GetMessagePos
0x4030ce	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x4030d9	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x4030df	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x4030ea	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x4030f0	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x4030fb	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x403101	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x40310c	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x403112	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x40311d	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x403123	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x40312e	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x403134	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x40313f	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x403145	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x403150	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x403156	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x403161	0x449034	import	0x4030ce	USER32.dll.CharNextA
0x403167	0x449030	import	0x4030ce	USER32.dll.GetMessagePos
0x403172	0x449034	import	0x4030ce	USER32.dll.CharNextA
