reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x405098	0x4050a0	string	0x405030	_^[]
0x405ad1	0x4531c0	string	0x4057d0	;9u\t
0x405b08	0x4531c0	string	0x4057d0	;9u\t
0x405b1c	0x4531c0	string	0x4057d0	;9u\t
0x40703f	0x407089	string	0x406fd0	_[]ËM blocks=Basic Latin,Latin-1 Supplement
0x40706c	0x407089	string	0x406fd0	_[]ËM blocks=Basic Latin,Latin-1 Supplement
0x4070a0	0x407089	string	0x406fd0	_[]ËM blocks=Basic Latin,Latin-1 Supplement
0x409e9c	0x4531c0	string	0x409e10	;9u\t
0x40a140	0x4531c0	string	0x409fe0	;9u\t
0x40a6f2	0x40a6e0	string	0x40a6d0	9\f8u
0x40acc7	0x40acb2	string	0x40a960	9\f8u"B
0x40cdb4	0x40e540	string	0x40cd80	3\nD$\bS
0x40cddc	0x40e540	string	0x40cd80	3\nD$\bS
0x40ceb6	0x40e540	string	0x40ce10	3\nD$\bS
0x40cede	0x40e540	string	0x40ce10	3\nD$\bS
0x40cf31	0x40e540	string	0x40ce10	3\nD$\bS
0x40cf59	0x40e540	string	0x40ce10	3\nD$\bS
0x40d78c	0x40e540	string	0x40d620	3\nD$\bS
0x40d7a6	0x4531fc	string	0x40d620	À;0u blocks=Latin-1 Supplement,Basic Latin
0x40dc83	0x410433	string	0x40dc70	j\fhX
0x40ddda	0x40ddf3	string	0x40ddc8	9E\ft
0x40e4c9	0x40e4d8	string	0x40e4c3	^[_3
0x40e6c7	0x40e5fe	string	0x40e6bc	j\fh8
0x40ee44	0x40ee55	string	0x40ee39	;u\fr
0x40f1a0	0x40f1d5	string	0x40f17f	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x40f3b9	0x40f3c1	string	0x40f28e	j\nYQPVh
0x4109a9	0x41056c	string	0x410850	j\bhx
0x410f65	0x410fb0	string	0x410eaa	X^_]ú blocks=Basic Latin,Latin-1 Supplement
0x410f8a	0x410fb0	string	0x410eaa	X^_]ú blocks=Basic Latin,Latin-1 Supplement
0x410fa5	0x410fb0	string	0x410eaa	X^_]ú blocks=Basic Latin,Latin-1 Supplement
0x41118b	0x45317c	string	0x41103d	\vʍ4? blocks=Basic Latin,IPA Extensions
0x411b98	0x460ee4	string	0x411453	RaiseException
0x4120c5	0x460c38	string	0x4120b3	GetProcessHeap
0x412137	0x460c38	string	0x412126	GetProcessHeap
0x412f62	0x412f9a	string	0x412f23	SWf9M
0x413032	0x412fd6	string	0x412f23	j@j
0x4130eb	0x45317c	string	0x412f23	\vʍ4? blocks=Basic Latin,IPA Extensions
0x4133c5	0x4133d8	string	0x41335f	9}\bu
0x413ba8	0x413bb4	string	0x413b75	_^[]
0x41687c	0x416f5f	string	0x416836	SSSSS
0x417082	0x4170aa	string	0x417051	9]\bu&
0x417571	0x417589	string	0x41750c	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x4175f7	0x41760e	string	0x41758d	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x41778b	0x41784a	string	0x417742	j@j
0x417b85	0x417b9e	string	0x417b73	9E\ft
0x41a1ec	0x41a21f	string	0x41a19a	9V(s
0x41b816	0x41b821	string	0x41b80a	9]\ft
0x41bcb9	0x41bc43	string	0x41bbda	_^[]Ë blocks=Basic Latin,Latin-1 Supplement
0x41c293	0x41c29d	string	0x41c28a	39\*F
0x41cdd3	0x41cddb	string	0x41cdca	V3>X%F
0x41ce19	0x41ce2a	string	0x41cdca	[^_]
0x41d33e	0x41d392	string	0x41d26a	;8t0
0x41d761	0x41d72a	string	0x41d69a	3\vM\f
0x41e884	0x41e8e6	string	0x41e83a	_^[]
0x41e8d2	0x41e8e6	string	0x41e83a	_^[]
0x41e905	0x41e90f	string	0x41e8fa	9M\ft
0x41f204	0x41f23e	string	0x41f1da	[_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x41f673	0x41f67b	string	0x41f66a	V3>X*F
0x41f6b9	0x41f6ca	string	0x41f66a	[^_]
0x41faf4	0x41fb2e	string	0x41faca	[_^]Í< blocks=Basic Latin,Latin-1 Supplement
0x41fb53	0x41fb5b	string	0x41fb4a	V3>X6F
0x41fb99	0x41fbaa	string	0x41fb4a	[^_]
0x421786	0x42178e	string	0x42176f	Vj\bP踉 blocks=Basic Latin,CJK Unified Ideographs
0x4217c4	0x410d4f	string	0x4217af	ti3\nD$\b
0x4217ed	0x41bcff	string	0x4217cf	]\bV3
0x4218d0	0x45a604	string	0x4218af	ծ6'9-\nd blocks=Armenian,Basic Latin
0x4221b4	0x4221c0	string	0x42215f	Rj 蟒 blocks=Basic Latin,CJK Unified Ideographs
0x42294f	0x410d4f	string	0x42270f	ti3\nD$\b
0x422c3b	0x410d4f	string	0x422b2f	ti3\nD$\b
0x423d69	0x41bcff	string	0x423cff	]\bV3
0x423f97	0x41bcff	string	0x423f1f	]\bV3
0x424108	0x41bcff	string	0x423f1f	]\bV3
