reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x951007	0x99ac50	string	0x951000	C:\Users\admin\AppData\Roaming\Microsoft\Atkuku.exe
0x95100d	0x961128	import	0x951000	KERNEL32.dll.lstrcmpA
0x951017	0x961330	string	0x951000	pdef
0x951054	0x961128	import	0x951000	KERNEL32.dll.lstrcmpA
0x951062	0x961124	import	0x951000	KERNEL32.dll.MoveFileExA
0x95106d	0x9663d4	string	0x951000	ruskill
0x951072	0x961328	string	0x951000	%s.%s
0x951080	0x961120	import	0x951000	KERNEL32.dll.lstrcpyA
0x9510c8	0x961134	import	0x9510a0	KERNEL32.dll.lstrcmpW
0x9510d1	0x99ada0	string	0x9510a0	C:\Users\admin\AppData\Roaming\Microsoft\Atkuku.exe
0x9510dd	0x961330	string	0x9510a0	pdef
0x951127	0x961130	import	0x9510a0	KERNEL32.dll.MoveFileExW
0x951132	0x9663d4	string	0x9510a0	ruskill
0x951137	0x961338	string	0x9510a0	%s.%S
0x951157	0x96112c	import	0x9510a0	KERNEL32.dll.WideCharToMultiByte
0x951163	0x961120	import	0x9510a0	KERNEL32.dll.lstrcpyA
0x951201	0x961140	import	0x9511c0	KERNEL32.dll.GetFileAttributesA
0x951241	0x96113c	import	0x9511c0	KERNEL32.dll.MultiByteToWideChar
0x951261	0x961138	import	0x9511c0	KERNEL32.dll.ExitThread
0x9512be	0x961148	import	0x951290	KERNEL32.dll.GetFileAttributesW
0x95130d	0x961364	string	0x951290	\\.\pipe
0x95131f	0x961358	string	0x951290	DBWIN
0x951368	0x961144	import	0x951290	KERNEL32.dll.SetFileAttributesW
0x951373	0x961130	import	0x951290	KERNEL32.dll.MoveFileExW
0x9513e3	0x9663d4	string	0x951290	ruskill
0x9513e8	0x961338	string	0x951290	%s.%S
0x951416	0x961138	import	0x951290	KERNEL32.dll.ExitThread
0x9515c7	0x99ac50	string	0x9515c0	C:\Users\admin\AppData\Roaming\Microsoft\Atkuku.exe
0x9515cd	0x961128	import	0x9515c0	KERNEL32.dll.lstrcmpA
0x9515d7	0x961330	string	0x9515c0	pdef
0x9515f3	0x961380	string	0x9515c0	%s.Blocked "%s" from removing our bot file!
0x951627	0x99ada0	string	0x951620	C:\Users\admin\AppData\Roaming\Microsoft\Atkuku.exe
0x95162d	0x961134	import	0x951620	KERNEL32.dll.lstrcmpW
0x951637	0x961330	string	0x951620	pdef
0x951653	0x9613ac	string	0x951620	%s.Blocked "%S" from removing our bot file!
0x951727	0x9613e4	string	0x9516f0	bdns
0x95174e	0x9613dc	string	0x9516f0	block
0x951754	0x961128	import	0x9516f0	KERNEL32.dll.lstrcmpA
0x9517a0	0x9613e4	string	0x9516f0	bdns
0x95185b	0x9613e4	string	0x9517e0	bdns
0x951882	0x9613dc	string	0x9517e0	block
0x951888	0x961128	import	0x9517e0	KERNEL32.dll.lstrcmpA
0x9518b7	0x96113c	import	0x9517e0	KERNEL32.dll.MultiByteToWideChar
0x951905	0x96112c	import	0x9517e0	KERNEL32.dll.WideCharToMultiByte
0x951922	0x9613e4	string	0x9517e0	bdns
0x9519ba	0x9663dc	string	0x9517e0	rdns
0x9519bf	0x961338	string	0x9517e0	%s.%S
0x951a36	0x961158	import	0x951a10	KERNEL32.dll.CreateFileW
0x951a50	0x961154	import	0x951a10	KERNEL32.dll.SetFileTime
0x951a59	0x961150	import	0x951a10	KERNEL32.dll.CloseHandle
0x951a96	0x961158	import	0x951a70	KERNEL32.dll.CreateFileW
0x951ab0	0x96115c	import	0x951a70	KERNEL32.dll.GetFileTime
0x951ab9	0x961150	import	0x951a70	KERNEL32.dll.CloseHandle
0x951ae9	0x961160	import	0x951ad0	KERNEL32.dll.GetSystemTimeAsFileTime
