reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x402c6c	0x401384	string	0x402c60	dwwin.exe
0x402ca1	0x401390	string	0x402c90	protectaavprotector_c000100
0x402ceb	0x4013ac	string	0x402ce0	IsWow64Process
0x402cf0	0x4013bc	string	0x402ce0	kernel32.dll
0x402d0f	0x4013cc	string	0x402ce0	AAVkillllerrrsdadc000100
0x402ec9	0x4013ec	string	0x402e10	.exe
0x403156	0x4013f8	string	0x403150	iphlpapi.dll
0x403164	0x401408	string	0x403150	GetExtendedTcpTable
0x403176	0x40141c	string	0x403150	GetOwnerModuleFromTcpEntry
0x40356c	0x4014f8	string	0x403540	{A5DCBF10-6530-11D2-901F-00C04FB951ED}
0x4036cd	0x401548	string	0x4036c0	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0x403780	0x401584	string	0x403730	CoInitializeEx
0x403785	0x401594	string	0x403730	ole32.dll
0x40381b	0x4015a0	string	0x403730	/c "%%SystemRoot%%\explorer.exe %%cd%%%s & attrib -s -h %%cd%%%s & xcopy /F /S /Q /H /R /Y %%cd%%%s %%temp%%\%s\ & attrib +s +h %%cd%%%s & start %%temp%%\%s\%s & exit"
0x40384e	0x401648	string	0x403730	/c "start %%cd%%%s & attrib -s -h %%cd%%%s & xcopy /F /S /Q /H /R /Y %%cd%%%s %%temp%%\%s\ & attrib +s +h %%cd%%%s & start %%temp%%\%s\%s & exit"
0x403863	0x4016dc	string	0x403730	%ALLUSERSPROFILE%\..\..\windows\system32\cmd.exe
0x403895	0x401710	string	0x403730	%SystemRoot%\system32\SHELL32.dll
0x4038ac	0x401734	string	0x403730	%SystemRoot%\system32\SHELL32.dll
0x403970	0x401758	string	0x403960	BCDEFGHIJKLMNOPQRSTUVWXYZ
0x403984	0x401774	string	0x403960	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0x4039da	0x4017ac	string	0x403960	%s\c731200
0x403abc	0x4017b8	string	0x403960	%s\c731200
0x403b95	0x4017c4	string	0x403960	.exe
0x403bae	0x4017cc	string	0x403960	%s\*
0x403d37	0x4017d4	string	0x403960	%s\%s
0x403d5a	0x4017dc	string	0x403960	%s\%s
0x403da3	0x4017e4	string	0x403960	%s\%s.lnk
0x403dc6	0x4017f0	string	0x403960	%s\%s
0x403ddb	0x4017f8	string	0x403960	.lnk
0x403e1a	0x401800	string	0x403960	.exe
0x403e30	0x401808	string	0x403960	.pif
0x403e46	0x401810	string	0x403960	.scr
0x403e5c	0x401818	string	0x403960	.cmd
0x403e72	0x401820	string	0x403960	.com
0x403fab	0x401828	string	0x403960	%s\%s
0x4042e1	0x4042ed	string	0x4042d0	jjjj
0x40430a	0x401830	string	0x4042d0	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ01234567890123456789
0x40439f	0x40187c	string	0x404380	HOMEDRIVE
0x4043aa	0x401888	string	0x404380	\Program Files\
0x40460a	0x4018a0	string	0x4045c0	IsWow64Process
0x40460f	0x4018b0	string	0x4045c0	kernel32.dll
0x404626	0x4018c0	string	0x4045c0	-aav_start
0x404646	0x4018cc	string	0x4045c0	-shell
0x404668	0x4018d4	string	0x4045c0	Windows_Shared_Mutex_231_c000100
0x4046aa	0x4018f8	string	0x4045c0	CFlagc000100
0x404791	0x401908	string	0x4045c0	\notepad.exe
0x4047a1	0x401924	string	0x4045c0	SVCHOST_MUTEX_OBJECT_RELEASED_c000100
0x4047b1	0x40194c	string	0x4045c0	kernel32.dll
0x4047bf	0x40195c	string	0x4045c0	CreateProcessW
0x4047d3	0x40196c	string	0x4045c0	GetProcessVersion
0x4047e7	0x401980	string	0x4045c0	Sleep
0x4047fb	0x401988	string	0x4045c0	CreateMutexA
0x40480f	0x401998	string	0x4045c0	ExitProcess
0x404823	0x4019a4	string	0x4045c0	SetLastError
0x404837	0x4019b4	string	0x4045c0	GetLastError
0x4048a8	0x4019c4	string	0x4045c0	\svchost.exe
0x404a45	0x4019e4	string	0x4049d0	NtUnmapViewOfSection
0x404a4a	0x4019fc	string	0x4049d0	ntdll.dll
0x404c31	0x401a08	string	0x404be0	%s\c731200
0x404ce4	0x401a14	string	0x404cb0	\ScreenSaverPro.scr
0x404d40	0x401a28	string	0x404cb0	\temp.bin
0x404ddb	0x401a34	string	0x404d80	user32.dll
0x404de6	0x401a40	string	0x404d80	advapi32.dll
0x404df1	0x401a50	string	0x404d80	shell32.dll
0x404dfc	0x401a5c	string	0x404d80	urlmon.dll
0x404e07	0x401a68	string	0x404d80	wininet.dll
0x404e12	0x401a74	string	0x404d80	gdi32.dll
0x404e1d	0x401a80	string	0x404d80	rpcrt4.dll
0x404e28	0x401a8c	string	0x404d80	netapi32.dll
0x404e63	0x401a9c	string	0x404d80	USBProc
0x404ebb	0x401aa8	string	0x404d80	USBProc
0x40523c	0x401ab4	string	0x4051a0	*.exe
